Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;2;9.0;10.1999998093;4;21.0;1;8.0;11.0;6;20.0;
5;2;9.19999980927;10.0;4;21.0599999428;2;8.0;10.3000001907;5;21.0;
6;2;10.3179998398;10.0;4;21.1229639053;2;9.22500038147;10.0;5;21.0599999428;
7;2;11.336889267;10.0;4;21.1889609098;2;9.73849964142;10.0;5;21.1229639053;
8;2;11.3566884995;10.0;4;21.6699410677;2;9.75266647339;10.0;5;21.6001901627;
9;2;11.5009822845;10.1999998093;4;22.0818096399;2;9.86004257202;10.1999998093;5;22.0082015991;
10;2;11.62454319;10.3632001877;4;22.4358423948;2;9.95184516907;10.3632001877;5;22.3582868576;
11;2;11.7307529449;10.4951858521;4;23.611035943;2;10.0306148529;10.4951858521;5;23.5279067755;
12;2;12.0833110809;11.0209560394;3;24.615765214;2;10.2937793732;11.0209560394;5;24.5268628597;
13;2;14.0833110809;11.4571752548;3;25.4640146494;2;12.0856485367;11.4571752548;5;25.3691681623;
14;2;16.0833110809;11.8107032776;3;26.1761806011;2;14.0856485367;11.8107032776;5;26.0752547979;
15;2;16.852853775;12.0916318893;3;26.7751014233;2;16.0856494904;12.0916318893;5;26.6680037975;
16;2;18.2583217621;12.3113050461;3;27.2831678391;2;17.1830482483;12.3113050461;5;27.1698563099;
17;2;19.3089962006;12.4808797836;3;27.4996597767;2;18.2196559906;12.4808797836;5;27.3801496029;
18;2;20.3624725342;12.5;3;27.687142849;2;18.7228336334;13.2140445709;5;27.5615134239;
19;2;20.6125736237;13.306142807;4;27.883649826;2;19.625;13.268453598;5;27.7520513535;
