Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;4;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;4;20.0;
4;1;9.0;10.0;4;20.0;1;8.0;11.0;3;20.0;
5;1;9.0;10.0;4;20.0;1;8.0;10.0;3;20.0;
6;1;10.0;10.0;4;20.0;1;9.0;10.0;3;20.0;
7;1;11.0;10.0;4;20.0;1;9.5;10.0;3;20.0;
8;1;11.0;10.0;4;20.3999996185;1;9.5;10.0;3;20.3999996185;
9;1;11.1199998856;10.1999998093;4;20.7264003754;1;9.59000015259;10.1999998093;2;20.7264003754;
10;1;11.2179203033;10.3632001877;4;20.9903717041;1;9.66343975067;10.3632001877;2;20.9903717041;
11;1;11.2971115112;10.4951858521;4;22.0419120789;1;9.72283363342;10.4951858521;2;22.0419120789;
12;1;11.6125736237;11.0209560394;5;22.9143505096;1;9.95943069458;11.0209560394;2;22.9143505096;
13;1;13.2971115112;11.4571752548;5;23.6214065552;1;11.7228336334;11.4571752548;2;23.6214065552;
14;1;14.2971115112;11.8107032776;5;24.1832637787;1;12.7228336334;11.8107032776;2;24.1832637787;
15;1;15.2971115112;12.0916318893;5;24.6226100922;1;13.7228336334;12.0916318893;3;24.6226100922;
16;1;16.2971115112;12.3113050461;5;24.9617595673;2;14.7228336334;12.3113050461;2;24.9617595673;
17;1;17.2971115112;12.4808797836;5;25.0;2;15.7228336334;12.4808797836;2;25.0;
18;1;18.2971115112;12.5;5;25.0;2;16.7228336334;12.5;3;25.0;
19;1;19.2971115112;12.5;6;25.0;2;17.625;12.5;3;25.0;
20;1;19.5;12.5;6;25.0;2;17.625;12.5;3;25.0;
21;1;19.5;12.5;6;25.0;2;17.625;12.5;3;25.0;
22;1;19.5;12.5;6;25.0;2;17.625;12.5;3;25.0;
23;1;19.5;12.5;7;25.0;2;17.625;12.5;5;25.0;
24;2;19.5;12.5;6;25.0;2;17.625;12.5;5;25.0;
25;3;19.5;12.5;5;25.0;2;17.625;12.5;5;25.0;
26;3;19.5;12.5;5;25.0;2;17.625;12.5;5;25.0;
27;3;19.5;12.5;5;25.0;2;17.625;12.5;5;25.0;
28;3;19.5;12.5;5;25.0;2;17.625;12.5;7;25.0;
29;3;19.5;12.5;5;25.0;2;17.625;12.5;7;25.0;
30;3;19.5;12.5;5;25.0;2;17.625;12.5;7;25.0;
31;3;19.5;12.5;5;25.0;2;15.625;13.5;7;25.0;
32;3;19.5;12.5;5;25.0;2;14.625;14.5;8;25.0;
33;3;19.5;12.5;5;25.0;2;13.625;15.5;4;25.0;
34;3;19.5;12.5;5;25.0;2;12.625;16.5;4;25.0;
35;3;19.5;12.5;5;25.0;2;12.0;17.5;4;25.0;
36;3;19.5;12.5;5;25.0;2;12.0;18.5;4;25.0;
37;3;19.5;12.5;5;25.0;2;12.0;19.5;4;25.0;
38;3;19.5;12.5;5;25.0;2;12.0;20.5;4;25.0;
39;3;19.5;12.5;5;25.0;2;12.0;21.5;5;25.0;
40;3;19.5;12.5;5;25.0;2;12.0;22.5;5;25.0;
41;3;19.5;12.5;6;25.0;2;12.0;23.5;6;25.0;
42;4;19.5;12.5;5;25.0;2;12.0;24.5;7;25.0;
43;4;19.5;12.5;5;25.0;2;12.0;25.5;7;25.0;
44;4;19.5;12.5;5;25.0;2;12.0;26.5;7;25.0;
45;4;19.5;12.5;5;25.0;2;12.0;27.5;8;25.0;
46;4;19.5;13.5;5;25.0;2;12.0;28.5;8;25.0;
47;4;19.5;14.5;5;26.0;3;12.0;29.5;7;35.0;
48;4;20.5;16.5;5;25.5900000334;3;14.0;27.5;7;35.3999996185;
49;4;21.3500003815;18.5;5;26.0546193123;3;14.0;28.5;8;35.7743997574;
50;4;21.8163871765;20.4337501526;5;26.2917383909;3;15.0;29.5;8;36.1219387054;
51;4;21.8875217438;21.5;5;27.4042263031;4;17.0;27.5;8;36.4420347214;
52;4;22.9212684631;23.5;6;27.5549304485;5;17.0;28.5;8;36.7347183228;
53;4;23.9574794769;24.5;7;27.7147604227;5;17.5204162598;29.5;8;37.0005426407;
54;4;24.3144264221;25.5;7;27.8839896917;5;18.6001625061;27.5;9;37.2404880524;
55;4;24.365196228;26.5;7;29.0628426075;5;17.6721458435;28.5;9;37.4558610916;
56;4;25.4188537598;28.5;8;29.2514830828;5;18.7367591858;27.5;10;37.6481971741;
57;4;26.4754447937;29.5;8;29.4500044584;5;19.7944602966;27.5;10;37.8191757202;
58;4;26.8350009918;30.5;8;29.6584174633;5;20.8457527161;27.5;10;37.9705476761;
59;4;26.89752388;31.5;9;29.8766405582;5;21.8911647797;27.5;10;38.0;
60;4;26.9629917145;32.5;10;30.1044893265;5;22.8999996185;27.5;11;38.0;
61;4;27.0313472748;32.5;10;30.3416678905;5;23.5249996185;26.5;12;38.0;
62;4;27.1024990082;32.5;10;30.5877622366;5;23.5249996185;25.5;12;38.0;
63;4;27.1763267517;32.5;12;30.8422362804;5;23.5249996185;24.5;12;38.0;
64;4;27.2526702881;32.5;12;31.1044297218;5;23.5249996185;23.5;13;38.0;
65;4;27.3313293457;32.5;13;31.3735601902;5;23.5249996185;22.5;14;38.0;
66;4;27.4120674133;32.5;13;31.6487292051;5;23.5249996185;22.5;12;38.0;
67;4;27.4946174622;32.5;13;31.9289308786;6;23.5249996185;22.5;9;38.0;
68;5;27.4471530914;32.5;12;47.2130659819;6;23.5249996185;22.5;10;38.0;
69;5;26.9748153687;35.2000007629;12;48.2499581575;6;23.5249996185;22.5;10;38.0;
70;5;27.5;38.0104904175;12;49.2077496052;6;23.5249996185;22.5;9;38.0;
71;5;28.9978618622;38.5592651367;13;50.0843399763;6;23.5249996185;22.5;9;38.0;
72;5;29.5;39.8226509094;15;52.3218917847;6;23.5249996185;22.5;9;38.0;
73;5;30.7999992371;40.4258575439;15;54.2314921618;6;23.5249996185;22.5;7;38.0;
74;5;29.0340003967;42.004737854;16;55.8480687141;6;23.5249996185;22.5;8;38.0;
75;6;28.2123565674;43.490776062;15;57.2124619484;6;23.5249996185;22.5;9;38.0;
76;6;29.9241466522;40.9372367859;16;58.2176240683;6;23.5249996185;22.5;9;38.0;
77;6;30.3999996185;41.9425621033;17;58.9568847418;6;23.5249996185;22.5;9;38.0;
78;6;29.3999996185;43.0897331238;17;59.620582819;6;23.5249996185;22.5;9;38.0;
79;6;28.3999996185;43.2699127197;17;60.1189329624;6;23.5249996185;22.5;10;38.0;
80;6;29.0504493713;43.3620948792;17;60.4691312313;6;23.5249996185;22.5;8;38.0;
81;6;29.0688705444;44.5032157898;16;61.8083899021;6;23.5249996185;22.5;8;38.0;
82;6;30.0874004364;46.6392555237;18;62.1659609079;6;23.5249996185;22.5;9;39.2600002289;
83;6;31.1060199738;48.7698936462;18;65.0082241297;6;23.827999115;23.0;10;40.2707252502;
