Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;4;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;4;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;4;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;4;20.0;2;9.5;10.3000001907;5;21.0;
8;1;11.0;10.0;4;20.3999996185;2;9.72500038147;10.0;5;21.3999996185;
9;1;11.1199998856;10.1999998093;4;20.7264003754;2;9.81500053406;10.1999998093;5;21.7264003754;
10;1;11.2179203033;10.3632001877;4;20.9903717041;2;9.88844013214;10.3632001877;5;21.9903717041;
11;1;11.2971115112;10.4951858521;4;22.0419120789;2;9.94783401489;10.4951858521;4;23.0819120407;
12;2;11.6125736237;11.2209558487;4;23.9143505096;2;10.1934309006;11.0209560394;4;23.99553442;
13;2;14.2971115112;11.4571752548;4;24.6514065266;2;11.9660997391;11.4571752548;4;24.7449600697;
14;2;16.2971115112;11.8107032776;4;25.2438547611;2;13.9660997391;11.8107032776;4;25.3503712416;
15;2;17.6152877808;12.0916318893;4;25.7143762112;2;15.9660997391;12.0916318893;4;25.8344515562;
16;2;18.6246414185;12.3113050461;4;26.0852768421;2;16.9954986572;12.3113050461;4;26.2195074558;
17;2;19.6341667175;12.4808797836;4;26.1558350325;2;18.0058269501;12.4808797836;4;26.3048160076;
18;2;20.6438617706;12.5;4;26.1887089014;2;19.0164165497;12.5;5;26.3530313969;
19;2;21.6537246704;12.5;4;26.2221269608;2;19.9294319153;12.5;5;26.4023760557;
20;2;21.8666381836;12.5;7;26.2560760975;2;19.9405345917;12.5;5;26.4528282881;
