Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
4;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;6;17.25;
5;1;12.0;10.0;4;20.0;1;12.8999996185;8.625;6;17.25;
6;2;14.0;10.0;3;21.0;1;13.8999996185;8.625;6;17.25;
7;2;16.0;10.0;3;21.3999996185;1;14.8999996185;8.625;6;17.5949993134;
8;2;17.1800003052;10.1999998093;3;21.7264003754;1;15.5569992065;8.79749965668;6;17.8861961365;
9;2;17.7768802643;10.3632001877;3;22.8594274521;1;15.7317180634;8.94309806824;6;18.6667137146;
10;2;18.2867431641;10.9097137451;3;23.8127875328;1;16.2000274658;9.3333568573;6;19.3355960846;
11;2;20.2867431641;11.3658018112;3;24.5981152058;1;17.2000274658;9.6677980423;6;19.8991127014;
12;2;22.2867431641;11.7372808456;3;25.2345055342;1;18.2000274658;9.94955635071;6;20.3669185638;
13;2;23.3439407349;12.0336990356;4;25.7443674803;1;19.2000274658;10.1834592819;6;20.7504444122;
14;2;24.3640708923;12.2662630081;4;26.1502821445;2;20.4502677917;10.3752222061;5;22.0616092682;
15;2;25.3847293854;12.446267128;3;26.3048160076;2;21.6369667053;10.5308046341;5;22.2699999809;
16;2;26.4059104919;12.5;3;26.3530313969;2;22.3619995117;10.625;5;22.2901959419;
17;2;27.4276065826;12.5;3;26.4023760557;2;22.3741168976;10.625;5;22.3105818033;
18;2;28.4498119354;12.5;3;26.4528282881;2;22.3863487244;10.625;5;22.3311508894;
19;2;28.9037723541;12.5;4;26.5043625832;2;22.3986911774;10.625;5;22.3518965244;
20;2;28.9269638062;12.5;4;26.5569496155;2;22.4111385345;10.625;5;22.3728116751;
21;2;28.9506263733;12.5;4;26.6105561256;2;23.75;10.9618434906;6;22.3938889503;
22;2;28.9747505188;12.5;3;26.6651450396;2;24.75;10.9681663513;5;22.4151208401;
23;2;28.9993152618;12.5;3;26.72067523;2;25.75;10.625;5;22.4364993572;
24;2;29.0243034363;12.5;4;26.7771017551;2;26.75;10.625;5;22.4580165148;
