Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;4;17.25;
4;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;3;17.25;
5;1;12.0;10.0;5;20.0;1;12.8999996185;8.625;3;17.25;
6;1;13.0;10.0;5;20.0;1;13.8999996185;8.625;3;17.25;
7;2;14.4499998093;10.0;3;21.3999996185;1;14.8999996185;8.625;3;17.5949993134;
8;2;14.6300001144;10.1999998093;3;21.7264003754;1;15.5569992065;8.79749965668;3;17.8861961365;
9;2;14.7768793106;10.3632001877;3;22.8594274521;1;15.7317180634;8.94309806824;3;18.6667137146;
10;2;15.2867431641;10.9097137451;3;23.8127875328;1;16.2000274658;9.3333568573;3;19.3355960846;
11;2;17.2867431641;11.3658018112;3;24.5981152058;1;17.2000274658;9.6677980423;3;19.8991127014;
12;2;19.2867431641;11.7372808456;3;25.2345055342;1;18.2000274658;9.94955635071;3;20.3669185638;
13;2;20.3439407349;12.0336990356;4;25.7443674803;1;19.2000274658;10.1834592819;3;20.7504444122;
14;2;21.3640708923;12.2662630081;4;26.1502821445;1;20.2000274658;10.3752222061;3;21.0616092682;
15;2;22.3847293854;12.446267128;4;26.3048160076;1;21.2000274658;10.5308046341;4;21.25;
16;2;23.4059104919;12.5;4;26.3530313969;1;22.2000274658;10.625;4;21.25;
17;2;24.4276065826;12.5;4;26.4023760557;1;23.2000274658;10.625;4;21.25;
18;2;25.4498119354;12.5;4;26.4528282881;1;24.2000274658;10.625;4;21.25;
19;2;25.9037723541;12.5;5;26.5043625832;1;24.75;10.625;4;21.25;
20;2;25.9269638062;12.5;6;26.5569496155;1;24.75;10.625;4;21.25;
21;2;25.9506263733;12.5;6;26.6105561256;1;24.75;10.625;5;21.25;
22;2;25.9747505188;12.5;6;26.6651450396;1;24.75;10.625;5;21.25;
23;2;25.9993152618;12.5;6;26.72067523;1;24.75;10.625;5;21.25;
24;2;26.0243034363;12.5;6;26.7771017551;1;24.75;10.625;5;21.25;
25;2;26.0496959686;12.5;6;26.8343759775;1;24.75;10.625;5;21.25;
