Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;4;17.25;
4;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;4;17.25;
5;1;12.0;10.0;5;20.0;1;12.8999996185;8.625;4;17.25;
6;2;13.4499998093;10.0;4;21.0;1;13.8999996185;8.625;3;17.25;
7;2;14.4499998093;10.0;4;21.3999996185;1;14.8999996185;8.625;3;17.5949993134;
8;2;14.6300001144;10.1999998093;4;21.7264003754;2;16.5569992065;8.79749965668;2;18.8861961365;
9;2;14.7768793106;10.3632001877;4;22.8494274616;2;17.7317180634;8.94309806824;2;19.696713686;
10;2;15.282242775;10.9097137451;4;23.7921946049;2;19.2000274658;9.3333568573;2;20.396187067;
11;2;17.2822418213;11.3658018112;4;24.5663278103;2;21.2000274658;9.6677980423;2;20.9908788204;
12;2;19.2822418213;11.7372808456;4;25.1909153461;2;23.2000274658;9.94955635071;2;21.4904358387;
13;2;20.3243255615;12.0336990356;5;25.6883610487;2;24.8741378784;10.1834592819;2;21.9062794447;
14;2;21.3388690948;12.2662630081;5;26.0812431574;2;25.8935279846;10.3752222061;2;22.2503181696;
15;2;22.3536624908;12.446267128;5;26.2221269608;2;26.9132537842;10.5308046341;3;22.4721269608;
16;2;23.3687000275;12.5;5;26.2560760975;2;27.933303833;10.625;2;22.5060760975;
17;2;24.3839759827;12.5;5;26.2905418873;2;28.9536743164;10.625;2;22.5405418873;
18;2;25.3994865417;12.5;5;26.3255085945;2;29.9743537903;10.625;2;22.5755085945;
19;2;25.8464794159;12.5;6;26.3609591722;2;30.5453052521;10.625;2;22.6109591722;
20;2;25.8624305725;12.5;6;26.3968753815;2;30.566576004;10.625;2;22.6468753815;
21;2;25.8785934448;12.5;6;26.4332377911;2;30.5881252289;10.625;3;22.6832377911;
22;2;25.8949565887;12.5;6;26.4700255394;2;30.6099433899;10.625;3;22.7200255394;
23;2;25.9115104675;12.5;6;26.5072168112;2;30.6320152283;10.625;3;22.7572168112;
