Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
4;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
5;1;12.0;10.0;5;20.0;2;13.8999996185;8.625;4;18.25;
6;1;13.0;10.0;5;20.0;2;15.8999996185;8.625;4;18.3250000477;
7;1;14.0;10.0;5;20.3999996185;2;17.8999996185;8.625;4;18.7605681419;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;19.2563400269;8.79749965668;4;19.1489084959;
9;2;14.7768793106;10.3632001877;4;22.8194274902;2;19.4893455505;8.94309806824;4;20.0586935282;
10;2;15.2687425613;10.9097137451;4;23.7616035938;2;20.0352153778;9.3333568573;4;20.8682775497;
11;2;17.268743515;11.3658018112;4;24.5351526737;2;22.0352153778;9.6677980423;4;21.5845614672;
12;2;19.268743515;11.7372808456;4;25.1591641903;2;24.0352153778;9.94955635071;4;22.2177865505;
13;2;20.3100376129;12.0336990356;5;25.6560432911;2;25.3105487823;10.1834592819;4;22.7799050808;
14;2;21.3243255615;12.2662630081;5;26.0483692884;2;26.4177036285;10.3752222061;4;23.2832708359;
15;2;22.3388690948;12.446267128;5;26.1887089014;2;27.5330238342;10.5308046341;5;23.6777949333;
16;2;23.3536624908;12.5;5;26.2221269608;2;28.656703949;10.625;5;23.8980493546;
17;2;24.3687000275;12.5;5;26.2560760975;2;29.7888565063;10.625;5;24.1324534416;
18;2;25.3839759827;12.5;5;26.2905418873;2;30.9295005798;10.625;5;24.3808503151;
19;2;25.8307437897;12.5;6;26.3255085945;2;31.6285095215;10.625;5;24.6428759098;
20;2;25.8464794159;12.5;6;26.3609591722;2;31.7857246399;10.625;5;24.9179406166;
21;2;25.8624305725;12.5;6;26.3968753815;2;31.9507637024;10.625;5;25.2052159309;
22;2;25.8785934448;12.5;5;26.4332377911;2;32.1231307983;10.625;6;25.5036282539;
23;2;25.8949565887;12.5;5;26.4700255394;2;32.3021774292;10.625;6;25.8118619919;
24;3;25.9115104675;12.5;5;26.5072168112;2;32.4871177673;10.625;6;26.128370285;
