Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
4;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
5;1;12.0;10.0;5;20.0;2;13.5;8.625;4;18.25;
6;1;13.0;10.0;5;20.0;2;14.5;8.625;4;18.3624999523;
7;1;14.0;10.0;5;20.3999996185;2;15.5674991608;8.625;4;18.8425289392;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;16.3055171967;8.79749965668;4;19.2834601402;
9;2;14.7768793106;10.3632001877;4;22.8194274902;2;16.5700759888;8.94309806824;4;20.2715096474;
10;2;15.2687425613;10.9097137451;4;23.7816035748;2;17.1629047394;9.3333568573;4;21.1754176617;
11;2;17.268743515;11.3658018112;4;24.5765366554;2;19.1629047394;9.6677980423;4;22.0040557384;
12;2;19.268743515;11.7372808456;4;25.2233480215;2;21.1629047394;9.94955635071;4;22.7696070671;
13;2;20.3389205933;12.0336990356;5;25.7444707155;2;22.6416397095;10.1834592819;4;23.485840559;
14;2;21.364118576;12.2662630081;5;26.162507534;2;23.8412647247;10.3752222061;4;24.1666834354;
15;2;22.3902301788;12.446267128;5;26.3300433159;2;25.0630722046;10.5308046341;5;24.7632339001;
16;2;23.417263031;12.5;5;26.3921557665;2;26.3079681396;10.625;5;25.210706234;
17;2;24.4452133179;12.5;5;26.4563041925;2;27.5764503479;10.625;5;25.6974492073;
18;2;25.4740791321;12.5;5;26.5224741697;2;28.8684959412;10.625;5;26.2223615646;
19;2;25.9351139069;12.5;6;26.5906432867;2;29.733417511;10.625;5;26.7831263542;
20;2;25.9657897949;12.5;6;26.6607804298;2;30.0698757172;10.625;5;27.3761043549;
21;2;25.9973506927;12.5;6;26.7328453064;2;30.4256629944;10.625;5;27.9963049889;
22;2;26.0297813416;12.5;6;26.8067884445;2;30.7977828979;10.625;6;28.6374530792;
23;2;26.0630550385;12.5;6;26.8825509548;2;31.182472229;10.625;6;29.2921695709;
24;2;26.0971488953;12.5;7;26.9600640535;2;31.575302124;10.625;6;29.9522571564;
