Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;11.0;10.0;6;20.0;1;11.8999996185;8.625;5;17.25;
4;1;11.0;10.0;6;20.0;1;11.8999996185;8.625;5;17.25;
5;1;12.0;10.0;6;20.0;1;12.8999996185;8.625;5;17.25;
6;1;13.0;10.0;6;20.0;1;13.8999996185;8.625;5;17.25;
7;1;14.0;10.0;6;20.3999996185;1;14.8999996185;8.625;5;17.5949993134;
8;2;14.6300001144;10.1999998093;5;21.7264003754;1;15.5569992065;8.79749965668;5;17.8861961365;
9;2;14.7768793106;10.3632001877;5;22.9494274855;1;15.7317180634;8.94309806824;5;18.6667137146;
10;2;15.3272428513;10.9097137451;5;24.0070346594;1;16.2000274658;9.3333568573;5;19.3355960846;
11;2;17.3272418976;11.3658018112;5;24.9122858047;2;18.2000274658;9.6677980423;4;20.8991127014;
12;2;19.3272438049;11.7372808456;5;25.6857330799;2;20.2000274658;9.94955635071;4;21.3969185352;
13;2;20.5469932556;12.0336990356;5;26.3512378931;2;21.8180274963;10.1834592819;4;21.8110353947;
14;2;20.8580570221;12.2662630081;5;26.9327886105;2;22.8363819122;10.3752222061;4;22.1533753872;
15;2;21.1197547913;12.446267128;5;27.2842636108;2;23.8550872803;10.5308046341;5;22.3735172749;
16;2;21.2779178619;12.5;5;27.5518820286;2;24.2000274658;10.8497037888;5;22.4058350325;
17;2;23.34998703;12.5;5;27.8440244198;2;25.2000274658;10.9717502594;5;22.4387089014;
18;2;24.4814529419;12.5;5;28.1613030434;2;26.2000274658;10.9816131592;5;22.4721269608;
19;2;25.6242275238;12.5;6;28.5039470196;2;26.75;10.9916381836;5;22.5060760975;
20;2;26.7784175873;12.5;6;28.871723175;2;26.75;11.0018224716;5;22.5405418873;
21;2;26.992275238;12.5;6;29.263862133;2;26.75;11.0121622086;6;22.5755085945;
22;3;27.1687374115;12.5;5;29.6789975166;2;26.75;11.022652626;6;22.6109591722;
23;3;27.3555488586;12.5;5;30.1151270866;2;26.75;11.3054800034;6;22.6468753815;
