Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;2;12.0;10.0;4;21.0;2;12.2999992371;8.625;4;18.25;
3;2;13.0;10.0;5;21.0900000334;2;12.2999992371;8.625;3;18.3999999762;
4;2;14.0;10.0;5;21.1871190071;2;12.3599996567;8.625;4;18.570775032;
5;2;15.5342035294;10.0;5;21.2917383909;2;13.6924648285;8.625;4;18.7646545172;
6;2;16.581281662;10.0;5;21.817143321;2;14.8087921143;8.625;4;19.3442033529;
7;2;17.637714386;10.1999998093;5;22.2793469429;2;15.9495220184;8.79749965668;4;19.9021677971;
8;2;18.0257053375;10.3632001877;5;23.5656701326;2;16.9413013458;8.94309806824;4;21.0653979778;
9;2;18.6045513153;10.9097137451;5;24.691826582;2;17.6392383575;9.3333568573;4;22.1804671288;
10;2;19.111322403;11.3658018112;5;25.6707911491;2;18.3082790375;9.6677980423;4;23.2604737282;
11;2;21.1113204956;11.7372808456;5;26.5228655338;2;20.3082790375;9.94955635071;4;24.3211779594;
12;2;23.1113204956;12.0336990356;5;27.2714657784;2;22.3082790375;10.1834592819;4;25.378736496;
13;2;24.2721595764;12.2662630081;5;27.9399077892;2;24.1571903229;10.3752222061;4;26.4476318359;
14;2;24.5729598999;12.446267128;5;28.3811409473;2;24.8685798645;10.5308046341;4;27.4769949913;
15;2;24.7715129852;12.5;4;28.7401795387;2;25.4861965179;10.625;4;28.3969092369;
16;2;26.884721756;12.5;4;29.1239151955;2;26.0381450653;10.625;4;29.3869771957;
17;2;28.0574035645;12.5;3;29.5311965942;2;26.6321868896;10.625;3;30.4336385727;
18;2;29.2406806946;12.5;3;29.960246563;2;27.2601833344;10.625;3;31.5188102722;
19;2;30.4337520599;12.5;4;30.4086403847;2;27.9112854004;10.625;3;32.6207761765;
20;2;30.6838874817;12.5;3;30.873316288;2;28.5724658966;10.625;3;33.7156934738;
21;2;28.6838874817;13.5;3;31.3506221771;2;28.5724658966;11.625;3;34.7795543671;
22;3;29.6838874817;12.5;2;31.8364052773;2;30.5724658966;10.625;3;35.7902727127;
