Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
4;1;11.0;10.0;4;20.0;1;11.8999996185;8.625;5;17.25;
5;2;12.4499998093;10.0;2;21.0;1;12.8999996185;8.625;4;17.25;
6;2;13.4499998093;10.0;2;21.0299999714;1;13.8999996185;8.625;4;17.25;
7;2;14.4635000229;10.0;1;21.4708906412;1;14.8999996185;8.625;3;17.5949993134;
8;2;14.661901474;10.1999998093;1;21.8393678665;1;15.5569992065;8.79749965668;3;17.8861961365;
9;2;14.82771492;10.3632001877;1;22.9867860079;1;15.7317180634;8.94309806824;3;18.6667137146;
10;2;15.3440542221;10.9097137451;1;23.9553763866;1;16.2000274658;9.3333568573;3;19.3355960846;
11;2;17.3440532684;11.3658018112;1;24.7567846775;1;17.2000274658;9.6677980423;3;19.8991127014;
12;2;19.3440551758;11.7372808456;1;25.4101134539;1;18.2000274658;9.94955635071;3;20.3669185638;
13;2;20.4229640961;12.0336990356;2;25.9377754927;1;19.2000274658;10.1834592819;3;20.7504444122;
14;2;21.4511051178;12.2662630081;2;26.3623514175;1;20.2000274658;10.3752222061;3;21.0616092682;
15;2;22.4801597595;12.446267128;2;26.5364025831;1;21.2000274658;10.5308046341;4;21.25;
16;2;23.5101242065;12.5;2;26.6049814224;1;22.2000274658;10.625;4;21.25;
17;2;24.5409851074;12.5;2;26.6755206585;1;23.2000274658;10.625;4;21.25;
18;2;25.5727272034;12.5;2;26.7479782104;2;25.2000274658;10.625;3;22.25;
19;2;26.0365905762;12.5;3;26.8223025799;2;26.75;10.625;3;22.3550000191;
20;2;26.0700359344;12.5;3;26.8984328508;2;27.4130001068;10.625;3;22.4698647261;
21;2;26.1042938232;12.5;3;26.9762983322;2;27.481918335;10.625;3;22.5952684879;
22;2;26.139333725;12.5;3;27.0558187962;2;27.5571613312;10.625;3;22.7318768501;
23;2;26.1751174927;12.5;3;27.1369040012;2;27.639125824;10.625;5;22.880333066;
24;2;26.2116069794;12.5;2;27.2194547653;2;27.7281990051;10.625;5;23.0412415266;
