Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.0;10.0;4;20.0;2;12.2999992371;8.625;3;18.25;
2;1;11.0;10.0;5;20.0;2;12.2999992371;8.625;3;18.3624999523;
3;1;11.0;10.0;4;20.0;2;12.3449993134;8.625;3;18.4864046574;
4;1;11.0;10.0;4;20.0;2;13.6418428421;8.625;3;18.6225773096;
5;1;12.0;10.0;4;20.0;2;14.7235460281;8.625;3;18.7718783617;
6;1;13.0;10.0;4;20.0;2;15.813126564;8.625;3;19.2953654528;
7;1;14.0;10.0;4;20.3999996185;2;16.5772190094;8.79749965668;3;19.7829483747;
8;1;14.1800003052;10.1999998093;4;20.7264003754;2;16.86977005;8.94309806824;3;20.8357114792;
9;1;14.3268795013;10.3632001877;4;21.8194274902;2;17.5014266968;9.3333568573;3;21.8100104332;
10;1;14.8187427521;10.9097137451;4;22.7316036224;2;19.5014266968;9.6677980423;3;22.7143921852;
11;1;15.8187427521;11.3658018112;4;23.4745616913;2;21.5014266968;9.94955635071;3;23.5604228973;
12;1;16.8187427521;11.7372808456;4;24.0673980713;2;23.1161308289;10.1834592819;3;24.3609085083;
13;2;18.8187427521;12.0336990356;4;25.5325260162;2;23.6165466309;10.3752222061;3;25.1284193993;
14;2;20.8187427521;12.2662630081;4;26.0225342512;2;25.6401138306;10.5308046341;4;25.812277317;
15;2;22.3272438049;12.446267128;4;26.2754310369;2;26.9373931885;10.625;4;26.3455038071;
16;2;23.3926868439;12.5;4;26.4377241135;2;28.2573299408;10.625;4;26.9138817787;
17;2;24.465719223;12.5;4;26.6183350086;2;29.5983562469;10.625;4;27.513466835;
18;2;25.5469932556;12.5;4;26.8187118769;2;30.5080795288;10.625;5;28.1389698982;
19;2;26.0684204102;12.5;5;27.0402543545;2;30.8833808899;10.625;5;28.7838482857;
20;2;26.1681137085;12.5;4;27.2842636108;2;31.2703094482;10.625;5;29.4405097961;
21;2;26.2779178619;12.5;4;27.5518820286;2;31.6643066406;10.625;5;30.1006231308;
22;2;26.3983459473;12.5;5;27.8440244198;2;32.0603752136;10.625;5;30.7555141449;
23;2;26.5298118591;12.5;5;28.1613030434;2;32.4533081055;10.625;5;31.3966121674;
24;2;26.672586441;12.5;5;28.5039470196;2;32.8379669189;10.625;5;32.0158996582;
25;2;25.25;13.5;5;28.871723175;2;33.2095413208;10.625;5;32.6063127518;
26;3;25.25;14.0486888885;4;29.263862133;2;33.5637893677;10.625;5;33.1620550156;
27;3;25.25;14.2055444717;4;29.6789975166;2;33.8972320557;10.625;5;33.6787929535;
28;3;25.25;14.3715991974;4;30.1151270866;2;34.2072753906;10.625;5;34.1537227631;
29;3;25.25;14.5460510254;4;30.5695996284;2;34.4922332764;10.625;6;34.5855169296;
30;3;25.25;14.7278404236;4;31.0391392708;2;34.7513122559;10.625;6;34.9741783142;
31;3;25.25;14.9156551361;4;31.5199065208;2;34.9845046997;10.625;6;35.3208265305;
32;3;25.25;15.1079626083;4;32.007601738;2;35.1924972534;12.625;6;35.627453804;
33;3;25.25;15.3030405045;4;32.4976010323;3;35.3764724731;14.625;6;35.8966779709;
34;3;25.25;15.4990406036;5;32.9851250648;3;35.5380058289;16.625;6;36.1315116882;
35;3;25.25;15.6940498352;6;33.465420723;3;35.6789093018;18.625;6;36.3351631165;
36;3;25.25;15.8861684799;6;33.9339466095;3;35.8010978699;20.625;7;36.5;
37;3;26.25;17.8861694336;6;34.3865451813;3;35.9000015259;20.625;7;36.5;
38;3;27.25;19.5;7;34.8195896149;3;35.9000015259;20.625;8;36.5;
39;3;25.25;21.5;8;35.2300891876;3;35.9000015259;20.625;8;36.5;
40;3;25.25;23.5;8;35.6157541275;3;35.9000015259;20.625;8;36.5;
41;3;25.25;25.5;8;35.9750175476;3;35.9000015259;20.625;7;36.5;
42;3;25.25;26.5;9;36.307009697;3;35.9000015259;20.625;9;36.5;
43;3;25.25;27.0228042603;9;36.6115064621;3;35.9000015259;20.625;9;36.5;
44;4;25.25;27.1446037292;7;51.3888463974;3;35.9000015259;20.625;9;36.5;
45;4;27.25;26.1446037292;8;52.4373378754;3;35.9000015259;20.625;10;36.5;
46;4;29.25;26.1446037292;8;53.3825235367;3;35.9000015259;20.625;11;36.5;
47;4;30.25;26.1446037292;8;54.2225942612;3;35.9000015259;20.625;11;36.5;
48;4;31.25;26.5;8;54.9597263336;3;35.9000015259;20.625;11;36.5;
49;4;32.25;27.5;8;55.599234581;3;35.9000015259;20.625;11;37.8687496185;
50;4;33.0583267212;28.5;8;56.1002006531;3;36.7212524414;21.0234375;12;39.0226593018;
51;4;33.0999984741;29.5;9;56.4440689087;3;37.4135932922;21.3489723206;14;39.9819107056;
52;4;33.0999984741;30.5;10;56.7310466766;3;37.9891433716;21.6102333069;13;40.7703399658;
53;4;33.0999984741;31.5;12;56.9687347412;3;38.4622039795;21.8168411255;13;41.4125671387;
54;4;33.0999984741;32.5;12;57.0;3;38.8475418091;21.9782962799;13;41.7255001068;
55;4;33.0999984741;33.5;13;57.0;3;39.0353012085;22.0;15;41.9514122009;
56;5;33.0999984741;34.5;8;62.0;3;39.1708488464;22.0;15;42.0;
57;5;34.0999984741;36.5;9;62.1500000954;3;39.2000007629;22.0;15;42.0;
58;5;35.0999984741;38.5;9;65.2567749023;3;39.2000007629;22.0;15;42.0;
59;5;37.7255020142;39.0;10;67.0449895859;4;39.2000007629;22.0;15;43.0;
60;5;38.2337646484;42.3899993896;10;68.5223202705;4;40.2000007629;23.0;15;42.9499999881;
61;5;38.6410598755;45.6872596741;11;69.7380535603;4;41.2000007629;24.0;15;42.9049999714;
62;6;38.9645843506;48.9097442627;11;70.5761011839;4;41.2000007629;25.0;15;42.8644999862;
63;6;40.153842926;49.0;12;70.9559253454;4;41.2000007629;26.0;15;42.8280500174;
64;7;39.2479476929;50.9942626953;11;71.304223299;4;41.2000007629;27.0;16;42.7952449918;
65;7;39.3295059204;52.0656814575;13;71.5130679607;4;41.2000007629;27.3976230621;16;42.7657204866;
66;8;39.3499984741;52.6357078552;12;71.6725194454;4;41.2000007629;27.3828601837;15;42.739148438;
67;8;39.3499984741;52.7043113708;12;71.8280638456;4;41.2000007629;27.3695735931;15;42.7152335644;
68;8;39.3499984741;54.6844902039;12;72.9796766043;4;41.2000007629;27.3576164246;16;42.6937102079;
69;9;40.3499984741;56.7097167969;14;73.1473612785;3;41.2000007629;27.3468551636;16;42.6743391752;
70;9;40.3499984741;57.7354812622;14;73.3113431931;3;37.2000007629;29.3371696472;16;42.6569052339;
71;9;40.3499984741;59.7617759705;14;73.4716669321;3;39.2000007629;27.328453064;17;42.6412147284;
72;9;40.3499984741;61.7885780334;15;73.1283950806;3;35.2000007629;29.3206062317;15;42.6270932555;
73;9;40.3499984741;63.8158721924;17;73.5891065598;3;35.2000007629;29.3135471344;15;42.6143839359;
74;9;40.3499984741;65.504776001;17;73.8999134302;3;35.2000007629;30.3071918488;16;42.6029455662;
75;10;37.5999984741;68.545539856;16;73.9782649279;3;32.2000007629;32.3014717102;16;42.5926510096;
76;10;36.5999984741;71.5868225098;17;75.0575662851;3;32.2000007629;32.2963256836;16;42.5833858848;
77;10;36.5999984741;74.9452972412;19;75.1577535868;3;29.550031662;34.0;18;42.5750473142;
78;10;36.5999984741;77.9875259399;20;75.2589555979;3;27.5450286865;36.0;19;42.5675425529;
79;10;36.5999984741;81.0301818848;20;75.36109519;3;25.5405273438;38.0;19;42.5607882738;
80;10;37.5999984741;81.0732269287;21;75.4640916586;3;23.7364749908;40.0;20;42.5547094345;
81;11;36.5999984741;84.116607666;21;76.5678616762;3;22.7328262329;42.0;21;42.549238503;
82;11;37.5999984741;88.1603088379;20;76.7123183012;3;21.7295455933;44.0;21;42.5443146229;
83;11;39.5999984741;89.204284668;23;76.8585563898;3;20.7265911102;46.0;21;42.5398831367;
84;11;38.5999984741;93.2484741211;24;77.0064862967;3;20.4000015259;45.3779182434;22;42.5358948112;
85;11;39.5999984741;94.2928619385;25;77.1560130119;3;18.7215385437;47.0;22;42.5323053598;
86;11;39.5999984741;95.3373794556;26;77.3070378304;3;17.7193851471;49.0;22;42.5290748477;
87;11;38.5999984741;100.985847473;26;77.4594573975;3;17.4000015259;48.3703536987;23;42.5261673927;
88;11;38.5999984741;104.061515808;26;77.6131643057;3;16.315700531;50.0;21;42.5235506296;
89;12;38.5999984741;107.137283325;26;77.7680472136;3;16.3141307831;52.0;21;42.5211955905;
90;13;38.5999984741;110.21307373;25;77.9239919186;3;17.0;51.3648376465;22;42.5471448898;
91;13;39.5999984741;110.288818359;24;78.0808807611;3;16.3282871246;53.0;22;42.5742442012;
92;13;38.5999984741;113.364448547;26;78.2385932207;3;16.3445472717;55.0;22;42.6025300622;
93;13;38.5999984741;115.492958069;23;78.3970063925;3;18.0;51.4217720032;23;42.6320387721;
94;14;40.5999984741;111.604972839;22;78.5559953451;3;16.3792228699;53.0;23;42.6628061533;
95;15;38.5999984741;113.717384338;23;78.7154334784;3;16.3976840973;55.0;24;42.6948673725;
96;15;38.5999984741;115.830116272;24;78.8751928806;3;18.0;51.4864082336;24;42.7282566428;
