Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
79;10;41.9170913696;54.92370224;9;62.5427284241;1;18.2999992371;19.0;17;28.0;
80;10;42.051399231;54.9485549927;10;63.0636726618;1;18.2999992371;19.0;17;28.0;
81;10;42.1889839172;54.973487854;11;63.595194459;1;18.2999992371;19.0;18;28.8400001526;
82;11;43.3297042847;55.9984741211;8;65.1366353035;1;18.4890003204;19.4200000763;18;29.4629440308;
83;11;44.0280799866;57.0234718323;9;65.8372004032;1;18.6291618347;19.7314720154;18;29.9158058167;
84;11;45.6198158264;58.0484580994;11;66.5667312145;1;18.7310562134;19.9579029083;18;30.0;
85;11;46.768737793;59.0734024048;11;67.2877175808;1;18.75;20.0;18;30.0;
86;11;47.9082183838;60.0982666016;13;68.0208724737;1;18.75;20.0;18;30.0;
87;11;48.5639953613;60.1230239868;15;68.7895854712;1;18.75;20.0;18;30.0;
88;12;44.3721733093;63.147644043;14;69.5947518349;1;18.75;20.0;19;30.0;
89;12;42.8777618408;66.1721038818;14;70.4370353222;1;18.75;20.0;18;30.0;
90;12;42.6081619263;69.1963653564;16;71.3167700768;1;18.75;20.0;18;30.0;
91;12;45.742767334;65.1721038818;17;72.2338416576;1;18.75;20.0;18;30.0;
92;12;47.7370147705;63.1721000671;17;73.1875517368;1;18.75;20.0;19;30.0;
93;12;49.0054969788;64.1721038818;17;74.1764700413;1;16.75;21.0;19;30.0;
94;12;50.2847671509;65.1721038818;19;76.1982905865;1;15.75;22.0;20;30.0;
95;12;51.5741462708;67.1721038818;19;77.3396986723;1;14.75;23.0;20;30.0;
96;12;48.9666976929;71.1721038818;18;78.5133969784;1;13.75;24.0;20;30.0;
97;12;47.7966575623;74.1721038818;20;79.7142077684;1;12.75;25.0;20;30.0;
98;13;48.0092048645;78.1721038818;20;80.9358358383;1;12.0;26.0;22;30.0;
99;13;45.2290420532;83.1721038818;20;82.1709880829;1;12.0;27.0;21;30.0;
100;13;44.4541320801;87.9561157227;21;84.8954337835;1;12.0;28.0;22;30.0;
