Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
58;6;38.4448318481;34.5;7;88.9805660248;4;23.8999996185;24.0;14;44.0;
59;6;39.75;35.5;9;91.0553150177;4;23.8999996185;24.0;14;44.0;
60;6;42.8065414429;37.5;8;92.5941879749;4;23.8999996185;24.0;15;44.0;
61;6;43.9370765686;39.5;8;96.905939579;4;23.8999996185;24.0;15;44.0;
62;6;45.7773208618;42.0;8;100.146525502;4;23.8999996185;24.0;17;44.0;
63;6;47.4539642334;43.3899993896;9;102.538988948;4;23.8999996185;24.0;17;44.0;
64;7;48.9927597046;43.6872596741;8;104.158597827;4;23.8999996185;24.0;17;44.0;
65;7;50.420501709;43.9097442627;8;104.836236596;5;23.8999996185;24.0;15;44.0;
66;7;51.6508712769;44.0;11;105.155540466;5;23.8999996185;24.0;15;44.0;
67;7;52.7466621399;44.0;10;105.477011323;6;24.8999996185;25.0;14;45.0;
68;7;53.8431015015;44.0;10;105.800111651;6;25.8999996185;26.0;14;46.4999996424;
69;7;54.940032959;44.0;11;106.124300003;6;26.4624996185;27.4200000763;14;47.7485160828;
70;7;56.0372886658;44.0;10;107.449032187;6;26.7434158325;28.7314720154;14;48.8017982244;
71;7;58.1347084045;45.0;10;108.013764858;6;26.9804039001;29.9579029083;14;49.4716626406;
72;7;60.2321281433;46.0;11;108.632582784;6;26.6993408203;30.0;15;50.0535032749;
73;7;60.3293876648;47.0;11;109.315810323;6;26.7565040588;30.0;15;50.6232366562;
74;7;60.426322937;48.0;12;110.075119495;6;26.7999992371;30.0;16;51.0528378487;
75;7;61.2225341797;49.0;12;110.923260212;6;26.7999992371;30.0;16;52.539678812;
76;7;61.476978302;49.0;12;111.873514175;6;25.7999992371;32.0;16;53.1269245148;
77;7;61.7620506287;49.0;13;112.938777685;6;25.7999992371;34.0;16;53.7775945663;
78;7;60.8077659607;50.0;13;114.13019371;6;24.7999992371;36.0;18;54.4917194843;
79;7;60.9008178711;51.0;14;115.455313444;6;24.0527992249;36.0;18;55.2670530081;
80;7;60.9926643372;52.0;14;116.91586566;6;24.0625991821;37.0;18;56.098683238;
81;7;61.0831832886;53.0;14;118.505405903;6;23.0726642609;36.0;18;56.9788038731;
82;7;61.172252655;54.0;10;120.207318544;7;23.0829925537;37.0;17;57.8967254162;
83;7;61.2597579956;55.0;12;121.99382472;7;23.0935840607;38.0;17;58.8391945362;
84;7;62.3455886841;53.0;12;123.820913553;7;22.3544311523;39.0;17;59.7910374403;
85;7;61.4279136658;54.0;13;125.594528913;7;22.3655357361;40.0;17;60.7360924482;
86;8;61.4921913147;55.0;12;127.32285881;8;22.3768863678;41.0;17;61.6583266258;
87;8;60.555431366;54.0;13;128.959991217;8;22.3884811401;42.0;16;62.5429782867;
88;8;60.6175308228;54.0;14;131.451990604;8;22.4003143311;43.0;16;63.3775610924;
89;8;59.9734382629;53.0;14;133.820756435;8;22.4123764038;44.0;15;64.1525765657;
90;8;59.3371963501;52.0;15;136.046145916;8;22.4246578217;46.0;16;64.8618619442;
91;9;59.7061691284;52.0;13;153.869728088;8;22.4371528625;48.0;16;66.5025589466;
92;9;59.0775489807;55.0;13;157.7765522;8;21.449848175;52.0;16;68.1347705126;
93;10;58.3231315613;60.0;12;160.475608349;8;22.0499992371;57.9171905518;17;68.7639755011;
94;10;57.7042655945;64.0;12;162.931989193;9;22.0499992371;59.9462203979;16;69.3374912739;
95;10;56.8191795349;68.0;13;165.156664133;9;22.0;62.9756278992;16;69.8608664274;
96;11;58.4128952026;71.0;14;167.015133739;9;22.0;66.0053710938;15;70.3402086496;
97;11;55.8702888489;75.0;14;168.619201541;9;22.0;69.7005691528;15;70.7817366123;
98;11;56.1976776123;77.8482894897;14;170.090587854;9;22.0;71.7686080933;16;71.0827134848;
99;11;53.5097579956;79.8804244995;14;172.435919523;9;22.0;73.8385009766;17;71.3047801256;
100;11;55.172000885;85.9133758545;15;173.678678513;9;22.0;75.9102172852;17;71.5336526632;
101;11;56.172000885;89.9471206665;16;174.643880248;9;22.0;77.9837112427;18;71.7692438364;
102;11;56.7229881287;94.9816589355;18;176.549796343;9;22.0;80.0589599609;19;72.0114314556;
103;11;57.7499771118;101.016983032;18;177.436516404;9;22.0;82.135887146;20;72.260057807;
104;11;58.8581695557;107.05305481;19;178.266253471;9;22.0;84.2144470215;20;72.5149271488;
105;12;55.8871841431;113.089866638;19;179.040829897;9;24.0;80.2945556641;21;72.7758040428;
106;13;57.5766792297;118.127388;19;179.762693524;9;22.0;82.3761367798;24;73.0424129963;
107;14;57.6077384949;122.165603638;19;180.394295931;9;22.0;84.4590911865;24;73.314438343;
108;14;57.6398124695;126.204467773;20;180.884156585;9;24.0;80.5433120728;25;73.5915231705;
109;14;61.434135437;127.0;20;181.246185064;9;22.0;82.6287002563;25;73.8732702732;
110;14;66.1991043091;131.0;20;181.593469262;9;22.0;84.7151184082;27;74.1592431068;
111;14;70.3229522705;135.0;20;182.927115679;9;22.0;87.9234161377;27;74.4489674568;
112;14;77.4494171143;134.0;20;183.30827558;9;22.0;91.0467376709;28;74.7419340611;
113;14;84.5783843994;135.0;20;184.580726862;9;22.0;94.1709136963;29;75.0376014709;
114;14;88.7097473145;140.0;21;185.117482185;9;22.0;94.2957229614;31;75.3353989124;
115;14;95.8433685303;142.0;22;185.735323191;9;23.0;93.4209442139;31;75.6347310543;
116;14;101.979110718;146.0;23;186.451843977;9;22.0;95.546333313;30;75.9349825382;
117;15;107.405158997;150.0;22;187.287428737;9;23.0;94.6716690063;32;76.2355229855;
118;15;112.544670105;154.0;21;188.264829159;11;23.0;93.7966995239;29;76.5357124805;
119;16;117.685806274;155.0;22;189.408093214;11;22.0;95.9211807251;29;76.8349070549;
120;16;121.82837677;157.199996948;23;190.740563273;11;23.0;95.0448684692;30;77.1324651241;
121;17;125.972206116;160.199996948;22;192.281687737;11;23.0;94.1675186157;31;77.4277527332;
122;17;130.11706543;163.199996948;20;194.04256928;11;22.0;96.2889099121;32;77.7201495171;
123;17;133.262756348;163.199996948;22;197.020575285;11;23.0;95.4088058472;33;78.0090551376;
124;17;136.409057617;167.199996948;23;199.253988028;11;23.0;94.5269927979;33;78.2938935757;
125;17;139.555755615;171.372329712;25;202.641394615;11;22.0;96.6432571411;34;78.5741186142;
126;17;137.645385742;181.283004761;24;205.266185522;11;23.0;95.7574234009;29;78.8492188454;
127;17;138.189208984;189.341491699;24;207.916182995;11;23.0;94.8692932129;23;79.118719101;
128;17;138.279220581;197.400283813;24;211.505847216;11;22.0;96.9787063599;21;79.3821864128;
129;17;141.369155884;203.712921143;27;213.989002824;11;23.0;96.0855102539;21;80.3642306328;
130;18;144.458862305;209.859542847;24;216.281762719;11;23.0;95.5001678467;19;81.3727331161;
131;18;146.548202515;217.005447388;23;218.357728124;11;22.0;97.9245147705;19;82.4012503624;
132;18;148.636993408;224.150497437;25;220.217600822;11;23.0;97.3559951782;20;83.4426622391;
133;19;151.725082397;229.219207764;24;221.882571459;11;23.0;96.7918167114;20;85.4893546104;
134;19;154.812316895;234.287780762;25;223.385477781;11;23.0;100.229003906;23;87.5534405708;
135;20;157.323577881;239.356124878;31;231.918355703;10;24.0;96.6644973755;23;81.0934081078;
136;20;157.408691406;246.927734375;31;234.072576642;10;25.0;98.0952529907;24;81.7811418772;
137;20;160.492553711;252.131088257;32;235.945093036;10;24.0;102.518318176;25;82.457170248;
138;20;160.575027466;257.345336914;33;237.892450333;10;25.0;103.930938721;26;83.1179845333;
139;20;161.656005859;263.571746826;31;240.907247186;10;25.0;104.330627441;19;83.7605347633;
140;21;165.735366821;271.810241699;30;243.06946671;10;24.0;107.715202332;19;84.3822888136;
141;21;170.813034058;276.06060791;31;245.283500433;10;25.0;109.082885742;20;84.9812686443;
142;22;169.888931274;284.322479248;31;247.534442544;10;25.0;110.432258606;22;85.5560516119;
143;22;168.96295166;291.595336914;31;249.805264235;10;25.0;112.646209717;22;86.1057528257;
144;22;173.035049438;291.878601074;34;252.077550888;10;25.0;114.84487915;22;86.6299824715;
145;22;173.105163574;299.171356201;39;254.332487464;10;25.0;117.028182983;23;87.1287904978;
