Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;9.0;10.0;4;20.0;2;11.5999994278;16.0;3;33.0;
2;1;9.0;10.0;5;20.0;2;11.5999994278;16.0;3;33.1499999762;
3;1;9.0;10.0;5;20.0;2;11.6299991608;16.0;3;33.0509744883;
4;1;9.0;10.0;4;20.0;2;11.6101951599;15.8719997406;2;32.9969248772;
5;1;10.0;10.0;4;20.0;2;12.793797493;15.7567996979;2;32.9870952368;
6;1;11.0;10.0;4;20.0;2;13.853055954;15.6531200409;2;33.0209845304;
7;1;11.0;10.0;4;20.3999996185;2;14.9062957764;15.5598077774;2;33.2077655792;
8;1;11.1199998856;10.1999998093;4;20.7264003754;2;14.9623298645;15.5218267441;2;33.432765007;
9;1;11.2179203033;10.3632001877;4;20.9903717041;2;15.0298290253;15.4876441956;2;35.0855708122;
10;1;11.2971115112;10.4951858521;4;22.0419120789;2;17.1684627533;16.1171722412;2;36.4355671406;
11;1;11.6125736237;11.0209560394;4;22.9143505096;2;19.1684627533;16.5693645477;3;37.5661897659;
12;2;12.1743059158;11.4571752548;3;24.6214065552;3;21.1684627533;16.884393692;4;38.3949604034;
13;2;14.9125738144;11.8107032776;4;25.3132637739;3;22.6195831299;17.0200004578;4;39.0101003647;
14;2;16.9125728607;12.0916318893;4;25.8980411291;3;23.8041248322;17.0200004578;5;39.681555748;
15;2;17.9952030182;12.3113050461;4;26.3994836807;3;25.0055618286;17.0200004578;5;40.100440979;
16;2;19.0438919067;12.4808797836;3;26.6183350086;3;26.0301322937;16.901599884;6;40.5779247284;
17;2;20.0980739594;12.5;3;26.8187118769;3;26.1733779907;16.7950401306;6;41.1041998863;
18;2;21.1581878662;12.5;3;27.0402543545;3;26.3312606812;16.699136734;6;41.6681118011;
19;2;22.1120758057;12.5;3;27.2842636108;3;26.5004329681;16.6128234863;6;42.2575016022;
20;2;22.1852798462;12.5;3;27.5518820286;3;26.6772518158;16.5351409912;7;42.8597049713;
21;2;22.2655639648;12.5;4;27.8440244198;3;26.8579101562;16.4652271271;7;43.462143898;
22;2;22.3532066345;12.5;4;28.1613030434;3;24.8201560974;17.4023036957;7;44.0529680252;
23;2;22.4483909607;12.5;5;28.5039470196;4;23.8074035645;18.3456726074;6;44.6216373444;
24;2;22.5511837006;12.5;5;28.871723175;4;23.7768230438;19.2947044373;6;45.1593961716;
25;2;19.5;14.4679307938;5;29.263862133;4;23.7493019104;20.24883461;6;45.6595582962;
26;2;20.5;13.5659656525;4;29.6789975166;4;23.7245311737;21.2075519562;6;46.1176147461;
27;3;19.5;13.5;5;30.1151270866;4;24.7022380829;19.1703968048;7;46.5311574936;
28;3;17.5;14.5;5;30.5695996284;4;25.6821746826;18.1369571686;7;46.8996458054;
29;3;16.5;15.5;5;31.0391392708;4;26.6641159058;17.1068611145;7;47.2240877151;
30;3;15.5;16.5;6;31.5199065208;4;24.6478652954;18.0797748566;7;47.5066709518;
31;3;14.5;17.5;6;32.007601738;4;23.6332378387;19.0553970337;7;47.7504043579;
32;3;14.0;18.5;6;32.4976010323;4;23.6200752258;20.0334568024;7;47.9587936401;
33;3;14.0;19.5;6;32.9851250648;4;23.6082267761;21.0137119293;7;49.135559082;
34;3;14.0;20.5;5;33.465420723;4;24.5975646973;22.4959411621;7;49.3919389248;
35;3;14.0;21.5;5;33.9339466095;4;25.5879669189;23.5639686584;8;49.5574704409;
36;3;15.0;19.5;5;35.3865451813;4;25.9880409241;23.9655532837;8;49.7555608749;
37;3;15.0;20.5;5;35.8195896149;4;25.5715579987;26.9655532837;8;49.9895205498;
38;3;16.0;21.5;5;36.2300891876;4;25.5645618439;29.9655532837;9;50.2627954483;
39;3;17.0;19.5;6;36.6157541275;5;27.1996383667;29.9655532837;8;50.578843832;
40;3;16.0;20.5;7;36.9750175476;5;28.2944545746;30.9655532837;9;50.9409711361;
41;3;16.0;21.5;7;37.307009697;5;29.4030914307;31.9124984741;9;51.3521137238;
42;3;17.0;19.5;7;37.6115064621;5;30.5264339447;30.9048500061;10;51.8145692348;
43;3;16.0;20.5;9;37.8888463974;5;31.5443725586;30.8979644775;12;52.3296980858;
44;3;16.0;21.5;9;38.1398382187;5;31.6989097595;30.8917694092;12;52.897591114;
45;3;17.0;21.1000003815;8;38.3656587601;5;31.8692779541;30.8861923218;13;53.5167517662;
46;3;17.0;20.5;9;38.5677556992;5;30.0550251007;31.8811721802;14;54.1838092804;
47;5;18.0;22.1000003815;7;73.747756958;5;29.2551422119;32.8766555786;14;54.8933343887;
48;5;21.0;27.1000003815;7;75.8573904037;5;28.468000412;33.8725891113;14;55.6377878189;
49;5;22.0;29.1000003815;7;77.6369743347;5;27.8121376038;34.8689308167;15;56.4076652527;
50;5;25.0;32.0999984741;8;79.0652484894;5;28.0430984497;35.8656387329;15;57.1918363571;
51;5;28.0;35.0999984741;9;80.2526035309;5;28.2783508301;36.8626747131;18;57.9780988693;
52;6;29.0;38.0999984741;9;81.2249717712;6;28.5142288208;37.8600082397;17;58.7538757324;
53;6;31.0;39.0999984741;9;82.0117835999;6;28.746963501;38.8576049805;17;59.5069942474;
54;6;31.1217956543;39.0999984741;12;82.6270179749;6;28.9728984833;39.8554458618;18;60.226442337;
55;6;33.191078186;40.0999984741;12;82.8827629089;7;29.1887321472;40.8535003662;18;60.9030017853;
56;6;34.7486228943;41.0999984741;12;83.0;7;27.1876831055;42.8517532349;18;61.5296773911;
57;6;35.7750015259;42.0999984741;13;83.0;7;27.1867370605;41.8501739502;19;62.1018981934;
58;6;34.7750015259;44.0999984741;14;83.0;8;27.1858863831;40.8487586975;15;82.6499948502;
59;6;35.7750015259;43.0999984741;14;83.0;8;31.5227508545;41.4101982117;15;85.889202714;
60;6;34.7750015259;45.0999984741;16;83.0;8;35.7609863281;42.807258606;16;88.6097730398;
61;6;34.2750015259;47.0999984741;16;83.0;8;34.9091186523;46.0804595947;16;90.5845905542;
62;6;34.2750015259;46.0999984741;17;83.0;8;32.6263313293;49.038848877;16;92.2097039223;
63;6;32.2750015259;48.0999984741;15;83.0;8;34.9733810425;48.038848877;17;93.4591095448;
64;7;31.7749996185;50.0999984741;13;105.402418137;7;35.0362129211;43.1200027466;17;71.4662138224;
65;7;34.7750015259;47.0999984741;11;105.287176132;7;33.6117134094;44.8455810547;18;71.8280268908;
66;6;33.7750015259;46.0999984741;12;83.0;8;33.5672454834;45.1200027466;17;94.4359669685;
67;6;31.7749996185;48.0999984741;12;83.0;8;34.2129135132;47.8712310791;18;95.1701790094;
68;6;32.7750015259;47.0999984741;15;85.9900000095;8;35.6888427734;49.1200027466;19;95.7539942265;
