Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;2;9.19999980927;10.0;3;21.0;1;6.0;14.0;4;20.0;
2;2;9.19999980927;10.0;3;21.0900000334;1;7.0;13.0;6;20.0;
3;2;9.21800041199;10.0;3;21.1871190071;1;8.0;12.0;6;20.0;
4;2;9.23742389679;10.0;3;21.2917383909;1;8.0;11.0;6;20.0;
5;2;10.3875217438;10.0;3;21.4042263031;2;8.0;10.3000001907;5;21.0;
6;2;11.4212675095;10.0;3;21.5249304771;2;9.22500038147;10.0;5;21.0900000334;
7;2;11.4574794769;10.0;3;22.0694183111;2;9.74524974823;10.0;4;21.1871190071;
8;2;11.6208257675;10.1999998093;3;22.5515855551;2;9.76710128784;10.0;4;21.7036092281;
9;2;11.7654762268;10.3632001877;3;22.983014226;2;9.88331222534;10.1999998093;4;22.1564130783;
10;2;11.8949041367;10.4951858521;3;24.2738182545;2;9.98519229889;10.3632001877;4;22.557236433;
11;2;12.2821455002;11.0209560394;3;25.4089095592;2;10.075378418;10.4951858521;4;23.8035871983;
12;2;14.2821455002;11.4571752548;3;26.4029755592;2;10.3558073044;11.0209560394;4;24.8916251659;
13;2;16.2821464539;11.8107032776;2;27.276881218;2;12.1677207947;11.4571752548;4;25.8364036083;
14;2;17.5406589508;12.0916318893;2;28.0536293983;2;14.1677207947;11.8107032776;4;26.6592981815;
15;2;18.6418800354;12.3113050461;2;28.755402565;2;16.1677207947;12.0916318893;4;27.3839819431;
16;2;19.750667572;12.4808797836;3;29.1808357239;2;17.3441429138;12.3113050461;4;28.0334718227;
17;3;20.8668251038;12.5;3;29.5913586617;2;18.4139690399;12.4808797836;4;28.407397747;
18;3;21.9899806976;12.5;3;30.0233430862;2;19.4894981384;12.5;5;28.7683298588;
19;3;23.0070037842;12.5;3;30.4742712975;2;20.4728736877;12.5;5;29.1538929939;
20;3;23.1422805786;12.5;4;30.9409928322;2;20.5596256256;12.5;5;29.562889576;
21;3;23.2822971344;12.5;4;31.4197778702;2;20.6516494751;12.5;4;29.9934945107;
22;3;23.4259338379;12.5;4;31.906411171;2;20.7485351562;12.5;4;30.4432339668;
23;3;23.5719223022;12.5;5;32.3963236809;2;20.8497276306;12.5;5;30.9089989662;
24;3;23.7188968658;12.5;5;32.8847527504;3;20.9545249939;12.5;4;31.3870959282;
25;3;23.8654251099;12.5;5;33.3669252396;3;21.0620956421;12.5;4;31.8733391762;
26;3;21.8654251099;13.5;6;33.8382406235;3;21.1715011597;12.5;4;32.36317873;
27;3;21.5;14.5;6;34.2944498062;3;21.2817153931;12.5;4;32.8518595695;
28;3;21.5;15.5;6;34.7318048477;3;19.625;13.5;4;33.3346033096;
29;3;19.5;17.3927211761;6;35.1471776962;3;17.625;15.5;4;33.8067913055;
30;3;19.5;16.3927211761;5;35.5381307602;3;16.625;17.5;5;34.2641468048;
31;3;19.5;16.3927211761;6;36.9029474258;3;15.625;19.5;5;34.7028827667;
32;3;20.5;16.8999996185;6;37.260617733;3;14.625;21.5;6;35.1198272705;
33;3;20.8721847534;17.908000946;6;37.590985775;3;14.0;23.5;6;35.5124940872;
34;3;19.9652366638;18.9160785675;6;37.894274354;3;14.0;25.5;6;35.8791179657;
35;3;19.8682823181;19.5;6;38.171197772;3;14.0;27.1153831482;7;36.2186422348;
36;3;19.9513587952;20.5;6;38.422857523;4;14.0;28.3530502319;5;36.530673027;
37;4;20.0268573761;21.5;6;54.6506465673;4;14.0;29.571472168;5;36.8154029846;
38;4;22.0951938629;20.5;6;55.4961533546;4;14.0;30.7707824707;5;37.0735216141;
39;4;23.8136787415;20.9575557709;6;56.2401902676;4;14.0;31.9514656067;6;37.3061151505;
40;4;22.8136787415;21.9660491943;6;56.8673331738;4;14.0;33.1142807007;9;37.5145664215;
41;5;23.1696300507;22.5;5;57.2988978624;4;14.0;34.2601966858;9;37.7004623413;
42;5;26.1760845184;26.5;6;57.6659222841;4;14.0;35.3903236389;10;37.8655099869;
43;5;29.1825790405;28.5;6;57.975987196;4;14.0;36.505859375;11;38.0;
44;5;32.1891098022;30.5;6;58.236690402;4;14.0;37.5999984741;11;38.0;
45;5;33.781993866;31.5;7;58.2953014374;4;14.0;38.5999984741;10;38.0;
46;6;34.7885894775;32.5;6;58.3173824549;4;15.0;36.5999984741;11;38.0;
47;6;35.4952163696;32.5;6;58.3395489454;4;14.0;37.5999984741;9;38.0;
48;6;35.501865387;32.5;6;58.3617914915;4;14.0;38.5999984741;9;38.0;
49;6;35.5085372925;32.5;7;59.3841004372;4;15.0;36.5999984741;10;38.0;
50;6;36.5152282715;33.5;7;59.4964661598;4;14.0;37.5999984741;10;38.0;
51;6;37.521938324;34.5;8;59.6159976721;4;14.0;38.5999984741;13;38.0;
52;6;37.8847999573;35.5;8;60.7430664301;4;16.0;34.5999984741;15;38.0;
53;6;38.9229164124;37.5;8;61.0280306339;4;18.0;32.5999984741;15;38.0;
54;6;39.9634094238;39.5;10;61.3420029879;4;19.9249992371;30.5999984741;13;38.0;
55;7;40.4025993347;40.5;8;61.6876213551;4;20.9249992371;29.5;14;38.0;
56;7;40.5062828064;41.5;8;62.0675748587;5;22.9249992371;29.5;14;39.0;
57;7;37.6376647949;44.1165161133;9;62.4845392704;5;25.9249992371;29.5;15;39.0900000334;
58;7;37.150932312;45.5;11;62.9410902262;6;28.388250351;29.5;14;63.1871190071;
59;7;36.2045669556;47.5;11;63.4395962954;6;31.0295257568;30.5;15;64.4917391539;
60;7;35.2609863281;48.8126754761;12;65.8003938198;6;33.0739898682;31.5;16;65.5618267059;
61;7;34.5546722412;51.2988204956;12;67.8895879984;6;35.1217956543;31.5;16;66.4260344505;
