Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
75;7;26.7000007629;33.1017456055;10;33.2033342123;7;26.5249996185;34.5;17;34.0079913139;
76;7;27.0359992981;33.6348152161;10;34.2103966475;7;26.5249996185;35.5;17;34.2083797455;
77;7;27.8074798584;33.3899993896;10;35.0335724354;7;26.5249996185;36.5;18;34.4130830765;
78;7;26.2123565674;35.3920822144;10;36.7084959745;7;26.5249996185;37.5;18;34.6219033003;
79;7;28.9021511078;34.9097442627;10;37.1599628925;7;26.5249996185;37.5;18;36.040034771;
80;7;30.8359870911;36.0;10;37.4327911139;7;25.8500003815;39.0;18;37.2477771044;
81;7;28.3999996185;38.8192977905;10;38.7071933746;7;26.9791984558;38.3899993896;19;38.2791675329;
82;7;27.3999996185;42.7810401917;10;39.0428650379;7;26.1592674255;39.6872596741;19;39.1695933342;
83;7;27.3999996185;45.8649520874;11;39.3824634552;7;28.2115821838;38.9097442627;19;40.8035334349;
84;8;26.3999996185;47.9488105774;10;39.7257483006;7;29.3223247528;40.0;19;41.3542335033;
85;8;25.3999996185;50.0324859619;11;40.0724697113;7;29.3563079834;41.0;20;43.6583988667;
86;8;24.3999996185;50.0772438049;10;40.4223667383;7;28.6149997711;43.7000007629;18;45.6598541737;
87;8;23.3999996185;51.7437095642;9;40.775167346;7;31.0023918152;44.2291984558;17;47.4143195152;
88;9;22.3999996185;53.7901268005;7;41.1305862665;7;29.0273208618;47.6162643433;18;48.9818203449;
89;8;22.0;55.8372344971;7;41.4883242846;8;30.1200141907;47.8922767639;17;50.2452076674;
90;8;22.0;57.8849372864;6;41.8480685949;8;29.2000007629;50.0;18;51.3224028349;
91;8;22.0;59.9331245422;6;42.2094920874;9;29.2000007629;52.0;18;52.4251141548;
92;8;22.0;61.9816894531;6;42.5722527504;9;31.2000007629;48.0;19;53.5491242409;
93;8;23.0;60.2809524536;7;42.9359939098;9;29.2000007629;50.0;20;54.6897993088;
94;8;22.0;61.3772468567;9;43.3003447056;10;30.2000007629;53.0;20;56.8421695232;
95;8;22.0;62.4750976562;10;43.6649202108;10;31.2000007629;55.9574661255;21;58.0010316372;
96;8;23.0;60.5743522644;12;43.9776296616;11;33.2000007629;52.9574661255;20;59.1610636711;
97;8;22.0;61.674823761;12;44.2840644121;12;32.9016799927;53.9574661255;19;61.3169438839;
98;8;22.0;62.7763328552;13;44.5924623013;12;33.9942016602;56.9574661255;19;62.493470192;
99;8;23.0;60.878692627;14;44.8865156174;12;33.2000007629;60.1971092224;20;63.6562619209;
100;8;22.0;61.9817047119;15;45.1774353981;12;33.2000007629;62.3151321411;20;64.800661087;
101;8;22.0;63.0851631165;15;45.468944788;12;34.2000007629;62.3151321411;20;65.9224133492;
102;8;23.0;61.1888694763;16;45.760509491;12;35.0740623474;63.3151321411;21;68.0177134275;
103;8;22.0;62.2926063538;16;46.0515956879;13;35.2000007629;64.3151321411;20;70.1132386923;
104;8;22.0;63.3961753845;16;46.3416712284;13;37.2000007629;66.3151321411;16;71.2067570686;
105;8;23.0;61.4993591309;9;46.6302113533;13;38.2000007629;68.3151321411;15;72.2665169239;
106;8;22.0;62.6019592285;10;46.9167013168;13;38.2000007629;68.3151321411;16;73.2906401157;
107;8;22.0;63.7037582397;11;47.2006394863;13;37.2000007629;72.3151245117;16;74.2488280535;
108;8;23.0;61.8045730591;11;47.4815402031;13;38.2000007629;72.3627548218;17;75.1100856066;
109;8;22.0;62.9041976929;12;47.7589373589;14;39.4600639343;73.3804779053;16;76.939717412;
110;8;22.0;64.002456665;13;48.032387495;14;40.2250022888;76.2305297852;17;77.7669551373;
111;8;23.0;62.0991668701;13;48.3014712334;14;42.4999809265;77.4166183472;17;78.5619256496;
112;8;22.0;63.1941680908;14;48.5657966137;14;41.5076217651;80.729019165;18;79.319237113;
113;8;22.0;64.2873001099;14;48.8250010014;14;39.4903717041;83.7550506592;19;79.9299206734;
114;8;23.0;62.3784179688;14;49.0787510872;14;39.4982376099;86.0813522339;19;80.521782279;
115;8;22.0;65.1970367432;15;49.3267469406;14;39.5062179565;88.1079025269;20;82.0464272499;
116;8;22.0;66.3177185059;15;49.5687212944;15;41.8790168762;86.1079025269;20;82.5710322857;
117;8;22.0;67.4351196289;16;49.8044395447;16;43.8958778381;86.1079025269;19;83.0788199902;
118;8;22.0;68.549118042;18;50.0305757523;16;44.9378890991;86.1079025269;20;83.5696129799;
119;8;22.0;69.6578826904;18;50.193372488;16;45.9550552368;87.1079025269;20;84.043417573;
120;8;22.0;70.7318572998;18;50.3524456024;16;46.6723556519;88.1079025269;20;84.5004034042;
121;8;23.0;68.8038330078;19;50.50760746;16;46.6897773743;89.3609619141;21;88.150906086;
122;8;22.0;69.8737182617;19;50.6586956978;16;47.1379470825;90.5085296631;22;92.7643805742;
123;8;22.0;70.9414215088;21;50.8055744171;17;48.9375762939;90.5391235352;21;96.3892059326;
124;8;23.0;69.0068969727;21;50.948132515;17;50.3908653259;91.5702972412;21;99.9076868296;
125;9;22.0;70.0700836182;21;51.0862841606;18;50.8256988525;92.6020507812;25;103.293870807;
126;10;22.0;71.1309356689;20;51.2199668884;18;51.2387237549;93.6343688965;26;106.530890226;
127;10;23.0;69.1894378662;21;51.3491413593;19;51.6281166077;94.3701782227;25;109.610549688;
128;10;22.0;70.24559021;22;51.4737887383;19;52.4536628723;92.9250640869;26;112.532184482;
129;10;22.0;71.2993927002;22;51.593911171;20;52.8321228027;92.9590148926;27;115.301062703;
130;10;23.0;69.3508453369;23;51.709528923;20;53.1907043457;92.9934768677;30;117.926654816;
131;10;22.0;70.3999786377;23;51.8206787109;20;53.5313415527;93.0284423828;30;120.420993447;
132;10;22.0;71.4468383789;24;51.9274125099;20;53.8561973572;93.0638961792;31;122.797252655;
133;10;23.0;69.4914550781;24;51.9813876152;20;54.1674041748;93.3968734741;32;125.876704931;
134;10;22.0;70.5;25;53.5011982918;20;55.4237670898;95.1386413574;32;127.972434878;
135;10;22.0;72.0250015259;26;55.0305547714;20;56.676651001;96.3044204712;33;129.952475309;
136;10;23.0;70.5530395508;27;56.5579602718;20;57.1774787903;97.4769821167;34;131.670812726;
137;10;22.0;72.0797042847;27;58.0718741417;20;57.4160041809;98.6560974121;26;133.24671936;
138;10;22.0;73.6005325317;23;60.5610842705;20;57.6584739685;99.8414764404;22;134.844401479;
139;10;24.0;73.1112442017;24;62.0750646591;21;57.9039344788;100.032730103;22;136.457423568;
140;10;25.0;73.3893127441;24;63.5472452641;21;58.1513519287;100.229370117;23;138.079133511;
141;10;27.0;72.6574554443;27;64.9694179296;21;58.399684906;100.430854797;23;139.702778459;
142;10;28.7706985474;72.9139099121;28;66.3347947598;21;58.6478996277;100.636528015;24;141.321623325;
143;10;29.8749961853;73.7083282471;29;67.6381057501;21;59.8813896179;98.6758422852;24;142.929067373;
144;10;30.9732265472;74.9375305176;29;68.8756161928;21;57.0750007629;104.715339661;25;144.51875174;
145;10;32.0650749207;76.15184021;29;70.0450739861;21;61.0750007629;110.755004883;25;147.084664941;
146;10;33.1503791809;77.3508834839;30;71.145596385;21;68.0749969482;111.794799805;26;148.711226225;
147;10;34.2290992737;78.5345611572;30;72.177508831;21;73.9058685303;114.834686279;27;150.310479164;
148;10;35.3013114929;79.7030639648;29;73.1421736479;21;79.0244140625;118.874649048;27;151.87828815;
