Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;2;9.19999980927;10.0;3;21.0;1;6.0;14.0;4;20.0;
2;2;9.19999980927;10.0;3;21.0299999714;1;7.0;13.0;6;20.0;
3;2;9.20600032806;10.0;3;21.0605909824;1;8.0;12.0;5;20.0;
4;2;9.2121181488;10.0;3;21.091766119;1;8.0;11.0;5;20.0;
5;2;10.3275299072;10.0;3;21.1235172749;1;8.0;10.0;5;20.0;
6;2;11.3370552063;10.0;3;21.1558350325;1;9.0;10.0;5;20.0;
7;2;11.3467502594;10.0;2;21.6002668142;1;9.5;10.0;5;20.0;
8;2;11.4800796509;10.1999998093;2;21.9722745419;1;9.5;10.0;5;20.3999996185;
9;2;11.5916824341;10.3632001877;2;22.2830175161;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.6849050522;10.4951858521;2;23.3954073191;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;12.0186223984;11.0209560394;2;24.3307359219;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;14.0186223984;11.4571752548;2;25.1027135849;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;16.0186214447;11.8107032776;3;25.7315064669;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;17.0770454407;12.0916318893;4;26.2397767305;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;18.0977230072;12.3113050461;4;26.6498038769;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;19.1189861298;12.4808797836;4;26.7608320713;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;20.1408233643;12.5;4;26.8354767561;1;15.7228336334;12.4808797836;5;25.0;
18;2;21.1632156372;12.5;4;26.9119156599;1;16.7228336334;12.5;6;25.0;
19;2;22.0735740662;12.5;4;26.9900764227;1;17.625;12.5;6;25.0;
20;2;22.0970230103;12.5;5;27.0698769093;1;17.625;12.5;6;25.0;
21;2;22.1209640503;12.5;6;27.1512255669;1;17.625;12.5;6;25.0;
22;2;22.1453666687;12.5;7;27.2340214252;1;17.625;12.5;6;25.0;
23;2;22.1702060699;12.5;7;27.3181540966;1;17.625;12.5;6;25.0;
24;2;22.1954460144;12.5;7;27.4035048485;1;17.625;12.5;7;25.0;
25;2;21.5;13.1008758545;7;27.4899468422;1;17.625;12.5;7;25.0;
26;3;20.2469844818;13.5;6;27.5773453712;1;17.625;12.5;8;25.0;
27;3;18.5;15.5;6;27.6655590534;1;17.625;12.5;8;25.0;
28;3;17.5;16.5662231445;6;27.754440546;1;17.625;12.5;8;25.0;
29;3;16.5;17.601776123;7;27.8438374996;1;17.625;12.5;8;25.0;
30;3;15.5;18.6375350952;7;27.93359375;1;17.625;12.5;8;25.0;
31;3;14.5;19.6734371185;7;28.0235495567;1;15.625;13.5;8;25.0;
32;3;14.0;20.7094192505;7;28.1135439873;1;14.625;14.5;8;25.0;
33;3;14.0;21.7454185486;6;28.2034151554;1;13.625;15.5;8;25.0;
34;3;14.0;22.7813663483;5;28.2930014133;1;12.625;16.5;8;25.0;
35;3;15.0;20.817199707;5;29.3821430206;1;12.0;17.5;9;25.0;
36;3;15.0;21.8528575897;5;29.5106825829;1;12.0;18.5;9;25.0;
37;3;16.0;22.8882732391;5;29.6396510601;1;12.0;19.5;9;25.0;
38;3;17.0;20.9233875275;5;29.768901825;1;12.0;20.5;9;25.0;
39;3;16.0;21.9581394196;6;29.8982909918;1;12.0;21.5;9;25.0;
40;3;16.0;23.6927375793;6;30.0276786089;1;12.0;22.5;9;25.0;
41;3;17.0;21.7534389496;6;30.1569290161;1;12.0;23.5;10;25.0;
42;3;16.0;22.8143215179;6;30.2859117985;1;12.0;24.5;11;25.0;
43;4;16.0;23.875328064;5;30.4145019054;1;12.0;25.5;11;25.0;
44;4;17.0;21.9364070892;5;30.5425795317;1;12.0;26.5;10;25.0;
45;4;16.0;22.9975070953;6;30.6700309515;1;12.0;27.5;10;25.0;
46;4;16.0;24.0585784912;6;30.7967495918;1;12.0;28.5;10;25.0;
47;4;17.0;22.1195735931;7;30.9226341248;1;12.0;29.5;11;25.0;
48;4;18.0;23.1195716858;6;31.0475897789;1;13.0;27.5;11;25.0;
49;4;19.0;24.1195716858;7;31.1715279818;1;12.0;28.5;11;25.0;
50;4;21.0;26.1195716858;9;31.2943661213;1;12.0;29.5;11;25.0;
51;4;22.3721065521;27.4026184082;9;31.4160277843;1;13.0;27.5;12;25.0;
52;4;23.3916778564;28.4026184082;9;31.5364414454;1;12.0;28.5;12;25.0;
53;4;24.4106197357;28.6006259918;10;31.6555408239;1;12.0;29.5;12;25.0;
