Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;9.0;10.0;4;20.0;
3;1;8.0;12.0;6;20.0;1;9.0;10.0;3;20.0;
4;1;8.0;11.0;6;20.0;2;9.19999980927;10.0;1;21.0;
5;1;8.0;10.0;6;20.0;2;10.3000001907;10.0;1;21.0900000334;
6;1;9.0;10.0;6;20.0;2;11.3269996643;10.0;1;21.1871190071;
7;1;9.5;10.0;6;20.0;2;11.3561353683;10.0;1;21.7036092281;
8;1;9.5;10.0;6;20.3999996185;2;11.5110826492;10.1999998093;1;22.1564130783;
9;2;9.59000015259;10.5;5;21.7264003754;2;11.6469240189;10.3632001877;1;22.557236433;
10;2;9.88844013214;10.3632001877;4;22.030371666;2;11.7671709061;10.4951858521;1;23.8035871983;
11;2;9.95683383942;10.4951858521;3;23.1334960461;2;12.141076088;11.0209560394;1;24.8916251659;
12;2;10.205037117;11.0209560394;3;24.0595139265;2;14.141076088;11.4571752548;1;25.8364036083;
13;2;11.9804954529;11.4571752548;3;24.8221657276;2;16.1410751343;11.8107032776;1;26.6592981815;
14;2;13.9804954529;11.8107032776;3;25.4416502714;2;17.3553848267;12.0916318893;1;27.3839819431;
15;2;15.9804954529;12.0916318893;3;25.9406644106;2;18.440984726;12.3113050461;1;28.0334718227;
16;2;17.0193958282;12.3113050461;3;26.3415244818;2;19.5340881348;12.4808797836;2;28.407397747;
17;2;18.0332813263;12.4808797836;3;26.4435132742;3;20.6347923279;12.5;2;28.7683298588;
18;2;19.047624588;12.5;4;26.5092867613;3;21.7430725098;12.5;3;29.1538929939;
19;2;19.9645900726;12.5;4;26.5770645142;3;22.7461681366;12.5;3;29.562889576;
20;2;19.979839325;12.5;4;26.6468170881;3;22.8688659668;12.5;3;29.9934945107;
21;2;19.9955329895;12.5;4;26.7185060978;3;22.9980487823;12.5;4;30.4432339668;
22;2;20.0116634369;12.5;4;26.7920838594;3;23.1329708099;12.5;4;30.9089989662;
23;2;20.028219223;12.5;5;26.8674932718;3;23.2726993561;12.5;5;31.3870959282;
24;3;20.0451850891;12.5;4;26.9446675777;3;23.4161281586;12.5;4;31.8733391762;
25;3;19.625;13.2778673172;4;27.0235302448;3;21.5;12.5;3;32.36317873;
26;3;20.0802936554;12.5;4;27.1039953232;3;22.5;12.5;3;32.8518595695;
27;3;19.625;13.3415985107;4;27.1859669685;3;23.5;12.5;3;33.3346033096;
28;3;19.625;13.3743867874;4;27.2693405151;3;24.0003814697;12.5;3;33.8067913055;
29;3;18.1356010437;13.5;3;27.3540019989;3;24.142036438;12.5;3;34.2641468048;
30;3;17.1546497345;14.5;3;27.4398288727;3;22.142036438;13.5;2;34.7028827667;
31;3;16.1739616394;15.5;3;27.5266909599;3;21.5;14.5;2;35.1198272705;
32;3;15.1935052872;16.5;3;27.6144506931;3;21.5;15.5;3;35.5124940872;
33;3;14.5882511139;17.5;2;27.7029643059;3;20.5;14.5;3;35.8791179657;
34;3;14.6081666946;18.5;2;27.7920820713;3;20.5;14.5;3;36.2186422348;
35;3;14.6282186508;19.5;3;27.8816497326;3;20.5;15.5;3;36.530673027;
36;3;14.6483707428;20.5;4;27.9715096951;3;19.5;14.5;2;36.8154029846;
37;3;14.668589592;21.5;4;28.061501503;3;19.5;14.5;2;37.0735216141;
38;3;14.6888380051;22.5;4;28.151463747;3;20.5;15.5;2;37.3061151505;
39;3;14.7090797424;23.5;4;28.2412343025;3;21.5;16.5;2;37.5145664215;
40;3;14.7292776108;24.5;5;28.3306524754;3;21.5;17.5;2;37.7004623413;
41;3;14.7493972778;25.5;6;28.4195592403;3;21.5;18.5;2;37.8655099869;
42;3;14.7694005966;26.5;7;28.5077989101;3;22.5;18.5;3;38.0;
43;3;14.7892551422;27.5;7;28.5952203274;3;23.5;19.5;4;38.0;
44;3;14.808924675;28.5;9;28.6816773415;3;24.5;20.5;5;38.0;
45;3;14.82837677;29.5;8;28.7670304775;3;25.3999996185;21.5;5;38.0;
46;3;15.8475818634;27.5;7;28.8511471748;3;25.3999996185;22.5;7;38.0;
47;3;14.8665084839;28.5;9;28.9339027405;4;26.3999996185;23.5;7;39.0;
48;3;14.8851280212;29.5;9;29.0151810646;4;27.3999996185;24.5;7;39.0399999619;
49;3;15.9034156799;27.5;9;29.0948753357;4;27.7119998932;25.5;7;39.0811839104;
50;3;14.9213466644;28.5;9;29.1728878021;4;27.3999996185;26.5;7;39.1235535145;
51;3;15.9388999939;27.5;10;29.2491312027;4;27.7370662689;27.5;7;39.1671074629;
52;3;16.9560546875;27.5;11;29.323527813;4;27.3999996185;28.0835533142;6;39.211841464;
53;3;17.9727935791;27.5;12;29.3960103989;4;27.763551712;27.5;9;39.2577478886;
54;3;18.0;27.5;12;29.46652174;4;27.7773246765;27.5;10;39.3048160076;
55;3;20.0;27.5;13;29.5350151062;4;27.3999996185;28.1524085999;11;39.3530313969;
56;3;19.625;27.5;14;29.6014523506;4;27.8059101105;27.5;11;39.4023760557;
57;3;19.625;27.5;15;29.6658058167;4;27.3999996185;28.2011871338;13;39.4528282881;
58;3;20.625;24.5;16;29.7280569077;4;27.3999996185;28.2264137268;13;39.5043625832;
59;3;19.625;24.5;15;29.7881951332;4;27.8513088226;27.5;12;39.5569496155;
60;3;19.625;24.5;15;29.846218586;4;27.8670845032;27.5;12;39.6105561256;
61;3;20.625;22.5;14;29.9021334648;4;27.8831672668;27.5;13;39.6651450396;
62;3;20.72797966;22.5;15;29.9559521675;4;27.8995437622;27.5;13;39.72067523;
63;3;19.625;23.5;15;30.0;4;27.3999996185;28.3603382111;13;39.7771017551;
64;3;20.625;22.5;15;30.0;4;27.9331302643;27.5;13;39.8343759775;
65;3;20.75;22.5;16;30.0;4;27.3999996185;28.4171886444;14;41.3191332817;
66;3;20.75;22.5;17;30.0;4;28.3957386017;28.0;14;42.5464365482;
67;4;20.75;22.5;11;35.0;4;28.7639312744;28.3899993896;15;43.5523388386;
68;4;21.75;23.5;11;35.1500000954;4;29.0657043457;28.6872596741;14;44.3749434948;
69;4;22.75;24.5;11;35.2967748642;4;28.6430530548;29.9097423553;12;44.901932478;
70;4;23.75;25.5;13;35.4399585724;4;28.7692298889;30.1689186096;12;45.2200527191;
71;4;23.973991394;26.5;13;35.5792236328;4;28.8319664001;30.2234153748;13;45.5126953125;
72;4;24.0053253174;27.5;14;35.7142839432;4;28.8863372803;30.2791175842;13;45.6718678474;
73;4;24.0357131958;27.5;14;35.8448963165;4;27.7015609741;30.0;12;45.7875099182;
74;4;24.0651016235;27.5;15;35.9708600044;4;27.8999996185;30.0;13;45.9049334526;
75;4;24.0934429169;27.5;15;36.0920171738;4;28.8999996185;30.4524669647;12;46.0238924026;
76;4;24.1207046509;27.5;13;36.2082519531;4;28.8999996185;30.5119457245;12;46.1441257;
77;4;24.146856308;27.5;12;36.3194880486;4;27.8432369232;30.0;13;46.2653591633;
78;4;24.1718845367;27.5;12;36.4256877899;4;26.8796081543;31.0;13;46.3873085976;
79;4;24.1957798004;27.5;12;36.5268483162;4;25.9161911011;32.0;14;46.5096817017;
80;4;24.2185401917;27.5;13;37.6229987144;4;24.9529037476;33.0;15;46.6321806908;
81;4;23.3401756287;29.0;13;38.4941983223;4;22.8999996185;35.0;13;46.7545058727;
82;4;23.536195755;30.3899993896;13;39.1750464439;4;22.8999996185;35.0;11;46.8763580322;
83;5;23.6893863678;31.6872596741;13;39.7015838623;4;20.8999996185;37.0;11;46.9974415302;
84;5;24.8078575134;29.9097423553;14;39.9590339661;4;21.5;37.0;9;47.1174669266;
85;5;24.9907817841;29.0;15;40.0;4;20.5;39.0;10;47.2361540794;
86;5;25.0;29.0;15;40.0;4;21.5;39.0;11;47.3532347679;
87;5;25.0;29.0;15;40.0;4;20.5;41.0;11;47.4684548378;
88;5;25.0;29.0;15;40.0;4;21.5;41.0;11;47.5815758705;
89;6;21.875;31.0;14;40.0;4;21.8744735718;42.0;11;47.6923780441;
90;6;20.875;33.0;15;40.5;4;21.9077129364;43.0;12;47.8006606102;
91;7;20.875;36.0;14;40.6275000572;4;20.5;45.0;11;47.9062433243;
92;7;20.875;38.1972503662;14;40.7558932304;4;19.5;46.0;12;48.0089683533;
93;7;20.1276664734;40.2430496216;14;40.8852256536;4;19.5;47.0;12;48.1086983681;
94;7;19.8425159454;43.2430496216;14;41.0155434608;4;18.5;48.0;12;48.2053194046;
95;7;19.8580608368;46.2430496216;13;41.14689219;4;17.5;48.0;12;48.2987384796;
96;7;19.8743152618;48.2430496216;14;42.2793153524;4;17.0;49.0;13;48.3888840675;
97;8;20.8912849426;51.2430496216;13;43.5628508329;4;17.6166648865;51.0;15;48.4757051468;
98;8;22.5750007629;55.9852256775;13;44.0183062553;4;17.0;51.0;15;48.5591711998;
99;8;24.2245731354;58.4869155884;13;44.4867578745;4;17.0;51.0;15;48.639269352;
100;8;24.5845222473;61.5;12;44.9883644581;4;17.0;51.0;15;48.7160048485;
