Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;2;9.19999980927;10.0;3;21.0;
2;1;7.0;13.0;4;20.0;2;9.19999980927;10.0;3;21.0900000334;
3;1;8.0;12.0;4;20.0;2;9.21800041199;10.0;3;21.1871190071;
4;1;8.0;11.0;4;20.0;2;9.23742389679;10.0;3;21.2917383909;
5;1;8.0;10.0;4;20.0;2;10.3875217438;10.0;3;21.4042263031;
6;1;9.0;10.0;4;20.0;2;11.4212675095;10.0;3;21.5249304771;
7;1;9.5;10.0;4;20.0;2;11.4574794769;10.0;3;22.0694183111;
8;1;9.5;10.0;4;20.3999996185;2;11.6208257675;10.1999998093;3;22.5515855551;
9;1;9.59000015259;10.1999998093;4;20.7264003754;2;11.7654762268;10.3632001877;3;22.983014226;
10;1;9.66343975067;10.3632001877;4;20.9903717041;2;11.8949041367;10.4951858521;3;24.2738182545;
11;1;9.72283363342;10.4951858521;4;22.0419120789;2;12.2821455002;11.0209560394;3;25.4089095592;
12;1;9.95943069458;11.0209560394;4;22.9143505096;2;14.2821455002;11.4571752548;3;26.4029755592;
13;2;11.7228336334;11.7571754456;3;24.6214065552;2;16.2821464539;11.8107032776;3;27.276881218;
14;2;13.7228336334;11.8107032776;3;25.2132637501;2;17.5406589508;12.0916318893;3;28.0536293983;
15;2;15.7228336334;12.0916318893;3;25.6832010746;2;18.6418800354;12.3113050461;3;28.755402565;
16;2;16.9614658356;12.3113050461;3;26.0535256863;2;19.750667572;12.4808797836;4;29.1808357239;
17;2;17.9684810638;12.4808797836;5;26.1235172749;3;20.8668251038;12.5;3;29.5913586617;
