Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.0;6;20.0;
4;2;8.14999961853;10.6999998093;4;22.8400001526;2;8.0;11.3000001907;5;21.0;
5;2;8.42599964142;10.9200000763;4;23.5501437187;2;8.14999961853;10.0;5;21.1200000048;
6;2;9.50549983978;11.2650718689;4;24.1268010139;2;9.25199985504;10.0;5;21.2530560493;
7;2;10.4285306931;11.543302536;4;24.588925004;2;9.78193759918;10.0;5;21.4002518654;
8;2;10.5325078964;11.7641716003;4;25.2016390562;2;9.81505680084;10.0;5;21.9766796827;
9;2;10.6703691483;12.0549411774;4;25.6890956163;2;9.94475364685;10.1999998093;5;22.4989564419;
10;2;10.780046463;12.2827939987;4;26.0737844706;2;10.0622644424;10.3632001877;5;22.9796661139;
11;2;10.8666009903;12.4589796066;5;26.1886988878;2;10.1704244614;10.4951858521;5;24.3497066498;
12;2;13.787317276;12.5;5;26.222116828;2;10.4786844254;11.0209560394;5;25.5842888355;
13;2;15.787317276;12.5;5;26.2560658455;2;12.3235692978;11.4571752548;4;26.7006480694;
14;2;16.8098716736;12.5;4;26.2905315161;2;14.3235702515;11.8107032776;4;27.7219514847;
15;2;17.8176269531;12.5;4;26.3254981041;2;15.7228336334;13.0916318893;4;28.6730384827;
16;2;18.8254928589;12.5;4;26.3609485626;2;17.634180069;12.3113050461;4;29.5772051811;
17;2;19.8334693909;12.5;4;26.3968646526;2;17.7228336334;13.4808797836;4;30.2332024574;
18;2;19.9392948151;12.5;4;26.433226943;2;19.7228336334;12.5;4;30.9013147354;
19;2;19.9474754333;12.5;4;26.4700145721;2;20.952796936;12.5;4;31.6152963638;
