Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;2;8.0;12.3000001907;5;21.0;
4;1;8.14999961853;10.5;4;21.8400001526;2;8.14999961853;11.0;5;21.0900000334;
5;2;8.27600002289;11.1199998856;3;23.5301437378;2;8.16349983215;10.0;5;21.1871190071;
6;2;9.50100040436;11.2650718689;3;24.1266050339;2;9.26710128784;10.0;4;21.2917383909;
7;2;10.428486824;11.543302536;3;24.6095271111;2;9.79064083099;10.0;4;21.4042263031;
8;2;10.5371427536;11.7641716003;3;25.2442476749;2;9.81595134735;10.0;4;21.9389723539;
9;2;10.6799554825;12.0549411774;3;25.7551473379;2;9.93626880646;10.1999998093;4;22.4109756947;
10;2;10.7949075699;12.2827939987;3;26.1647416353;2;10.0424690247;10.3632001877;4;22.831872344;
11;2;10.8870668411;12.4589796066;4;26.3060446978;2;10.1371707916;10.4951858521;4;24.1073114872;
12;2;13.8077831268;12.5;4;26.3673498631;2;10.4241456985;11.0209560394;4;25.2262470722;
13;2;15.8077831268;12.5;4;26.4306943417;2;12.2430105209;11.4571752548;4;26.2035200596;
14;2;16.8491630554;12.5;4;26.4960671663;2;14.2430105209;11.8107032776;4;27.060199976;
15;2;17.8638725281;12.5;4;26.5634490252;2;16.2430095673;12.0916318893;4;27.819549799;
16;2;18.879032135;12.5;4;26.6328122616;2;17.4421443939;12.3113050461;4;28.5040667057;
17;2;19.8946380615;12.5;4;26.7041202784;2;17.7228336334;13.4808797836;4;28.912750721;
18;2;20.0084266663;12.5;5;26.7773271799;2;19.6032028198;12.5;5;29.3074398041;
19;2;19.625;13.0331983566;5;26.8523778915;2;19.625;13.5;5;29.7249407768;
