Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;2;6.0;14.5;3;21.0;
2;1;7.0;11.0;5;20.0;2;7.15000009537;13.0;3;21.0399999619;
3;1;8.0;10.0;5;21.0;2;8.15600013733;12.0;2;21.0811839104;
4;1;8.14999961853;10.5;5;21.8400001526;2;8.16217803955;11.0;2;21.1235535145;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;8.1685333252;10.0;2;21.1671074629;
6;1;9.27600002289;11.2650718689;5;23.086605072;2;9.0;10.5835533142;2;21.211841464;
7;1;10.194486618;11.543302536;5;23.5283432007;2;9.5;10.6059207916;2;21.2577478886;
8;1;10.2938766479;11.7641716003;5;24.1098823547;2;9.5;10.6288738251;2;21.7173930407;
9;2;10.4247236252;12.2549409866;4;25.5655879974;2;9.59000015259;10.8586969376;2;22.1054821014;
10;2;10.7522573471;12.2827939987;4;25.9679591656;2;9.66343975067;11.0527410507;2;22.4331796169;
11;2;10.8427906036;12.4589796066;5;26.1019749641;2;9.72283363342;11.2165899277;2;23.5793277025;
12;2;13.7635068893;12.5;5;26.1559499502;2;9.95943069458;11.7896642685;2;24.5511229038;
13;2;15.7635068893;12.5;5;26.2119446993;2;11.7228336334;12.2755613327;2;25.3623305559;
14;2;16.799943924;12.5;5;26.269973278;2;13.7228336334;12.6811656952;2;26.0331535339;
15;2;17.8130016327;12.5;5;26.3300433159;2;15.7228336334;13.016576767;2;26.5862700939;
16;2;18.8265151978;12.5;5;26.3921557665;2;16.7228336334;13.2931346893;3;27.0439527035;
17;2;19.8404903412;12.5;5;26.4563041925;2;17.7228336334;13.5219764709;4;27.2054133415;
18;2;19.9526691437;12.5;6;26.5224741697;3;18.7228336334;13.6027069092;3;27.3332078457;
19;2;19.9675559998;12.5;6;26.5906432867;3;19.625;13.6666040421;3;27.4654259682;
20;2;19.9828948975;12.5;6;26.6607804298;3;19.625;13.7327127457;3;27.6018767357;
21;2;19.9986763;12.5;6;26.7328453064;3;19.625;14.0611257553;5;27.7423293591;
22;3;20.0148906708;12.5;5;26.8067884445;3;19.625;14.1453971863;5;27.8865120411;
23;3;20.0315284729;12.5;5;26.8825509548;3;19.625;14.2319068909;5;28.0341134071;
24;3;20.0485744476;12.5;6;26.9600640535;3;19.625;14.3204679489;5;28.1847839355;
25;3;19.625;13.088019371;6;27.0392494202;3;19.625;14.4108705521;7;28.3381381035;
26;3;19.625;13.1117744446;6;27.120018959;3;19.625;14.5028829575;7;28.4937574863;
27;3;20.1020050049;12.5;6;27.2022752762;3;19.625;14.5962543488;8;28.6511945724;
28;3;20.1205120087;12.5;6;27.2859115601;3;19.625;14.6907167435;8;28.8099780083;
29;3;20.1393299103;12.5;6;27.3708124161;3;19.625;14.7859869003;8;28.96961689;
30;4;20.1584320068;12.5;5;28.4568536282;3;18.518163681;13.7859869003;8;29.1296076775;
31;4;21.1777915955;13.0;5;28.6739035845;4;17.5541610718;14.5;3;44.2894396782;
32;4;21.625;13.5;5;28.9072543383;4;17.5901241302;15.5;3;45.1986017227;
33;4;21.9119720459;13.815911293;5;29.1581919193;4;17.6259346008;16.5;3;46.0259637833;
34;4;22.5605926514;12.5;5;29.428021431;4;18.0364818573;17.5;3;46.7701997757;
35;4;22.2571792603;13.3091678619;5;29.7180360556;4;19.0716552734;18.5;4;47.4333591461;
36;4;22.6865577698;12.5;6;30.0294771194;4;20.1063461304;19.5;4;48.0200052261;
37;4;22.0840568542;13.5;6;30.3634850979;4;21.1404533386;20.5;4;48.5363478661;
38;4;22.8317832947;12.5;6;30.7210407257;4;22.1738834381;21.5;4;48.9894585609;
39;4;22.338060379;13.5;6;31.1028969288;4;22.7946529388;22.5;4;49.3866410255;
40;4;22.3582458496;13.9220123291;6;31.5095055103;4;22.9032020569;23.5;5;49.6412615776;
41;4;22.3362922668;13.5;6;31.9409370422;4;21.7000007629;25.5;5;49.7743244171;
42;4;22.3983230591;13.5;6;32.3968036175;4;21.7000007629;27.5;7;49.9028420448;
