Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
88;8;29.1569900513;70.0;22;71.0500135422;7;41.7000007629;69.5;30;92.1574143171;
89;8;29.8106689453;71.0;23;71.4007036686;8;40.7000007629;71.5;29;92.2577478886;
90;8;29.84724617;73.0;23;71.7290394306;9;40.7000007629;70.5;27;92.3048160076;
91;8;29.8838577271;75.0;24;72.0462031364;9;38.7000007629;72.5;26;92.3530313969;
92;8;29.1961860657;77.4221115112;24;72.3324093819;9;37.7000007629;74.5;26;92.4023760557;
93;8;29.9516429901;77.495880127;26;72.595066309;9;37.7000007629;73.5;26;92.4528282881;
94;8;29.9791488647;77.5660858154;26;72.8507688046;9;36.2000007629;75.5;26;92.5043625832;
95;8;30.0067081451;77.6326980591;27;73.0992221832;9;36.2000007629;77.5;26;93.5569496155;
96;8;29.1999988556;78.6957092285;27;73.3401873112;9;38.2000007629;77.5;26;94.7605561018;
97;8;30.0617198944;77.7551574707;26;73.5734789371;9;39.2000007629;81.5;26;95.1859201193;
98;8;30.0890369415;77.8110961914;28;73.7989611626;9;40.2000007629;87.5;25;95.6729297638;
99;8;30.1161422729;77.863609314;28;74.0165429115;9;41.2000007629;88.5;26;96.2299882174;
100;8;30.1429691315;77.9127807617;29;74.2261743546;9;40.2000007629;94.5;27;96.8660523891;
101;8;30.1694564819;77.9587402344;29;74.4246616364;9;40.2000007629;97.5;27;97.5904062986;
102;8;30.1955471039;78.0;30;74.538611412;9;40.2000007629;100.5;27;98.4123111963;
103;8;30.2211856842;78.0;30;74.6503243446;9;40.2000007629;103.5;28;99.3405067921;
104;8;30.2463226318;78.0;29;74.7595920563;9;40.2000007629;106.5;30;100.382545233;
105;8;30.2709064484;78.0;30;74.8662261963;9;41.2000007629;107.5;32;101.543960094;
106;8;30.2948989868;78.0;30;74.9700603485;9;40.2000007629;111.5;32;102.827298164;
107;9;30.3182621002;78.0;22;75.0709495544;9;40.2000007629;112.5;32;104.231086254;
108;9;30.3409614563;78.0;23;75.1687707901;9;40.2000007629;114.5;28;105.74886179;
109;9;30.3629722595;78.0;23;75.263422966;9;40.2000007629;116.5;30;107.36843586;
