Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
78;6;19.0;40.1622924805;12;47.6653375626;11;39.6919937134;85.5;18;120.229115009;
79;6;19.0;42.1622924805;13;47.7742576599;12;37.8471908569;87.5;16;145.504069567;
80;6;19.0;44.1622924805;14;47.8805203438;12;38.9072570801;88.5;17;148.343858004;
81;7;19.0;46.1622924805;14;47.983962059;12;41.0724372864;92.5;17;150.723095179;
82;7;19.0;47.4919815063;14;48.0844407082;12;42.2746658325;94.5;18;152.565251112;
83;7;20.0;46.5422210693;14;48.1818361282;12;42.3457489014;98.8073043823;19;154.199204445;
84;7;21.0;46.5909194946;14;48.2760505676;12;43.4137191772;103.10042572;17;155.672717094;
85;7;22.0;46.6380233765;14;48.3670067787;12;45.4785041809;104.419891357;19;157.031793118;
86;7;23.0;46.6835021973;14;48.4546494484;12;45.5400619507;108.765274048;21;158.042675734;
87;7;24.0;46.7273254395;14;48.5389428139;12;50.4113578796;114.135406494;22;159.060000658;
88;7;25.0;46.7694702148;14;48.619869709;13;53.5320739746;118.628265381;20;176.117376804;
89;7;25.2999992371;46.8099365234;15;48.6974310875;14;55.7954902649;122.040977478;20;178.008223534;
90;7;25.2999992371;46.8487167358;15;48.7716441154;14;56.7587776184;125.469787598;21;179.830040455;
91;7;25.2999992371;46.8858222961;15;48.8425402641;14;57.7212142944;128.91015625;23;181.573931217;
92;7;25.2999992371;46.9212722778;15;48.9101653099;14;57.6937026978;135.356964111;23;183.233944893;
93;7;25.2999992371;47.9550819397;16;48.9745764732;14;58.904083252;136.356964111;25;184.762239456;
94;7;25.2999992371;48.9872894287;16;49.0;14;59.0762214661;137.83152771;26;186.167780876;
95;7;25.2999992371;50.0;17;49.0;14;58.2167778015;142.000137329;26;187.487675667;
96;7;25.2999992371;51.0;17;49.0;14;60.3065261841;143.000137329;28;188.721180439;
97;7;25.2999992371;52.0;15;49.0;15;59.472114563;147.000137329;28;189.671969891;
98;7;25.2999992371;53.0;15;49.0;15;58.5671958923;154.000137329;28;190.570832253;
99;7;25.2999992371;54.0;16;49.0;15;61.6166915894;152.000137329;31;191.416899681;
100;7;25.2999992371;55.0;16;49.0;18;62.7416877747;157.000137329;27;192.206392288;
