Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;4;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;4;20.0;1;9.0;10.0;6;20.0;
4;1;11.0;10.0;4;20.0;2;9.19999980927;10.0;5;21.0;
5;1;12.0;10.0;4;20.0;2;10.3000001907;10.0;5;21.1200000048;
6;1;13.0;10.0;5;20.0;2;11.3360004425;10.0;4;21.2530560493;
7;2;14.0;10.0;4;20.3999996185;2;11.375916481;10.0;4;21.8127820492;
8;2;14.1800003052;10.1999998093;4;20.7264003754;2;11.5438346863;10.1999998093;4;22.3170127869;
9;3;14.7768793106;10.3632001877;3;22.8194274902;2;11.6951036453;10.3632001877;4;22.7783694267;
10;3;15.2687425613;10.9097137451;3;23.7516036034;2;11.8335103989;10.4951858521;4;24.1197800636;
11;3;17.268743515;11.3658018112;3;24.5147576332;2;12.2359342575;11.0209560394;4;25.3230593204;
12;3;19.268743515;11.7372808456;3;25.1279798746;2;14.2359342575;11.4571752548;4;26.4056642056;
13;3;20.296005249;12.0336990356;3;25.6136769056;2;16.2359333038;11.8107032776;4;27.3911669254;
14;3;20.5261535645;12.2662630081;3;25.9944307804;2;17.2173500061;12.0916318893;4;28.3050293922;
15;3;20.6974945068;12.446267128;3;26.1228116751;2;17.4915084839;12.3113050461;4;29.1714119911;
16;3;20.7552642822;12.5;3;26.1438889503;2;17.7514228821;12.4808797836;4;29.790178299;
17;3;22.7163906097;12.5;4;26.1651208401;2;19.8238372803;12.5;3;30.4229521751;
18;3;23.725944519;12.5;4;26.1864993572;2;21.0136699677;12.5;3;31.1049995422;
19;3;24.7355651855;12.5;4;26.2080165148;2;22.2182846069;12.5;3;31.8311891556;
20;3;25.7452487946;12.5;4;26.2296639681;2;23.4361400604;12.5;3;32.5941519737;
21;3;25.8033485413;12.5;4;26.2514331341;2;23.7782459259;12.5;3;33.38438797;
22;3;25.8131446838;12.5;5;26.2733153105;2;24.0153160095;12.5;3;34.1905984879;
23;4;25.8229923248;12.5;4;26.2953014374;2;24.2571792603;12.5;3;35.0002355576;
24;4;25.8328857422;12.5;5;26.3173824549;2;24.5000705719;12.5;4;35.8002309799;
25;4;25.8428230286;12.5;5;26.3395489454;3;24.740070343;12.5;4;36.5778226852;
