Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
6;1;13.0;10.0;5;20.0;1;11.0;10.0;5;20.0;
7;1;14.0;10.0;5;20.3999996185;1;11.0;10.0;5;20.3999996185;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;14.7768793106;10.3632001877;4;22.8194274902;1;11.2179203033;10.3632001877;5;20.9903717041;
10;2;15.2687425613;10.9097137451;4;23.8616036177;2;11.597111702;10.4951858521;4;23.0419120789;
11;2;17.268743515;11.3658018112;4;24.7499927282;2;11.9125738144;11.0209560394;4;23.944350481;
12;2;19.268743515;11.7372808456;4;25.5051221848;2;12.1833057404;11.4571752548;4;24.6819975376;
13;2;20.465719223;12.0336990356;5;26.1508610249;2;14.9215736389;11.8107032776;5;25.2750298977;
14;2;21.5469932556;12.2662630081;5;26.7112461329;2;16.9215736389;12.0916318893;5;25.746127367;
15;2;22.6371631622;12.446267128;4;27.0402543545;2;17.94962883;12.3113050461;5;26.1175945997;
16;2;23.7368564606;12.5;4;27.2842636108;2;18.9593238831;12.4808797836;5;26.1887089014;
17;2;24.846660614;12.5;4;27.5518820286;2;19.9691867828;12.5;4;26.2221269608;
18;2;25.9670906067;12.5;4;27.8440244198;2;20.9792118073;12.5;4;26.2560760975;
