Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;3;20.0;
6;1;13.0;10.0;5;20.0;1;11.0;10.0;3;20.0;
7;1;14.0;10.0;5;20.3999996185;1;11.0;10.0;3;20.3999996185;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;11.1199998856;10.1999998093;3;20.7264003754;
9;1;14.3268795013;10.3632001877;5;21.8194274902;1;11.2179203033;10.3632001877;3;20.9903717041;
10;2;15.2687425613;10.9097137451;4;23.7316036224;2;11.597111702;10.4951858521;2;23.0419120789;
11;2;17.268743515;11.3658018112;4;24.4745616913;2;11.9125738144;11.0209560394;2;23.9743504524;
12;2;19.268743515;11.7372808456;4;25.0673980713;2;12.1923055649;11.4571752548;2;24.7443704605;
13;2;20.268743515;12.0336990356;5;25.5325260162;2;14.9305734634;11.8107032776;3;25.3722246885;
14;2;21.268743515;12.2662630081;5;25.892534256;2;16.9305725098;12.0916318893;3;25.8806619644;
15;2;22.268743515;12.446267128;5;26.0;2;17.9899902344;12.3113050461;3;26.2920480967;
16;2;23.268743515;12.5;5;26.0;2;18.6125736237;12.4808797836;3;26.4057120085;
17;2;24.268743515;12.5;5;26.0;2;19.6125736237;12.5;3;26.484351635;
18;2;25.268743515;12.5;5;26.0;2;21.0578784943;12.5;3;26.5662232637;
19;2;25.7000007629;12.5;6;26.0;2;21.9698677063;12.5;4;26.6513283253;
