Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
77;7;34.5999984741;54.8603134155;11;73.1604607105;10;37.3063201904;87.398651123;16;110.432273269;
78;7;34.5999984741;55.8885269165;11;73.5108217001;11;34.9807281494;92.4736404419;15;111.122823358;
79;7;34.5999984741;56.9171638489;10;73.8348401785;11;36.7714614868;96.5485534668;17;111.799626946;
80;7;34.5999984741;57.9461975098;10;74.1346834898;12;34.6063232422;101.274490356;17;112.460970998;
81;7;34.5999984741;58.9756011963;11;74.4126013517;12;34.9523696899;104.30291748;17;113.10530436;
82;7;34.5999984741;60.0053482056;12;74.5751609802;12;36.9861984253;106.331764221;17;113.731260538;
83;7;32.5999984741;60.0354003906;14;74.6884059906;12;36.0662307739;109.360992432;18;114.337675691;
84;7;33.5999984741;59.0657272339;15;74.8031542301;12;34.1008453369;106.400001526;18;114.8772192;
85;7;31.5999984741;60.0962982178;15;74.9192982912;12;35.1008453369;106.400001526;19;115.34612155;
86;7;30.5999984741;61.1270751953;16;75.0367240906;12;35.6084213257;110.450668335;20;116.802109599;
87;7;29.5999984741;62.1580238342;19;75.1553122997;12;38.953578949;113.481124878;23;117.304253221;
88;7;28.5999984741;63.1891059875;19;75.2749382257;12;38.4865036011;109.511802673;23;117.794815779;
89;7;27.5999984741;65.2202835083;19;75.3954724073;12;36.4865036011;113.542671204;25;118.273384452;
90;7;27.5999984741;64.2515106201;19;75.5167812109;12;38.4865036011;113.573684692;27;118.739744425;
91;7;25.5999984741;66.2827606201;20;75.6387271881;12;39.5041694641;114.604827881;25;119.193856716;
92;7;24.5999984741;68.3139953613;20;75.761169672;12;37.5041694641;117.636032104;26;119.63583672;
93;7;24.5999984741;67.345161438;20;75.8839657307;12;39.1997261047;119.667282104;22;120.065930128;
94;7;22.5999984741;69.3762283325;18;76.006970644;12;39.5041694641;120.698516846;20;120.484484673;
95;7;22.0;71.4071578979;11;76.130038023;12;39.8870582581;125.261611938;16;120.891928554;
96;7;24.0;67.4379119873;12;76.2530214787;12;41.6879386902;130.62991333;17;121.288744211;
97;7;22.0;69.468460083;12;76.3757743835;12;41.9632072449;133.714477539;14;121.675448298;
98;7;23.0;69.0982589722;13;76.4981508255;12;41.996471405;137.081115723;18;121.903367043;
99;7;24.0;69.1402740479;12;76.6200070381;12;42.7999992371;141.23236084;19;122.122590542;
100;7;25.0;69.181854248;13;76.7412009239;12;44.7999992371;138.785812378;19;122.344747066;
