Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;6;20.0;2;10.3000001907;10.0;4;21.0;
6;1;13.0;10.0;6;20.0;2;11.3000001907;10.0;4;21.0900000334;
7;2;15.0;10.0;5;21.3999996185;2;11.3269996643;10.0;4;21.5980186462;
8;2;16.1800003052;10.1999998093;5;21.7264003754;2;11.4794054031;10.1999998093;4;22.0418490171;
9;2;17.3268795013;10.3632001877;5;22.8394274712;2;11.6125545502;10.3632001877;4;22.4332156181;
10;2;18.2777423859;10.9097137451;5;23.7717995644;2;11.7299642563;10.4951858521;4;23.6659361124;
11;2;20.2777423859;11.3658018112;5;24.5351434946;2;12.0997810364;11.0209560394;4;24.7393633127;
12;2;22.2777423859;11.7372808456;5;25.1485489607;2;14.0997810364;11.4571752548;4;25.6686143875;
13;2;23.3052597046;12.0336990356;5;25.6344225407;2;16.0997810364;11.8107032776;5;26.4751701355;
14;2;23.535490036;12.2662630081;5;26.0153459311;2;17.3001461029;12.0916318893;5;27.1828548908;
15;2;23.706905365;12.446267128;5;26.1438889503;2;18.3806476593;12.3113050461;5;27.8148901463;
16;2;23.764749527;12.5;5;26.1651208401;2;19.4685134888;12.4808797836;5;28.1711652279;
17;2;25.725944519;12.5;5;26.1864993572;2;20.5639228821;12.5;5;28.5145654678;
18;2;26.7355651855;12.5;5;26.2080165148;2;21.6669425964;12.5;5;28.8830828667;
