Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;4;20.0;
6;2;13.4499998093;10.0;4;21.0;1;11.0;10.0;4;20.0;
7;2;14.4499998093;10.0;4;21.5599995852;1;11.0;10.0;4;20.3999996185;
8;2;14.702000618;10.1999998093;4;22.0701442957;2;11.4200000763;10.1999998093;3;21.7264003754;
9;2;14.9315643311;10.3632001877;4;23.4407385588;2;11.5179204941;10.3632001877;3;22.0903717279;
10;2;15.5483322144;10.9097137451;4;24.6833165884;2;11.6271114349;10.4951858521;3;23.2838120461;
11;2;17.5483322144;11.3658018112;4;25.8175597191;2;11.9851436615;11.0209560394;3;24.3146933317;
12;2;19.5483322144;11.7372808456;3;26.8709592819;2;13.9851436615;11.4571752548;3;25.1981878281;
13;2;21.0803451538;12.0336990356;4;27.8742711544;2;15.9851436615;11.8107032776;4;25.9559320211;
14;2;22.3225288391;12.2662630081;3;28.8577907085;2;17.1443748474;12.0916318893;4;26.6120283604;
15;2;23.6031074524;12.446267128;3;29.6803803444;2;18.209400177;12.3113050461;4;27.1901185513;
16;2;24.9249134064;12.5;3;30.491004467;2;19.2810821533;12.4808797836;4;27.4906733036;
17;2;26.2896957397;12.5;3;31.3975143433;2;20.3597755432;12.5;4;27.7773330212;
18;2;27.6976242065;12.5;3;32.3956856728;2;21.4457740784;12.5;4;28.0890238285;
