Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
6;1;13.0;10.0;4;20.0;1;11.0;10.0;5;20.0;
7;1;14.0;10.0;4;20.3999996185;1;11.0;10.0;5;20.3999996185;
8;1;14.1800003052;10.1999998093;3;20.7264003754;2;11.4200000763;10.1999998093;4;21.7264003754;
9;1;14.3268795013;10.3632001877;3;21.8194274902;2;11.5179204941;10.3632001877;4;21.9903717041;
10;1;14.8187427521;10.9097137451;3;22.7316036224;2;11.597111702;10.4951858521;4;23.0819120407;
11;2;16.8187427521;11.3658018112;2;24.4745616913;2;11.9245738983;11.0209560394;4;23.99553442;
12;2;18.8187427521;11.7372808456;2;25.0973980427;2;13.9245738983;11.4571752548;4;24.7449600697;
13;2;20.2822418213;12.0336990356;3;25.5931169987;2;15.6125736237;12.2039470673;5;25.3503712416;
14;2;20.8187427521;12.2662630081;3;25.984300375;2;16.6125736237;12.5001192093;5;25.8344515562;
15;2;21.8187427521;12.446267128;3;26.1235172749;2;17.9761257172;12.3113050461;5;26.2195074558;
16;2;22.8187427521;12.5;3;26.1558350325;2;18.9898986816;12.4808797836;5;26.3048160076;
17;2;23.8187427521;12.5;3;26.1887089014;2;20.0040187836;12.5;5;26.3530313969;
18;2;24.8187427521;12.5;3;26.2221269608;2;21.0184822083;12.5;5;26.4023760557;
