Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;3;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;3;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;3;20.0;
6;2;13.4499998093;10.0;4;21.0;1;11.0;10.0;3;20.0;
7;2;14.0;10.0;4;21.4399995804;1;11.0;10.0;3;20.3999996185;
8;2;14.1800003052;10.1999998093;4;22.6235842705;2;11.4200000763;10.1999998093;2;21.7264003754;
9;2;14.6940803528;10.7712001801;4;24.5203593969;2;11.5179204941;10.3632001877;2;21.9903717041;
10;2;15.5139665604;11.682185173;4;26.1498484612;2;11.597111702;10.4951858521;2;23.0719120502;
11;2;17.5139656067;12.4573717117;4;27.5003812313;2;11.9215736389;11.0209560394;2;23.9749414921;
12;2;19.5139656067;13.0908613205;5;28.5881763697;2;13.9215736389;11.4571752548;1;24.7131726742;
13;2;20.5139656067;13.5907068253;5;29.4470598698;2;15.9215736389;11.8107032776;1;25.3067810535;
14;2;21.5139656067;13.9737730026;5;30.1181458235;2;16.94962883;12.0916318893;1;25.7784451246;
15;2;22.5139656067;14.2605781555;5;30.6421847343;2;17.9593238831;12.3113050461;1;26.1504684687;
16;2;23.5139656067;14.4714698792;5;30.8063102961;2;18.9691867828;12.4808797836;2;26.2221269608;
17;2;24.5139656067;14.5;5;30.918187499;3;19.9792118073;12.5;2;26.2560760975;
18;2;25.5139656067;14.5;6;31.0348479748;3;20.6125736237;12.5;3;26.2905418873;
19;2;26.5139656067;14.5;6;31.1562297344;3;21.8871631622;12.5;4;26.3255085945;
20;2;27.0499992371;14.5;6;31.2822349072;3;21.8976516724;12.5;5;26.3609591722;
21;2;27.0499992371;14.5;6;31.4127278328;3;21.9082870483;12.5;5;26.3968753815;
