Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;2;11.0;10.0;4;21.0;
6;1;13.0;10.0;5;20.0;2;13.0;10.0;4;21.0900000334;
7;1;14.0;10.0;5;20.3999996185;2;14.0;10.0;4;21.5980186462;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;14.4794054031;10.1999998093;4;22.0418490171;
9;2;14.7768793106;10.3632001877;4;22.8194274902;2;14.6125545502;10.3632001877;4;23.3017349243;
10;2;15.2687425613;10.9097137451;3;23.7716035843;2;14.9905204773;10.9097137451;4;24.3994617462;
11;2;17.268743515;11.3658018112;3;24.5557456017;2;15.3198385239;11.3658018112;4;25.3481024504;
12;2;19.268743515;11.7372808456;3;25.1909515858;2;17.3198394775;11.7372808456;4;26.1681330204;
13;2;20.3243408203;12.0336990356;4;25.6996334791;2;19.3198394775;12.0336990356;5;26.8832330704;
14;2;21.3439407349;12.2662630081;4;26.10437572;2;20.5246925354;12.2662630081;5;27.5170819759;
15;2;22.3640708923;12.446267128;4;26.2577478886;2;21.6068458557;12.446267128;5;27.923101902;
16;2;23.3847293854;12.5;4;26.3048160076;2;22.6964111328;12.5;5;28.2468910217;
17;2;24.4059104919;12.5;4;26.3530313969;2;23.793548584;12.5;5;28.5960328579;
18;2;25.4276065826;12.5;4;26.4023760557;2;24.8982906342;12.5;5;28.9701628685;
