Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
6;1;13.0;10.0;5;20.0;1;11.0;10.0;5;20.0;
7;1;14.0;10.0;5;20.3999996185;1;11.0;10.0;5;20.3999996185;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;11.1199998856;10.1999998093;5;20.7264003754;
9;1;14.3268795013;10.3632001877;5;21.8194274902;2;11.5179204941;10.3632001877;4;21.9903717041;
10;1;14.8187427521;10.9097137451;5;22.7316036224;2;11.597111702;10.4951858521;4;23.0619120598;
11;1;15.8187427521;11.3658018112;5;23.4745616913;2;11.9185733795;11.0209560394;4;23.9545464516;
12;1;16.8187427521;11.7372808456;5;24.0673980713;2;13.9185733795;11.4571752548;4;24.6819883585;
13;1;17.8187427521;12.0336990356;5;24.5325260162;2;15.9185733795;11.8107032776;5;25.2644146681;
14;1;18.0396366119;12.2662630081;5;24.892534256;2;16.9369182587;12.0916318893;5;25.7245066166;
15;1;18.2016410828;12.446267128;5;25.0;2;17.9431419373;12.3113050461;5;26.0845712423;
16;1;18.25;12.5;5;25.0;2;18.9494171143;12.4808797836;5;26.1438889503;
17;1;20.2016410828;12.5;4;25.0;2;19.955739975;12.5;4;26.1651208401;
18;1;21.2016410828;12.5;4;25.0;2;20.9621105194;12.5;4;26.1864993572;
19;1;22.2016410828;12.5;5;25.0;2;21.8559494019;12.5;5;26.2080165148;
