Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;9.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;9.0;10.0;4;20.0;1;7.0;11.6999998093;5;21.0;
3;1;9.0;10.0;4;20.0;2;8.0;10.8999996185;4;22.0;
4;1;9.0;10.0;4;20.0;2;8.29999923706;10.5;4;22.0900000334;
5;1;10.0;10.0;4;20.0;2;8.31349945068;10.5;4;22.1871190071;
6;1;11.0;10.0;5;20.0;2;9.41710090637;10.5;4;22.2917383909;
7;2;11.0;10.0;4;20.3999996185;2;10.0156412125;10.5;4;22.4042263031;
8;2;11.1199998856;10.1999998093;4;20.7264003754;2;10.0409517288;10.5;4;22.9589728117;
9;2;11.2179203033;10.3632001877;4;20.9903717041;2;10.1657686234;10.7100000381;4;23.4430115223;
10;2;11.2971115112;10.4951858521;4;22.0419120789;2;10.2746782303;10.8792181015;4;23.8415006399;
11;2;11.6125736237;11.0209560394;4;22.9143505096;2;10.3643379211;11.0;4;25.6606454849;
12;2;11.8743057251;11.4571752548;4;23.6214065552;2;10.773645401;11.7700004578;5;27.2614676952;
13;2;12.8743057251;11.8107032776;4;24.1832637787;2;12.4981412888;12.4126424789;5;28.6526534557;
14;2;13.8743057251;12.0916318893;4;24.6226100922;2;14.4981412888;12.9308347702;5;29.8608493805;
15;2;14.3867835999;12.3113050461;4;24.9617595673;2;16.4981403351;13.3366470337;5;30.9217379093;
16;2;14.488527298;12.4808797836;4;25.0;2;17.7662620544;13.6469516754;5;31.8725180626;
17;2;16.3867835999;12.5;5;25.0;2;18.8754138947;13.879781723;5;32.6429929733;
18;2;17.3867835999;12.5;5;25.0;2;19.9946746826;14.0;5;33.2167277336;
19;2;18.3867835999;12.5;5;25.0;2;21.1237640381;14.0;5;33.8314290047;
20;2;19.3867835999;12.5;5;25.0;2;21.6120700836;14.0;5;34.4827160835;
21;2;19.5;12.5;5;25.0;2;21.7586097717;14.0;5;35.1645216942;
22;2;19.5;12.5;5;25.0;2;21.9120159149;14.0;5;35.8691868782;
23;2;19.5;12.5;5;25.0;2;22.0705661774;14.0;6;36.5877075195;
24;2;19.5;12.5;6;25.0;2;22.2322330475;14.0;6;37.3101301193;
25;2;19.5;12.5;7;25.0;2;22.3947792053;14.0;6;38.0260667801;
26;2;19.5;12.5;8;25.0;2;22.5558643341;14.0;6;38.7252779007;
27;2;19.5;12.5;8;25.0;2;22.713186264;14.0;6;39.3982591629;
28;2;19.5;12.5;8;25.0;2;22.8646087646;14.0;6;40.0367603302;
29;2;19.5;12.5;8;25.0;2;23.0082702637;14.0;6;40.6341733932;
30;2;19.5;12.5;8;25.0;2;23.1426887512;14.0;7;41.1857595444;
31;2;19.5;12.5;8;25.0;2;23.2667961121;14.0;7;41.6886959076;
