Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.3999996185;16.0;4;32.0;1;11.8999996185;8.625;4;17.25;
2;1;11.3999996185;16.0;6;32.0;1;11.8999996185;8.625;5;17.25;
3;1;11.3999996185;16.0;6;32.0;1;11.8999996185;8.625;4;17.25;
4;1;11.3999996185;16.0;6;32.0;1;11.8999996185;8.625;4;17.25;
5;1;12.3999996185;16.0;6;32.0;2;13.5;8.625;3;18.25;
6;1;13.3999996185;16.0;6;32.0;2;14.5;8.625;3;18.3624999523;
7;1;14.3999996185;16.0;6;32.6399993896;2;15.5674991608;8.625;3;18.8425289392;
8;1;14.7919998169;16.3199996948;6;33.0;2;16.3055171967;8.79749965668;3;19.2834601402;
9;1;14.8999996185;16.5;6;34.6500015259;2;16.5700759888;8.94309806824;3;20.2715096474;
10;1;16.7919998169;17.3250007629;6;35.8107757568;2;17.1629047394;9.3333568573;3;21.1754176617;
11;1;17.7919998169;17.9053878784;6;36.5947532654;2;19.1629047394;9.6677980423;3;22.0040557384;
12;1;18.7919998169;18.2973766327;6;37.0;2;21.1629047394;9.94955635071;3;22.7696070671;
13;1;19.7919998169;18.5;7;37.0;2;22.6416397095;10.1834592819;3;23.485840559;
14;1;20.7919998169;18.5;7;37.0;2;23.8412647247;10.3752222061;3;24.1666834354;
15;1;21.7919998169;18.5;8;37.0;2;25.0630722046;10.5308046341;4;24.7632339001;
16;1;22.7919998169;18.5;8;37.0;2;26.3079681396;10.625;4;25.210706234;
17;1;23.1000003815;18.5;8;37.0;2;27.5764503479;10.625;4;25.6974492073;
18;1;23.1000003815;18.5;9;37.0;2;28.8684959412;10.625;4;26.2223615646;
19;1;23.1000003815;18.5;9;37.0;2;29.733417511;10.625;4;26.7831263542;
20;1;23.1000003815;18.5;10;37.0;2;30.0698757172;10.625;4;27.3761043549;
21;1;23.1000003815;18.5;10;37.0;2;30.4256629944;10.625;5;27.9963049889;
22;1;23.1000003815;18.5;10;36.7039985657;2;30.7977828979;10.625;5;28.6374530792;
23;1;23.0111999512;18.3519992828;9;36.4375991821;2;31.182472229;10.625;5;29.2921695709;
24;1;22.9312801361;18.2187995911;8;36.1978378296;2;31.575302124;10.625;5;29.9522571564;
25;2;22.8593521118;18.0989189148;7;35.9820556641;2;31.9713554382;10.625;5;30.6090812683;
26;2;23.7946166992;17.991027832;6;36.7878494263;2;32.365447998;10.625;5;31.2540082932;
27;2;24.7363548279;18.3939247131;6;36.7510638237;2;32.7524032593;10.625;5;31.8788576126;
28;2;24.6839179993;18.3755321503;6;36.7492307425;2;33.1273155212;10.625;5;32.4763212204;
29;2;24.6367263794;18.3746147156;6;36.7823592424;2;33.4857940674;10.625;5;33.0402956009;
30;2;25.0347061157;17.6570911407;7;36.8506754637;2;33.8241767883;10.625;5;33.5661077499;
31;2;24.5560302734;18.4253368378;7;36.9545708895;2;34.1396636963;10.625;5;34.0506105423;
32;2;25.0863704681;17.5360431671;7;37.0945343971;2;34.4303665161;10.625;4;34.4921531677;
33;2;24.4906635284;18.4844398499;7;37.2710592747;2;34.6952896118;12.625;6;34.8904571533;
34;2;23.2091827393;18.4844398499;7;37.4845666885;3;34.9342727661;14.625;5;35.2464103699;
35;2;22.2983150482;19.4844398499;7;37.7352931499;3;35.1478462219;16.625;5;35.561832428;
36;2;21.3961048126;20.4844398499;8;38.0231711864;3;35.337097168;18.625;6;35.839220047;
37;2;20.5027828217;21.4844398499;10;38.3477191925;3;35.5035324097;20.625;7;36.0815153122;
38;2;21.6184310913;23.2942485809;9;38.7079148293;3;35.6489105225;20.625;7;36.2918977737;
39;2;22.7429447174;24.2668228149;10;39.1020956039;3;35.775138855;20.625;8;36.4736194611;
40;2;23.8760089874;25.2421398163;11;39.5278601646;3;35.8841705322;20.625;9;36.5;
41;2;23.4906635284;26.2199249268;11;39.9820213318;3;35.9000015259;20.625;10;36.5;
42;2;25.3199596405;27.1999320984;12;40.4605879784;3;35.9000015259;20.625;10;36.5;
43;2;24.3091621399;28.1819381714;12;40.9588155746;3;35.9000015259;20.625;10;36.5;
44;2;24.299446106;29.1657447815;13;41.4712972641;3;35.9000015259;20.625;11;36.5;
45;2;24.2907028198;30.1511707306;13;41.9921298027;4;35.9000015259;20.625;10;36.5;
46;2;25.2828330994;28.138053894;14;42.5151224136;4;35.9000015259;20.625;10;36.5;
47;2;26.2757492065;27.1262493134;15;43.0340299606;4;35.9000015259;20.625;10;36.5;
48;2;24.2693748474;28.1156234741;14;43.5428285599;4;35.9000015259;20.625;11;36.5;
49;3;25.2636375427;27.1060619354;13;44.0359401703;5;35.9000015259;20.625;11;36.5;
50;3;26.2584724426;27.0974559784;14;44.5084629059;5;35.9000015259;20.625;11;37.8687496185;
51;3;27.2538261414;27.0897102356;15;44.9563274384;5;36.7212524414;21.0234375;11;39.0226593018;
52;3;27.4868984222;27.0827388763;15;45.3764019012;5;37.4135932922;21.3489723206;11;39.9819107056;
53;3;27.6129226685;27.0764656067;15;45.7665214539;5;37.9891433716;21.6102333069;11;40.7703399658;
54;3;27.7299575806;27.0708198547;15;46.125462532;5;38.4622039795;21.8168411255;11;42.4125671387;
55;4;27.837638855;27.065738678;14;47.4528675079;5;39.8475418091;22.9782962799;11;42.7855000496;
56;4;28.9358596802;28.061164856;14;47.8775330782;5;41.0353012085;24.0;11;43.0743761063;
57;4;27.933391571;30.0570487976;14;48.2871069908;5;41.1708488464;25.0;11;43.1889609098;
58;4;27.3127193451;32.0533447266;15;48.6844414473;5;41.2000007629;26.0;11;43.2580518723;
59;4;26.2300071716;34.0500106812;15;49.0727493763;5;41.2000007629;27.0;11;43.3302885294;
60;4;26.7110061646;36.0470123291;15;49.4554430246;5;39.2000007629;29.0;12;43.4057120085;
61;4;27.2265853882;34.94739151;15;50.8359932899;5;38.2000007629;31.0;12;43.484351635;
62;4;29.8321800232;34.0418777466;16;52.6807242632;5;37.2000007629;33.0;12;43.5662232637;
63;4;31.6051177979;35.6751937866;16;54.1204071045;5;37.2000007629;36.0;11;44.6513283253;
64;4;32.8649024963;37.3896827698;17;55.2672953606;5;37.2000007629;39.0;12;44.7846524715;
65;4;34.235080719;37.3949432373;17;55.8541069031;5;36.827003479;41.8698272705;13;44.9227190018;
66;5;33.340045929;40.4000015259;17;57.3626381159;6;35.8549346924;43.9155807495;12;45.0654895306;
67;5;32.3759155273;43.4000015259;18;57.9011620283;6;34.2000007629;45.9629058838;12;45.2129025459;
68;5;31.7007579803;46.3904647827;18;58.4759151936;6;33.9136238098;47.0117645264;12;45.3648722172;
69;6;31.3914680481;48.6037445068;17;59.0856724977;6;33.1443862915;48.0621185303;12;45.5212880373;
70;6;31.0400009155;50.8304748535;17;59.7283890247;6;32.1760902405;47.1139030457;13;45.6820137501;
71;6;31.0400009155;52.7535438538;20;60.4011691809;6;32.2087364197;47.1670608521;13;45.8468868732;
72;6;31.0400009155;54.0574493408;21;61.1002858877;6;32.2423171997;47.2215156555;14;46.0157190561;
73;6;32.5174484253;51.5778770447;21;61.8212519884;7;32.2768173218;47.277179718;14;46.188295722;
74;6;31.5541572571;53.842918396;22;62.5589472055;7;31.4000015259;48.3339576721;14;46.3643773794;
75;6;31.0400009155;57.03358078;23;63.3077962399;7;31.4000015259;49.391746521;14;46.5437002182;
76;6;32.634185791;52.3817520142;25;64.0619846582;7;31.4000015259;50.450428009;14;46.72597754;
77;6;31.0400009155;54.6498260498;25;64.8156977892;7;31.4000015259;51.5098838806;14;46.9109013081;
78;6;31.7231750488;54.9131622314;25;65.5633628368;7;31.4000015259;52.5699806213;16;47.098144412;
79;6;32.0400009155;54.1690406799;25;66.2998635769;7;31.4000015259;54.5490722656;16;47.2873630524;
80;6;32.0400009155;52.4707756042;26;67.0207207203;7;31.2000007629;55.6436805725;17;47.4781987667;
81;7;30.0400009155;53.5576858521;24;67.7222132683;8;31.2000007629;57.7390975952;17;48.6702821255;
82;7;31.0400009155;56.6479873657;25;68.3957750797;9;31.2000007629;59.8351402283;17;48.9607354403;
83;7;32.0400009155;56.7414855957;26;69.0447506905;9;30.7999992371;61.9316177368;17;50.9823689461;
84;7;32.0400009155;55.8379592896;26;69.6678516865;9;31.2319984436;65.2692565918;17;52.7085921764;
85;7;30.0400009155;57.9371261597;27;70.2644767761;9;31.6004085541;67.4362335205;18;54.1760030985;
86;7;31.0400009155;61.038684845;27;70.8345980644;9;31.9096736908;68.6048812866;18;55.4257503748;
87;7;32.0400009155;61.1422767639;27;72.3786325455;9;32.1657943726;69.7748794556;16;56.412956357;
88;7;32.0400009155;62.2475204468;28;72.9889827967;10;32.3754959106;70.9458770752;13;69.8470526934;
89;7;32.0400009155;62.3540000916;27;73.5823426247;10;33.5455551147;73.1175384521;14;71.1468703747;
90;7;33.3972167969;60.4612808228;26;74.1601879597;10;34.5999984741;75.2894973755;14;72.309081316;
91;7;33.4292793274;64.5689163208;27;74.721395731;10;34.5999984741;77.4613952637;15;73.8455338478;
92;7;33.4638023376;68.6764373779;27;75.1360496283;10;34.5999984741;79.632850647;15;75.9390108585;
93;7;35.0400009155;66.5515441895;27;75.5570659637;10;34.5999984741;82.1187362671;15;78.0116550922;
94;7;34.5406723022;66.7833862305;28;75.9837523699;11;34.5999984741;84.6249084473;15;80.0545806885;
95;7;33.0400009155;71.6887435913;28;76.4154138565;11;34.5999984741;87.1486663818;15;82.0638775826;
96;7;36.6286048889;66.1690368652;29;76.8513529301;11;34.5999984741;89.6868286133;15;85.0391516685;
97;7;35.4934120178;69.1690368652;30;77.2908716202;11;35.5999984741;90.2357711792;15;88.0417175293;
98;7;33.0400009155;74.1690368652;30;77.733266592;11;37.5999984741;94.7915649414;15;91.0757985115;
99;7;34.7822914124;75.1690368652;31;78.1778275967;11;39.5999984741;100.35005188;16;93.1442049742;
100;7;33.0400009155;80.1690368652;33;78.6238293648;11;41.5999984741;102.906936646;17;96.1873978376;
101;7;34.0400009155;81.7903594971;33;79.0705239773;11;42.5999984741;109.457962036;19;98.3080284595;
102;7;34.962097168;79.8385467529;34;79.5171339512;11;45.5999984741;113.725830078;20;100.461946249;
103;7;33.0400009155;83.8857803345;36;79.9628448486;11;46.5999984741;117.98197937;22;102.696056366;
104;7;36.0400009155;79.9320220947;36;80.4067995548;11;46.5999984741;125.225013733;22;105.012836218;
