Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.3999996185;16.0;4;32.0;1;11.8999996185;8.625;4;17.25;
2;2;11.5999994278;16.0;5;33.0;1;11.8999996185;8.625;5;17.25;
3;2;11.5999994278;16.0;5;33.0199999809;1;11.8999996185;8.625;5;17.25;
4;2;11.6040000916;16.0;5;33.0401959419;1;11.8999996185;8.625;5;17.25;
5;2;12.7120580673;16.0;5;33.0605818033;2;13.5;8.625;4;18.25;
6;2;13.7181739807;16.0;5;33.0811508894;2;14.5;8.625;4;18.3324999809;
7;2;14.7243452072;16.0;5;33.7418959141;2;15.5494995117;8.625;4;18.7767374516;
8;2;15.1225690842;16.3199996948;5;34.1228116751;2;16.2660427094;8.79749965668;4;19.1750973463;
9;2;15.2368431091;16.5;5;34.0335441828;2;16.5050582886;8.94309806824;4;20.1097816229;
10;2;17.1419029236;16.433599472;4;33.9587395191;2;17.0658683777;9.3333568573;4;20.9490460157;
11;2;19.1419029236;16.373840332;4;33.8970589638;2;19.0658683777;9.6677980423;4;21.7003124952;
12;2;21.1419029236;16.3200569153;4;33.8472976685;2;21.0658683777;9.94955635071;4;22.3743340969;
13;2;22.1831970215;16.2716522217;5;33.8083618879;2;22.4044761658;10.1834592819;4;22.9835453033;
14;2;23.1976566315;16.2280864716;5;33.7792685032;2;23.539888382;10.3752222061;4;23.540728569;
15;2;24.1337795258;16.1888771057;5;33.7591260672;2;24.6875;10.5308046341;5;23.9961423874;
16;2;24.1277389526;16.1535892487;5;33.7471233606;2;25.8477134705;10.625;5;24.2845933437;
17;3;24.1241359711;16.1218299866;5;33.7425254583;2;27.0207824707;10.625;4;24.5945894718;
18;4;24.1227588654;16.09324646;4;33.7446658611;2;28.2067813873;10.625;4;24.9258847237;
19;4;24.1234016418;16.067522049;4;33.7529352903;2;28.955532074;10.625;4;25.277818203;
20;4;24.1258792877;16.0443706512;5;33.7667740583;2;29.1666908264;10.625;4;25.6492710114;
21;4;24.130033493;16.0235328674;5;33.7856794596;2;29.3895626068;10.625;5;26.0386385918;
22;4;24.1357040405;16.0047798157;5;33.8091831207;2;27.3895626068;11.625;5;26.4438223839;
23;4;24.1427555084;15.9879016876;4;33.8368589878;2;26.75;12.625;5;26.8622460365;
24;4;24.1510562897;15.9727115631;3;33.8683136702;2;26.75;13.625;5;27.290895462;
