Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;10.6999998093;5;21.0;
4;1;9.0;11.5;6;23.0;1;8.14999961853;10.5;5;21.0;
5;1;9.60000038147;11.5;6;23.0;1;8.14999961853;10.5;5;21.0;
6;1;10.6000003815;11.5;6;23.0;1;9.14999961853;10.5;4;21.0;
7;1;11.6000003815;11.5;6;23.0;1;9.72500038147;10.5;4;21.0;
8;1;11.8999996185;11.5;6;23.4599990845;1;9.72500038147;10.5;4;21.4200000763;
9;1;12.0380001068;11.7299995422;6;23.8212833405;1;9.81949996948;10.7100000381;4;21.758436203;
10;1;12.1463851929;11.9106416702;6;24.0;2;9.8956489563;11.0792179108;3;23.0;
11;1;12.2000007629;12.0;6;25.2000007629;2;10.1750001907;11.0;3;24.7000008821;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;10.5574998856;11.7700004578;4;26.1690288782;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;12.2523422241;12.4126424789;4;27.4157934189;
14;2;17.1463851929;13.650551796;5;28.4657306671;2;14.2523422241;12.9308347702;4;28.4674659967;
15;2;19.1463851929;13.7328653336;5;28.9171288013;2;16.2523422241;13.3366470337;4;29.3608939648;
16;2;20.4553852081;13.943564415;5;29.0605909824;2;17.4150733948;13.6469516754;4;30.135217905;
17;2;21.4645614624;14.0;6;29.091766119;2;18.4845218658;13.879781723;4;30.7230784893;
18;2;22.4739151001;14.0;6;29.1235172749;2;19.5626926422;14.0;4;31.1118502617;
19;2;22.7370548248;14.0;6;29.1558350325;2;20.6501674652;14.0;4;31.544028759;
20;2;22.7467498779;14.0;6;29.1887089014;2;21.0974063873;14.0;3;32.0209121704;
21;2;22.7566127777;14.0;7;29.2221269608;2;21.2047042847;14.0;3;32.5427899361;
22;3;22.7666378021;14.0;6;29.2560760975;2;20.2999992371;15.0;3;33.1086950302;
23;3;22.7768230438;14.0;6;29.2905418873;2;21.2999992371;14.0;4;33.7161855698;
24;3;22.7871627808;14.0;6;29.3255085945;2;21.5861415863;14.0;4;34.3611893654;
25;3;22.3999996185;14.397652626;6;29.3609591722;2;21.7312660217;14.0;5;35.0379443169;
26;3;22.3999996185;14.408288002;6;29.3968753815;2;21.8835372925;14.0;5;35.7390680313;
27;3;20.8190612793;15.0;6;29.4332377911;2;22.0412902832;14.0;5;36.4557781219;
28;3;19.8299713135;16.0;6;29.4700255394;3;23.2025489807;14.3000001907;4;38.1782588959;
29;3;18.8410072327;17.0;6;29.5072168112;3;24.36510849;14.5;4;39.056158185;
30;3;17.8521652222;18.0;6;29.5447884798;3;22.5266342163;15.5799999237;4;39.9429098368;
31;3;16.8634357452;19.0;6;29.5827163458;3;21.9871520996;16.0;4;40.8317251205;
32;3;15.8748149872;20.0;6;29.6209751368;3;20.8374595642;17.7770614624;5;41.717122674;
33;3;14.8862924576;21.0;7;29.6595385075;3;19.9826622009;18.8970851898;5;42.5952756405;
34;3;15.4978618622;22.5;6;30.6983793974;3;19.5839347839;19.0;5;43.464168787;
35;3;16.509513855;23.0;6;30.777469635;3;19.4794387817;20.0;5;44.3235480785;
36;3;16.833240509;24.0;7;30.8579643965;3;19.0601062775;22.0;5;45.1746716499;
37;4;16.8573894501;25.0;6;30.9398357868;3;19.1641349792;23.5559253693;5;46.0199007988;
38;4;16.8819503784;26.0;6;31.0230522156;3;20.0544776917;23.0;5;46.8621740341;
39;4;16.9069156647;27.0;7;31.1075787544;3;20.2439880371;24.0;5;47.7044358253;
40;4;17.3635520935;25.9478683472;7;31.1933764219;3;19.4113693237;26.0;6;48.5490655899;
41;4;16.9580135345;26.0;7;31.2804031372;3;20.4740829468;26.0;7;49.3973684311;
42;4;16.9841213226;27.0;7;31.3686125278;3;20.814409256;27.0;7;50.2491784096;
43;4;17.4059104919;26.0;7;31.4579547644;3;19.9595336914;26.0;8;51.0379443169;
44;4;17.0373859406;26.0;7;31.5483762026;3;18.5282669067;27.0;8;51.7390680313;
45;4;17.6286640167;26.0;7;31.6398191452;3;21.5282669067;27.0;8;52.4557781219;
46;4;19.0919456482;27.0;9;31.7322227955;3;23.5025501251;28.0;10;53.1782588959;
47;4;20.1196670532;28.0;9;31.8255221844;3;24.6651077271;29.0;11;53.8961582184;
48;4;21.1476573944;29.0;10;31.9196490049;3;25.8266372681;30.0;11;54.5991659164;
49;4;21.0;30.0;11;32.014531374;3;26.9848136902;30.0;12;55.2776012421;
50;4;22.6881561279;29.8603382111;11;32.1100943089;3;25.1374607086;31.0;13;55.9229507446;
51;4;24.2330284119;29.0;12;32.2062596083;3;24.2826652527;32.0;13;56.5282850266;
52;4;24.7115650177;29.9171886444;13;32.3029462099;3;23.2826652527;31.0;14;57.088514328;
53;4;25.6908836365;29.0;14;32.4000698328;3;22.2826652527;31.0;15;57.6004695892;
54;4;25.7200202942;29.0;14;32.4975442886;3;22.2826652527;32.0;15;58.0628213882;
55;5;25.1460399628;30.0;14;32.5952808857;4;23.7641353607;34.0;15;59.4758720398;
56;5;24.3999996185;29.0;14;32.6931889057;4;24.8570709229;36.0;15;60.0012618303;
57;5;24.3999996185;30.0;14;33.7911763191;4;24.9392852783;38.0;16;60.5053898096;
58;5;26.8373527527;30.0;14;33.9091494083;4;25.0113716125;40.0;16;60.9944944382;
59;5;27.1904830933;32.0;14;34.0272097588;4;25.0740833282;42.0;16;61.4753547907;
60;5;27.8961029053;32.0;15;34.1452564001;4;25.1282653809;43.0;15;61.9549796581;
61;6;27.925403595;33.0;14;35.2631870508;4;25.1747970581;44.0;16;62.375654459;
62;6;28.132183075;35.0;14;35.4209003448;6;25.2000007629;45.0;14;62.7230784893;
63;6;29.1509227753;36.0;15;35.5794788599;7;25.2000007629;46.0;11;87.1118502617;
64;6;29.1696739197;37.0;15;35.7388234138;7;24.2000007629;49.0;11;88.7440295219;
65;6;28.3999996185;39.0;15;35.8988329172;7;25.2000007629;49.0;11;90.1785125732;
66;6;29.2071113586;39.0;16;36.0594052076;7;24.6000003815;52.0;14;91.4438939095;
67;6;28.3999996185;40.6059188843;15;36.2204364538;7;25.6000003815;55.0;13;92.5744256973;
68;6;28.3999996185;41.0360641479;16;37.3818222284;7;27.6000003815;55.0;13;93.6033143997;
69;7;30.2627639771;42.2672424316;15;37.5814359188;7;27.6000003815;57.0;13;95.1164078712;
70;7;31.2999992371;42.6257171631;16;39.3580641747;7;28.6000003815;59.0;13;98.3658781052;
71;7;31.7425003052;45.5905418396;17;40.8014503717;7;28.6000003815;59.0;13;102.137601852;
72;7;33.049030304;45.6313819885;18;41.9685176611;7;31.6000003815;58.0;13;104.351137161;
73;8;31.369758606;49.0709190369;17;64.6709698439;7;31.6000003815;59.0;14;105.978810787;
74;10;33.5353660583;48.3844108582;11;96.6532081366;7;22.6000003815;57.0;13;78.4309284687;
75;10;35.699344635;50.5739707947;11;98.1972702742;7;26.8528003693;55.0;14;79.9293646812;
76;10;37.7442588806;52.6590042114;14;99.5285205841;8;29.8626003265;55.0;13;81.0435169935;
77;10;37.5999984741;55.7472076416;14;100.670045853;8;32.0499992371;54.6059188843;16;83.1502290964;
78;10;39.5999984741;56.8385505676;16;101.651241064;8;29.3329925537;58.0;16;84.3025516272;
79;11;39.5999984741;58.9329833984;15;102.502400637;8;29.0499992371;62.6524085999;16;86.4398341179;
80;12;40.5999984741;63.0304298401;12;118.102318645;8;30.3544311523;66.0;17;87.7419170141;
81;12;42.5999984741;66.2271575928;11;119.591594577;8;29.0499992371;69.0;17;89.0619233847;
82;12;43.5999984741;70.2755203247;12;120.987630367;8;29.0499992371;73.0;16;90.4092442989;
83;12;44.5999984741;74.6198272705;12;122.279136062;8;29.0499992371;76.0;17;91.7948598862;
84;12;45.7000007629;79.7282485962;12;123.461707711;9;30.0;75.0;15;93.2301442623;
85;12;45.7000007629;82.8390426636;13;124.536877751;9;31.0;75.0;16;94.7256052494;
