Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;11.0;10.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;11.0;10.0;5;20.0;1;11.3999996185;16.0;6;31.7439994812;
3;1;11.0;10.0;5;20.0;1;11.3487997055;15.8719997406;6;31.5135993958;
4;1;11.0;10.0;5;20.0;1;11.3027200699;15.7567996979;6;31.1014404297;
5;1;12.0;10.0;5;20.0;1;12.3027200699;15.5507202148;6;30.7304954529;
6;1;13.0;10.0;5;20.0;1;13.3027200699;15.3652477264;6;30.3966464996;
7;1;14.0;10.0;5;20.3999996185;2;14.4189939499;15.1983232498;5;31.0128211975;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;14.3038463593;15.0064105988;5;30.6915234327;
9;1;14.3268795013;10.3632001877;5;21.8194274902;2;14.2074575424;14.8336896896;5;30.8509500027;
10;1;14.8187427521;10.9097137451;5;22.7316036224;2;16.3258495331;14.8887996674;5;30.9019926786;
11;1;15.8187427521;11.3658018112;5;23.4745616913;2;18.3258514404;14.8887996674;5;30.9548887014;
12;2;17.8187427521;11.7372808456;4;25.0673980713;2;20.3258514404;14.8887996674;5;31.0096504688;
13;2;19.8187427521;12.0336990356;5;25.7025259733;2;21.3734607697;14.8887996674;5;31.0662847757;
14;2;20.8187427521;12.2662630081;5;26.2594451904;2;22.3904514313;14.8887996674;5;31.1247925758;
15;2;21.8187427521;12.446267128;5;27.7581822872;2;23.3374385834;14.8887996674;5;31.1851685047;
16;2;22.8187427521;13.0819559097;5;29.0234056711;2;23.3555526733;14.8887996674;7;31.247400403;
17;2;23.8187427521;13.5837917328;5;30.0925116539;2;23.3742218018;14.8887996674;7;31.3114690781;
18;2;24.8187427521;13.9685411453;5;31.0103490353;2;23.3934421539;14.8887996674;8;31.3773477077;
