Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;4;21.0;1;8.0;12.0;6;20.0;
4;2;8.14999961853;10.6999998093;3;22.8400001526;1;9.0;11.0;6;20.0;
5;2;8.42599964142;10.9200000763;3;23.6101437807;2;10.0;10.3000001907;5;21.0;
6;2;9.51900005341;11.2650718689;2;24.252141118;2;11.4499998093;10.0;5;21.1499999762;
7;2;10.4567317963;11.543302536;2;24.785192728;2;12.5174999237;10.0;5;21.320775032;
8;2;10.5766677856;11.7641716003;2;25.4766200781;2;13.5943489075;10.0;5;21.9278619289;
9;2;10.7322397232;12.0549411774;2;26.0503197908;2;14.687538147;10.1999998093;5;22.4906556606;
10;2;10.8613214493;12.2827939987;2;26.5291198492;2;15.1207942963;10.3632001877;5;23.9406929016;
11;2;10.9690513611;12.4589796066;2;26.7463183403;2;15.7733125687;10.9097137451;5;25.2745497227;
12;2;13.8897686005;12.5;2;26.8904539347;2;16.3735485077;11.3658018112;5;26.5122902393;
13;2;15.8897686005;12.5;2;27.0437612534;2;18.9630680084;11.7372808456;5;27.6811490059;
14;2;16.9871025085;12.5;3;27.2063677311;2;20.9630680084;12.0336990356;5;28.8107104301;
15;3;18.02368927;12.5;2;27.3783240318;2;22.7439250946;12.2662630081;5;29.9288907051;
16;3;18.527256012;12.5;2;27.559592247;2;24.0851020813;12.446267128;5;30.8907060623;
17;3;20.1031646729;12.5;2;27.7500362396;2;25.4695606232;12.5;5;31.8396573067;
18;3;20.2437591553;12.5;2;27.9494128227;2;26.8965892792;12.5;6;32.8765726089;
19;3;20.2886180878;12.5;2;28.1573636532;2;28.3632011414;12.5;6;33.9890146255;
20;3;20.3354072571;12.5;3;28.3734104633;2;29.2950553894;12.5;6;35.1585741043;
21;3;20.3840179443;12.5;2;28.5969524384;2;29.8213577271;12.5;6;36.3614940643;
22;3;20.4343147278;12.5;2;28.8272669315;2;30.3626728058;12.5;6;37.5701875687;
23;3;20.4861354828;12.5;2;29.0635137558;2;30.9065856934;12.5;7;38.7555322647;
24;4;20.5392913818;12.5;1;29.3047437668;4;31.4399909973;12.5;5;39.8896026611;
25;4;20.5935668945;12.5;2;29.5499100685;4;31.9503211975;12.5;4;40.9483127594;
26;5;18.6487293243;13.5;1;29.7978844643;4;32.4267425537;12.5;4;41.9134540558;
27;5;17.7045249939;14.5;1;30.0474758148;4;32.8610534668;12.5;4;42.773765564;
28;5;16.7606811523;15.5;1;30.2974534035;4;30.8610534668;13.5;4;43.5249271393;
29;5;16.625;14.5;1;30.5465683937;4;29.8610534668;13.5;3;44.1686820984;
30;5;15.625;14.5;1;30.7935810089;4;28.8610534668;13.5;3;44.7114086151;
31;5;15.3035554886;15.5;1;32.0372834206;4;27.8610534668;13.5;3;45.1625213623;
32;5;16.3583889008;16.5;2;32.3165240288;4;26.8610534668;13.5;3;45.5330028534;
33;5;17.0;16.0200004578;2;32.5914130211;4;25.8610534668;13.5;3;45.8342208862;
34;5;17.2432670593;15.5;2;32.8609745502;4;25.8610534668;14.5;4;46.0;
35;5;17.0;15.0617771149;2;33.1243423223;4;24.8610534668;13.5;3;46.0;
36;5;18.2625999451;14.5;1;33.3807686567;4;26.8610534668;15.5;3;46.0;
37;5;19.0;16.1059207916;1;33.6296327114;4;28.8610534668;17.5;2;46.0;
38;5;18.2829933167;14.5;2;33.8704426289;4;30.8610534668;19.5;2;46.0;
39;5;18.2935829163;14.5;2;34.1028335094;4;32.8610534668;21.5;2;47.0;
40;5;17.3044319153;13.5;2;34.3265641928;4;34.8610534668;23.5;2;47.0199999809;
41;5;17.0;14.2011880875;2;34.5415076017;4;36.7000007629;24.5;3;47.0401959419;
42;5;17.3268852234;13.5;3;34.7476420403;4;37.1680870056;25.5;3;47.0605818033;
43;7;17.3384819031;13.5;1;34.9450407028;4;36.7000007629;26.5;3;47.0811508894;
44;7;17.3503131866;13.5;1;35.1338553429;4;37.1865196228;27.5;4;47.1018965244;
45;7;17.3623752594;13.5;1;35.3143082857;6;35.195854187;28.5;2;47.1228116751;
46;7;19.3746566772;16.5;2;35.486675024;6;35.7000007629;28.2859687805;3;47.1438889503;
47;7;20.9723510742;19.5;2;35.6512739658;6;34.2147483826;28.5;3;47.1651208401;
48;7;22.3965377808;22.5;2;35.8084560633;6;33.2243041992;29.5;3;47.1864993572;
