Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;6;21.0;2;8.0;12.3000001907;5;21.0;
4;1;8.14999961853;10.5;5;21.8400001526;2;9.30000019073;11.0;5;21.0900000334;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;10.3269996643;10.0;4;21.1871190071;
6;1;9.27600002289;11.2650718689;5;23.086605072;2;11.5342035294;10.0;4;21.2917383909;
7;1;10.194486618;11.543302536;4;23.5283432007;2;12.5812826157;10.0;4;21.4042263031;
8;1;10.2938766479;11.7641716003;4;24.1098823547;2;13.631901741;10.0;4;21.9389723539;
9;1;10.4247236252;12.0549411774;4;24.5655879974;2;14.6925373077;10.1999998093;4;22.4109756947;
10;1;10.5272569656;12.2827939987;4;24.9179592133;2;15.0849380493;10.3632001877;4;23.7114653587;
11;1;10.6065406799;12.4589796066;4;25.0;2;15.6701593399;10.9097137451;4;24.8527286053;
12;1;11.6065406799;12.5;4;25.0;2;16.1837291718;11.3658018112;4;25.8476524353;
13;1;12.6065406799;12.5;4;25.0;2;18.7732486725;11.7372808456;4;26.7164058685;
14;1;13.6065406799;12.5;4;25.0;2;20.7732486725;12.0336990356;4;27.4822225571;
15;1;14.6065406799;12.5;4;25.0;2;22.14610672;12.2662630081;4;28.168181181;
16;1;15.6065406799;12.5;4;25.0;2;23.2927837372;12.446267128;4;28.6269388199;
17;1;16.6065406799;12.5;5;25.0;2;24.4508647919;12.5;4;29.0031633377;
18;1;17.6065406799;12.5;5;25.0;2;25.6201667786;12.5;5;29.4033532143;
19;1;17.625;12.5;5;25.0;2;26.8002510071;12.5;5;29.8259272575;
20;1;17.625;12.5;5;25.0;2;27.421667099;12.5;5;30.268661499;
