Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.0;6;20.0;
4;2;8.14999961853;10.6999998093;4;22.8400001526;1;9.0;11.0;6;20.0;
5;2;8.42599964142;10.9200000763;4;23.6101437807;1;10.0;10.0;6;20.0;
6;2;9.51900005341;11.2650718689;4;24.252141118;1;11.0;10.0;6;20.0;
7;2;10.4567317963;11.543302536;4;24.785192728;1;12.0;10.0;6;20.0;
8;2;10.5766677856;11.7641716003;4;25.4766200781;1;13.0;10.0;6;20.3999996185;
9;2;10.7322397232;12.0549411774;4;26.0503197908;1;14.0;10.1999998093;6;20.7264003754;
10;2;10.8613214493;12.2827939987;4;26.5291198492;1;14.3268795013;10.3632001877;6;21.8194274902;
11;2;10.9690513611;12.4589796066;5;26.7463183403;1;14.8187427521;10.9097137451;6;22.7316036224;
12;2;13.8897686005;12.5;5;26.8904539347;1;15.2292222977;11.3658018112;6;23.4745616913;
13;2;15.8897686005;12.5;5;27.0437612534;1;16.8187427521;11.7372808456;5;24.0673980713;
14;2;16.9871025085;12.5;5;27.2063677311;1;17.8187427521;12.0336990356;5;24.5325260162;
15;2;18.02368927;12.5;5;27.3783240318;1;18.8187427521;12.2662630081;5;24.892534256;
16;2;19.0623779297;12.5;5;27.559592247;1;19.8187427521;12.446267128;5;25.0;
17;2;20.1031646729;12.5;5;27.7500362396;1;20.8187427521;12.5;5;25.0;
18;2;20.2437591553;12.5;6;27.9494128227;1;21.8187427521;12.5;6;25.0;
19;2;20.2886180878;12.5;6;28.1573636532;1;22.8187427521;12.5;6;25.0;
20;3;20.3354072571;12.5;5;28.3734104633;1;23.25;12.5;6;25.0;
