Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;11.0;6;20.0;
5;2;8.27600002289;11.1199998856;4;23.5301437378;2;10.0;10.3000001907;5;21.0;
6;2;9.50100040436;11.2650718689;4;24.1666051149;2;11.4499998093;10.0;3;21.0900000334;
7;2;10.4374866486;11.543302536;4;24.6938792467;2;12.4905004501;10.0;3;21.1871190071;
8;2;10.5561218262;11.7641716003;4;25.3783872128;2;13.5342035294;10.0;3;21.7036092281;
9;2;10.7101373672;12.0549411774;4;25.9448523521;2;14.5866241455;10.1999998093;3;22.1564130783;
10;2;10.8375911713;12.2827939987;4;26.4161262512;2;14.9703855515;10.3632001877;3;23.4291926622;
11;2;10.9436283112;12.4589796066;5;26.6255387068;2;15.5431365967;10.9097137451;1;24.540822506;
12;2;13.8643445969;12.5;5;26.7616688013;2;16.0433712006;11.3658018112;1;25.5043385029;
13;2;15.8643445969;12.5;5;26.9068008661;2;18.6328907013;11.7372808456;1;26.3401436806;
14;2;16.956287384;12.5;5;27.0611219406;2;20.6328907013;12.0336990356;1;27.0718023777;
15;2;17.9910087585;12.5;5;27.2247519493;2;21.9614181519;12.2662630081;1;27.7228300571;
16;2;19.0278244019;12.5;4;27.3977320194;2;23.092376709;12.446267128;1;28.1464314461;
17;2;20.0667457581;12.5;4;27.5800139904;2;24.2346363068;12.5;1;28.4879314899;
18;2;20.2055034637;12.5;5;27.771450758;2;25.3883113861;12.5;2;28.8545851707;
19;2;20.2485771179;12.5;5;27.971786499;2;26.5533065796;12.5;2;29.2456488609;
