Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;2;7.0;13.3000001907;5;21.0;
3;1;8.0;10.0;5;21.0;2;8.30000019073;12.0;5;21.0599999428;
4;1;8.14999961853;10.5;5;21.8400001526;2;9.31799983978;11.0;5;21.1229639053;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;10.336889267;10.0;5;21.1889609098;
6;1;9.27600002289;11.2650718689;5;23.086605072;2;11.5350322723;10.0;5;21.2580518723;
7;2;10.194486618;11.9433021545;4;24.5283432007;2;12.5661230087;10.0;5;21.3302885294;
8;2;10.5188770294;11.7641716003;4;25.1098823547;2;13.5986299515;10.0;5;21.8190145493;
9;2;10.6497240067;12.0549411774;4;25.5655879974;2;14.6385564804;10.1999998093;5;22.2388005257;
10;2;10.7522573471;12.2827939987;4;25.9179592133;2;15.0074596405;10.3632001877;4;23.4601941109;
11;2;10.8315410614;12.4589796066;5;26.0;2;15.5570878983;10.9097137451;4;24.5095257759;
12;2;13.7522573471;12.5;4;26.0;2;16.0292873383;11.3658018112;4;25.3986660242;
13;2;15.7522563934;12.5;4;26.0;2;18.618806839;11.7372808456;3;26.1468911171;
14;2;16.7522563934;12.5;4;26.0;2;20.6188087463;12.0336990356;3;26.7767255306;
15;2;17.7522563934;12.5;4;26.0;2;21.8286323547;12.2662630081;3;27.3107893467;
16;2;18.7522563934;12.5;4;26.0;2;22.9069576263;12.446267128;3;27.6016011238;
17;2;19.7522563934;12.5;4;26.0;2;23.9894638062;12.5;3;27.7940778732;
18;2;19.625;13.0;5;26.0;2;25.0760784149;12.5;4;27.9954168797;
19;2;19.625;13.0;5;26.0;2;26.1666793823;12.5;4;28.2052333355;
20;2;19.625;13.0;5;26.0;2;26.6923542023;12.5;6;28.4230215549;
21;2;19.625;13.0;5;26.0;3;26.7903594971;12.5;5;28.6481528282;
22;2;19.625;13.0;5;26.0;3;26.8916683197;12.5;6;28.8798778057;
23;2;19.625;13.0;5;26.0;3;26.9959449768;12.5;6;29.117331028;
24;2;19.625;13.0;6;26.0;3;27.1027984619;12.5;6;29.3595399857;
25;2;19.625;13.0;7;26.0;3;25.25;13.5;6;29.6054382324;
26;3;19.625;13.0;6;26.0;3;26.25;12.5;6;29.8538813591;
27;3;19.625;13.1999998093;6;26.0;3;27.25;12.5;6;30.1036677361;
28;3;19.625;13.1999998093;6;26.0;3;27.5466499329;12.5;6;30.3535604477;
29;3;19.625;13.1999998093;7;26.0;3;27.6591033936;12.5;6;30.6023101807;
30;3;19.625;13.1999998093;8;26.0;3;25.7710399628;13.5;6;30.8486824036;
31;3;19.625;13.1999998093;8;26.0;3;24.7710399628;13.5;6;31.0914797783;
32;3;19.625;13.1999998093;8;26.0;3;23.7710399628;13.5;7;31.3295664787;
33;3;19.625;13.1999998093;8;26.0;3;23.25;13.5;7;31.5618891716;
34;3;19.625;13.1999998093;8;26.0;3;22.25;13.5;8;31.7874941826;
35;3;19.625;13.1999998093;8;26.0;3;22.25;13.5;8;32.0055427551;
36;3;19.625;13.1999998093;10;26.0;3;21.25;13.5;8;32.2153205872;
37;3;19.625;13.1999998093;10;26.0;3;21.25;13.5;8;32.41624403;
38;3;19.625;13.1999998093;10;26.0;3;22.25;15.5;8;32.6078615189;
39;3;19.625;13.1999998093;10;26.0;3;23.25;17.5;8;33.7898521423;
40;3;19.625;13.1999998093;11;26.0;3;25.25;20.5;9;34.0020194054;
41;3;19.625;13.1999998093;12;26.0;3;27.25;23.5;10;34.205467701;
42;3;19.625;13.1999998093;12;26.0;3;28.25;25.5;10;34.4002258778;
43;3;19.625;13.1999998093;12;26.0;3;29.25;26.5;11;34.5864142179;
44;3;19.625;15.1999998093;12;26.0;3;30.7751979828;27.5;12;34.7642315626;
45;4;19.625;17.2000007629;8;29.3090937138;3;28.25;29.3482894897;12;34.9339430332;
46;4;20.625;20.2000007629;8;29.4643201828;3;29.8159866333;27.5;12;35.0958669186;
47;4;21.625;23.2000007629;8;29.6214506626;3;27.25;28.5;12;35.250361681;
48;4;21.625;26.2000007629;8;29.7800176144;3;28.25;27.5;12;35.3978146315;
49;4;21.625;27.2000007629;8;29.9395337105;3;27.25;28.5;12;35.4528282881;
50;4;21.625;28.2000007629;9;30.0994973183;3;28.25;27.5;12;35.5043625832;
51;4;21.625;28.2000007629;9;30.2593984604;3;29.25;27.5;13;35.5569496155;
52;5;21.625;28.2000007629;9;30.4187254906;3;30.25;27.5;13;35.6105561256;
53;5;21.625;28.2000007629;9;30.5769720078;3;31.25;27.5;14;35.6651450396;
54;6;22.625;28.2000007629;9;30.733643055;4;31.2999992371;27.5;13;35.72067523;
