Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;2;7.0;11.1999998093;4;21.0;1;7.0;13.0;6;20.0;
3;2;8.14999961853;10.0;4;22.0299999714;1;8.0;12.0;6;20.0;
4;2;8.30449962616;10.5;4;22.900591135;1;9.0;11.0;6;20.0;
5;2;8.43508911133;10.9200000763;4;23.6219098568;2;10.0;10.3000001907;5;21.0;
6;2;9.52164745331;11.2650718689;4;24.2101223469;2;11.0;10.0;5;21.0;
7;2;10.4472780228;11.543302536;4;24.6841782331;2;12.0;10.0;4;22.0;
8;2;10.5539398193;11.7641716003;4;25.3101495504;2;13.0;10.5;4;23.069999218;
9;2;10.6947841644;12.0549411774;4;25.8114621639;2;14.0;11.0249996185;4;23.9611706734;
10;2;10.8075790405;12.2827939987;4;26.2106050253;2;15.0;11.4604873657;4;25.6145398617;
11;2;10.8973855972;12.4589796066;5;26.3405687809;2;16.0;12.2717781067;3;26.9851139784;
12;2;13.8181018829;12.5;5;26.3896260262;2;16.6472434998;12.9413805008;3;28.0827109814;
13;2;15.8181018829;12.5;5;26.4397966862;2;19.0;13.4742078781;3;28.9375698566;
14;2;16.8512115479;12.5;5;26.4910563231;2;21.0;13.8853845596;3;29.5897015333;
15;2;17.862745285;12.5;5;26.5433766842;2;22.0;14.1949214935;3;30.0804201365;
16;2;18.8745155334;12.5;5;26.5967253447;2;23.0;14.4234819412;3;30.26758039;
17;2;19.8865184784;12.5;5;26.6510663033;2;24.0;14.5;3;30.302216053;
18;2;19.9964904785;12.5;5;26.7063593864;2;25.0;14.5;3;30.3373470306;
19;2;20.0089302063;12.5;5;26.7625607252;2;26.0;14.5;5;30.3729559183;
20;2;19.625;13.0287685394;7;26.8196225166;2;27.0;14.5;5;30.4090241194;
21;2;19.625;13.0458869934;7;26.8774933815;2;27.0499992371;14.5;5;30.4455316067;
22;2;19.625;13.0632476807;7;26.9361182451;3;27.0499992371;14.5;4;30.4824572802;
23;2;19.625;13.0808353424;7;26.9954385757;3;27.0499992371;14.5;6;30.5197787285;
24;2;19.625;13.0986318588;8;27.0553927422;3;27.0499992371;14.5;6;30.5574725866;
25;2;20.0874633789;12.5;9;27.1159160137;3;27.0499992371;14.5;6;30.5955142975;
26;2;20.1010818481;12.5;9;27.176940918;3;27.0499992371;14.5;6;30.633878231;
27;2;19.625;13.5;9;27.2383973598;3;27.0499992371;14.5;6;30.6725378036;
28;2;20.1286392212;12.5;10;27.3002130985;4;27.0499992371;14.5;3;45.7114654779;
29;2;20.1425476074;12.5;10;27.3623139858;4;28.0499992371;14.5;4;47.9506337643;
30;3;19.625;13.5;8;39.7646970749;4;28.0499992371;15.5;4;49.1616126299;
31;3;18.625;14.7123126984;8;40.4947295189;4;29.0499992371;16.5;4;50.2612369061;
32;3;18.625;15.7435340881;8;41.1740949154;4;29.5648670197;17.5;4;51.2411831617;
33;3;18.625;16.7747821808;8;41.7986459732;4;29.6001663208;18.5;4;52.1012533903;
34;3;18.625;17.8060207367;8;42.3665449619;4;29.6374530792;19.5;4;52.8476997614;
35;3;19.0;18.8372077942;8;42.8780071735;4;29.6767807007;20.5;4;53.4911530018;
36;3;20.0;19.8683052063;8;43.3349268436;4;31.7181930542;22.5;4;54.0446070433;
37;3;21.0;20.8992767334;8;43.7404522896;4;33.0499992371;25.5;5;54.5217700005;
38;3;22.0;21.9300804138;9;44.0985710621;4;35.0499992371;28.5;6;54.8983941078;
39;3;23.0;22.9606819153;9;44.4137301445;4;37.8552513123;31.5;6;55.0494101048;
40;4;24.0;23.9910430908;8;44.6905331612;4;39.8052635193;34.5;8;55.2051131725;
41;4;25.0;25.0211315155;10;44.8518230915;4;40.8574295044;34.5;8;55.3654150963;
42;4;26.0;26.0509109497;10;44.9107012749;4;41.9117240906;34.5;9;55.5301926136;
43;4;27.0;29.0509109497;11;44.9688360691;5;41.9681091309;34.5;9;55.6992857456;
44;4;28.0;32.0509109497;12;45.0261688232;5;42.0265235901;34.5;8;55.8724954128;
45;4;29.0;35.0509109497;12;45.0826444626;5;42.0868911743;34.5;9;56.0495836735;
46;4;30.0;38.0509109497;12;45.1382114887;5;42.1491203308;34.5;9;56.2302725315;
47;4;31.0;41.0509109497;14;45.1928222179;5;42.2130966187;34.5;9;56.4142448902;
48;4;32.0750007629;39.2214126587;14;45.2464330196;5;42.2786903381;34.5;10;56.6011447906;
49;5;31.0750007629;40.2482147217;11;74.0490043163;5;42.3457565308;34.5;8;56.7905802727;
50;5;32.0750007629;42.2745018005;13;76.1130008698;5;42.4141235352;34.5;10;56.9821257591;
51;5;34.0750007629;41.3002510071;14;77.6976687908;6;40.9499969482;35.5;7;67.1753258705;
52;5;34.0750007629;43.3254432678;14;78.862203598;7;42.9499969482;35.5;7;69.7609894276;
53;5;35.0750007629;45.3500709534;15;79.6914548874;7;45.4762687683;37.0800018311;8;71.8915455341;
54;5;37.0750007629;44.3741188049;14;80.2706880569;7;46.2062759399;38.5082702637;9;73.6442661285;
55;5;37.0750007629;45.3975791931;12;80.3408849239;7;46.7802352905;39.8158721924;10;75.0295007229;
56;6;39.0750007629;47.4204406738;12;81.385405302;7;45.1721572876;42.0;11;75.7489051819;
57;6;39.0750007629;47.4427032471;12;81.468711853;7;46.2000007629;42.0;8;76.3738114834;
58;6;39.0750007629;48.4643554688;15;81.5519835949;7;45.2000007629;44.0;10;76.9654581547;
59;6;40.0750007629;50.4854011536;15;81.6235535145;7;43.2000007629;47.0;10;77.5238218307;
60;6;39.0750007629;50.5;15;81.6671074629;8;42.2000007629;50.0;8;98.0493593216;
61;6;39.0750007629;50.5;18;81.711841464;8;44.2000007629;51.0;8;100.342890263;
62;7;40.0750007629;51.5;18;89.4507346153;8;47.2000007629;51.0;11;102.375087976;
63;8;42.414188385;53.5600013733;17;92.3692258596;8;49.2000007629;52.0;11;104.11164999;
64;9;45.7029151917;56.6193275452;16;95.5353022814;8;47.2000007629;55.0;11;105.455826283;
65;9;49.9466743469;56.6778488159;17;97.143163681;8;46.2000007629;56.0;12;106.513511181;
66;9;50.457736969;60.4911956787;18;97.7304884195;8;45.2000007629;56.0;12;107.367891312;
67;9;51.5412635803;63.589214325;21;98.0828722715;8;43.2000007629;59.0;13;108.05442524;
68;9;49.5751876831;66.6876831055;22;98.4348038435;9;42.2000007629;62.0;11;108.538484573;
69;10;49.6084098816;65.7864990234;22;98.7858614922;9;42.2000007629;62.0;11;108.724045753;
