Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.0;5;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;11.0;5;20.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;10.0;10.0;5;20.0;
6;1;9.27600002289;11.2650718689;4;23.086605072;1;11.0;10.0;5;20.0;
7;1;10.194486618;11.543302536;3;23.5283432007;1;12.0;10.0;5;20.0;
8;1;10.2938766479;11.7641716003;3;24.1098823547;2;13.0;10.3000001907;4;21.3999996185;
9;1;10.4247236252;12.0549411774;3;24.5655879974;2;14.4499998093;10.1999998093;4;21.7264003754;
10;1;10.5272569656;12.2827939987;3;24.9179592133;2;14.7768793106;10.3632001877;4;22.8694274426;
11;1;10.6065406799;12.4589796066;4;25.0;2;15.2912425995;10.9097137451;4;23.8335785866;
12;1;12.5272569656;12.5;4;25.0;2;15.7251110077;11.3658018112;4;24.6305116415;
13;1;13.5272569656;12.5;4;25.0;2;18.3146324158;11.7372808456;4;25.2793427706;
14;1;14.5272569656;12.5;4;25.0;2;20.3146324158;12.0336990356;4;25.8024992943;
15;1;15.5272569656;12.5;4;25.0;2;21.3902301788;12.2662630081;4;26.2225775719;
16;1;16.527256012;12.5;3;25.0;2;22.417263031;12.446267128;4;26.3921557665;
17;1;17.527256012;12.5;3;25.0;2;23.4452133179;12.5;4;26.4563041925;
18;1;17.625;12.5;3;25.0;2;24.4740791321;12.5;5;26.5224741697;
19;1;17.625;12.5;4;25.0;2;25.5038566589;12.5;5;26.5906432867;
20;1;17.625;12.5;5;25.0;2;25.9657897949;12.5;5;26.6607804298;
