Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;11.0;6;20.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;10.0;10.0;6;20.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;11.0;10.0;6;20.0;
7;2;10.194486618;11.9433021545;4;24.5283432007;1;12.0;10.0;6;20.0;
8;2;10.5188770294;11.7641716003;4;25.1098823547;1;13.0;10.0;6;20.3999996185;
9;2;10.6497240067;12.0549411774;4;25.5655879974;1;14.0;10.1999998093;6;20.7264003754;
10;2;10.7522573471;12.2827939987;4;25.9179592133;2;14.3268795013;10.6632003784;5;22.8194274902;
11;2;10.8315410614;12.4589796066;4;26.0;2;15.2687425613;10.9097137451;5;23.8216036558;
12;2;13.7522573471;12.8999996185;4;26.0;2;15.7197227478;11.3658018112;5;24.6616806984;
13;2;15.5272569656;12.8999996185;4;26.0;2;18.3092422485;11.7372808456;5;25.3591364622;
14;2;16.527256012;12.8999996185;4;26.0;2;20.3092422485;12.0336990356;5;25.9367523193;
15;2;17.527256012;12.8999996185;4;26.0;2;21.4506454468;12.2662630081;5;26.4174647331;
16;2;18.527256012;12.8999996185;4;26.0;2;22.5049610138;12.446267128;4;26.6541694403;
17;2;19.527256012;12.8999996185;3;26.0;2;23.563117981;12.5;4;26.7922235727;
18;2;19.625;13.0;3;26.0;2;24.6252441406;12.5;5;26.9393253326;
19;2;19.625;13.0;4;26.0;2;25.6914386749;12.5;5;27.0956480503;
20;2;19.625;13.0;5;26.0;2;26.1930408478;12.5;5;27.261295557;
