Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;5;20.0;
3;1;8.0;10.0;6;21.0;1;8.0;12.0;5;20.0;
4;2;8.14999961853;10.6999998093;4;22.8400001526;1;9.0;11.0;4;20.0;
5;2;8.42599964142;10.9200000763;4;23.5601437092;1;10.0;10.0;4;20.0;
6;2;9.5077495575;11.2650718689;4;24.1471960545;1;11.0;10.0;4;20.0;
7;2;10.4331197739;11.543302536;4;24.6201093197;1;12.0;10.0;4;20.0;
8;2;10.5395240784;11.7641716003;4;25.2443172932;2;13.0;10.3000001907;3;21.3999996185;
9;2;10.6799716949;12.0549411774;3;25.7438752651;2;14.4499998093;10.1999998093;3;21.7264003754;
10;2;10.7923717499;12.2827939987;3;26.141277194;2;14.7768793106;10.3632001877;3;22.8594274521;
11;2;10.8817873001;12.4589796066;3;26.2695188522;2;15.2867431641;10.9097137451;3;23.8127875328;
12;2;12.8817873001;12.5;3;26.3168779612;2;15.7157554626;11.3658018112;3;24.5981152058;
13;2;14.8817873001;12.5;3;26.365380168;2;18.3052749634;11.7372808456;3;25.2345055342;
14;2;15.9137516022;12.5;3;26.4150065184;2;20.3052749634;12.0336990356;3;25.7443674803;
15;2;16.9249172211;12.5;3;26.4657343626;2;21.3640708923;12.2662630081;3;26.1502821445;
16;2;17.9363307953;12.5;3;26.5175373554;2;22.3847293854;12.446267128;3;26.3048160076;
17;2;18.9479866028;12.5;3;26.5703849792;2;23.4059104919;12.5;3;26.3530313969;
18;2;19.9598770142;12.5;3;26.6242431402;2;24.4276065826;12.5;4;26.4023760557;
19;2;19.9904556274;12.5;3;26.6790736914;2;25.4498119354;12.5;4;26.4528282881;
20;2;20.0027923584;12.5;5;26.7348344326;2;25.9037723541;12.5;4;26.5043625832;
21;2;20.0153369904;12.5;5;26.7914797068;2;25.9269638062;12.5;4;26.5569496155;
22;2;20.0280838013;12.5;6;26.8489596844;2;25.9506263733;12.5;5;26.6105561256;
23;2;20.041015625;12.5;6;26.9072211981;2;25.9747505188;12.5;5;26.6651450396;
24;2;20.0541248322;12.5;6;26.9662073851;2;25.9993152618;12.5;5;26.72067523;
25;2;20.0673961639;12.5;6;27.0258579254;2;26.0243034363;12.5;5;26.7771017551;
26;2;20.0808181763;12.5;6;27.0861098766;2;25.25;13.5;5;26.8343759775;
27;2;19.625;13.5;6;27.1468968391;2;26.0754699707;12.5;5;26.8924454451;
28;2;19.625;13.5734481812;6;27.20814991;2;25.25;13.5;5;26.9512542486;
29;2;20.1218338013;12.5;6;27.2697980404;2;25.25;13.8658781052;5;27.0107431412;
30;2;19.625;13.5;6;27.3317680359;2;24.1548347473;13.5;5;27.0708494186;
31;2;19.625;13.6658840179;6;27.393985033;2;23.1818828583;14.5;5;27.1315076351;
32;2;18.163646698;13.5;6;27.4563727379;2;22.2091789246;15.5;5;27.1926498413;
33;2;18.625;13.5;6;27.5188536644;2;21.2366924286;16.5;5;27.2542052269;
34;2;19.625;13.7594270706;6;27.5813500881;2;20.2643928528;17.5;5;27.3161010742;
35;2;18.2058029175;13.5;6;27.6437838078;2;19.2922458649;18.5;6;27.3782629967;
36;2;18.625;13.5;6;27.7060770988;2;18.3202190399;19.5;6;27.4406147003;
37;2;17.2338676453;13.5;6;27.7681524754;2;17.3482761383;20.5;6;27.5030794144;
38;2;17.625;13.5;8;27.8299334049;2;16.3763847351;21.5;7;27.5655794144;
39;2;18.625;13.9149665833;8;27.8913447857;2;15.404510498;22.5;7;27.628036499;
40;2;19.625;13.9456720352;8;27.9523131847;2;15.1826162338;23.5;7;27.690372467;
41;2;19.625;13.9761562347;9;28.0127673149;2;15.0;22.5;7;27.7525100708;
42;2;18.3028717041;13.5;9;28.0726380348;2;17.0;22.5;7;27.8143725395;
43;2;18.625;13.5;10;28.1318588257;2;17.0;22.5;6;27.8758842945;
44;2;17.329668045;13.5;10;28.1903662682;2;19.0;22.5;6;27.936971426;
45;2;17.625;15.5;11;28.2481002808;2;19.0;22.5;6;27.9975619316;
46;2;18.625;17.5;11;28.305003643;2;20.0;23.5;6;28.0575861931;
47;2;19.625;19.5;12;28.3610234261;2;21.0;24.5;7;28.1169772148;
48;2;20.3812294006;21.5;13;28.4161098003;3;23.0;22.5;6;28.1756706238;
49;2;20.3936252594;22.5;14;28.4702172279;3;24.4290523529;22.5;8;28.2336053848;
50;2;20.4057998657;22.5;15;28.5233039856;3;25.455121994;22.5;8;28.2907235622;
51;2;20.4177436829;22.5;15;28.5753324032;3;26.4808254242;22.5;8;28.346971035;
52;2;19.625;23.5;15;28.6262691021;3;26.7561378479;22.5;8;28.4022974968;
53;2;19.625;24.3131351471;15;28.67608428;3;26.7810344696;22.5;7;28.4566559792;
54;3;19.625;24.3380432129;9;48.7247524261;3;25.25;23.5;7;28.5100040436;
55;3;20.625;25.3623771667;10;49.9722530842;3;25.25;24.5;8;29.5623030663;
56;3;22.4737567902;24.5;10;51.0361659527;3;26.25;25.9936122894;8;29.6535181999;
57;3;22.625;26.5;10;51.9216384888;3;27.25;27.0294628143;8;29.7448029518;
58;3;24.4943275452;26.5;10;52.6439175606;3;27.25;28.0645332336;9;29.8361325264;
59;3;24.625;28.5;10;53.2239162922;3;27.25;29.0988044739;9;29.9274829626;
