Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
94;6;28.5999984741;70.2587585449;31;63.8733024597;10;32.0;76.3536224365;24;71.3609762192;
95;6;28.5999984741;72.2587585449;31;64.1156759262;10;30.3999996185;79.518157959;24;71.8812279701;
96;6;28.5999984741;74.2587585449;32;64.353228569;10;31.3999996185;79.6804199219;25;72.3590216637;
97;6;28.5999984741;75.4472579956;32;64.5849161148;10;30.3999996185;81.8355102539;25;72.7964491844;
98;6;28.5999984741;76.6094436646;33;64.8097963333;10;30.3999996185;83.9850311279;26;73.195889473;
99;6;28.5999984741;77.7668609619;33;65.0270428658;10;30.3999996185;86.1285247803;26;73.5223431587;
100;6;28.5999984741;78.9189300537;34;65.2359538078;10;31.3999996185;85.2656402588;26;73.7087211609;
101;6;28.5999984741;80.0651702881;34;65.4359588623;10;32.4000015259;85.3961029053;26;73.8853492737;
102;6;29.5999984741;78.2051696777;33;65.6266198158;10;33.4000015259;86.519744873;26;76.6920976639;
103;6;28.5999984741;79.3386383057;33;65.8076286316;10;34.8199996948;88.3564682007;24;79.0081264973;
104;6;28.5999984741;82.0268630981;33;65.9788007736;10;33.1375198364;91.0154571533;25;78.6752369404;
105;6;29.5999984741;80.1809234619;34;66.1400680542;10;35.0637664795;87.9914550781;25;78.3806848526;
106;6;28.5999984741;81.3260650635;34;66.2914676666;10;33.9973907471;87.9733886719;25;78.1199154854;
107;6;28.5999984741;82.4623260498;34;66.4331302643;10;33.9376525879;87.9601593018;27;77.8889174461;
108;6;29.5999984741;80.5898132324;34;66.5652666092;10;34.8838882446;87.9508285522;29;77.6841552258;
109;6;28.5999984741;81.7087402344;34;66.6881551743;10;32.8354988098;89.9446411133;29;77.5025219917;
110;6;28.5999984741;82.8193359375;36;66.8021306992;10;31.7919483185;94.1398391724;30;77.2954370975;
111;6;29.5999984741;80.9219207764;36;66.9075689316;10;30.7527542114;96.1147003174;31;77.0658938885;
112;6;28.5999984741;82.0168151855;36;67.0;10;31.7174777985;95.0532302856;33;76.8593049049;
113;6;28.5999984741;83.0999984741;36;67.0;10;32.6857299805;94.9979095459;33;76.6733753681;
114;6;29.5999984741;81.0999984741;38;67.0;10;30.6571578979;96.9481201172;33;76.5060396194;
115;6;28.5999984741;82.0999984741;38;67.0;10;30.6314430237;98.9033050537;33;76.3554353714;
116;6;28.5999984741;83.0999984741;38;67.0;10;31.6082992554;97.8629760742;35;76.2198908329;
117;6;29.5999984741;81.0999984741;38;67.0;10;31.5874671936;96.826675415;35;76.0979027748;
118;6;28.5999984741;82.0999984741;38;67.6300001144;10;32.5687217712;96.7940063477;35;76.9801230431;
119;6;28.5999984741;83.6669998169;39;68.2434310913;10;31.5518493652;96.3750152588;35;77.8532114029;
120;6;29.5999984741;82.2190856934;40;68.8331012726;10;31.5366630554;95.9443054199;36;78.7071175575;
121;6;28.5999984741;83.749786377;40;69.3928365707;10;32.5229988098;96.4950714111;37;79.53302598;
122;6;28.5999984741;85.2535552979;45;69.917722702;10;31.5106983185;96.0214538574;37;80.3236281872;
123;6;29.5999984741;83.7259521484;45;70.4042367935;10;31.499628067;95.5187530518;37;81.0732729435;
124;6;28.5999984741;85.1638183594;45;70.8502635956;10;32.4896659851;96.983543396;36;81.7779910564;
125;7;28.5999984741;86.5652389526;40;84.0050134659;10;34.4806976318;95.4136810303;30;85.0214316845;
126;7;30.5999984741;85.9295120239;40;85.1657371521;10;34.8819198608;97.5075302124;33;87.7409274578;
127;7;31.5999984741;85.9295120239;41;86.2287483215;10;37.0513763428;97.0713806152;34;90.0014710426;
128;7;31.5999984741;88.9295120239;38;87.1890182495;10;36.4057540894;99.4990234375;34;90.8839585781;
129;7;33.5999984741;88.9295120239;35;88.045381546;10;36.3054847717;100.375335693;31;90.8449749947;
130;7;33.5999984741;91.9295120239;36;88.8000736237;10;37.2152404785;102.268157959;32;90.8237185478;
131;8;35.5999984741;90.9295120239;37;109.458060265;10;38.9976959229;102.175750732;33;90.817445159;
132;9;37.5999984741;90.9295120239;36;111.768795013;10;38.887928009;102.096565247;33;90.766654253;
133;9;38.5999984741;93.9295120239;35;113.683067322;10;37.7891349792;105.029197693;34;90.6428939104;
134;9;40.5999984741;93.9295120239;35;115.290866852;10;36.729927063;104.972389221;37;90.5497416258;
135;9;41.5224571228;93.9295120239;36;116.601457596;10;35.6766357422;104.924980164;38;90.4838075638;
136;9;40.632938385;96.9295120239;37;117.587245941;10;35.6286773682;104.885955811;39;90.4138301611;
137;9;41.6999969482;96.9295120239;37;118.228731155;10;38.5855140686;100.854377747;39;90.2963418961;
138;9;41.6999969482;96.9295120239;37;118.711025238;10;37.4250259399;102.829406738;39;90.2071260214;
139;9;40.6999969482;99.9295120239;37;120.0;10;37.3725242615;104.810287476;39;90.1435078382;
140;9;42.6999969482;100.929512024;37;120.120000005;10;37.3410568237;101.796340942;40;93.5916824341;
141;9;43.6999969482;101.929512024;37;120.253056049;10;37.6932487488;104.445091248;41;95.7498086691;
142;9;43.263874054;105.929512024;36;120.400251865;10;39.9536514282;107.9402771;41;97.5576999187;
143;9;44.3301124573;106.929512024;40;120.562677503;10;42.1502685547;108.312812805;43;99.0373729467;
144;9;44.4032058716;107.929512024;40;120.741405964;10;41.4605407715;111.5675354;43;100.046850204;
145;10;43.483631134;110.929512024;39;120.93746376;10;40.5592727661;112.626396179;45;100.990630746;
146;10;45.8624763489;114.5;33;121.151796341;10;41.6705932617;110.684310913;42;101.830232859;
147;10;48.9910774231;115.5;34;121.38522768;10;41.795589447;112.74118042;40;102.3338871;
148;9;48.9385223389;117.5;34;121.638414145;13;43.156337738;111.796943665;32;102.872555733;
149;9;49.9638404846;116.951126099;34;121.911795616;13;43.3116378784;110.851531982;34;103.447534323;
150;9;49.9638404846;117.5;34;122.205543518;13;40.4832687378;113.904876709;33;104.059544802;
