Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
85;2;24.8935813904;25.0;12;29.3530313969;10;33.0;87.3988265991;12;92.6400079727;
86;2;23.9044303894;26.0;13;29.4023760557;10;34.0;92.5600814819;12;93.5937036276;
87;2;22.9155330658;27.0;13;29.4528282881;12;37.0;95.7262573242;12;95.4299142361;
88;2;21.9268856049;28.0;13;29.5043625832;12;38.0;101.896873474;16;96.1895467043;
89;2;20.9384803772;29.0;13;29.5569496155;12;39.0;108.071395874;18;96.9886014462;
90;2;19.9503116608;30.0;13;29.6105561256;12;41.0;111.249221802;18;97.8279727697;
91;2;18.9623737335;31.0;13;29.6651450396;12;42.0;112.93850708;17;98.7084467411;
92;2;17.9746551514;32.0;14;29.72067523;12;42.0;116.1769104;20;99.6306573153;
93;2;16.9871501923;33.0;14;29.7771017551;12;44.0;116.417633057;21;101.595029593;
94;2;15.9998464584;34.0;14;29.8343759775;12;46.0;117.659828186;22;102.841703176;
95;2;15.0127334595;35.0;14;29.8924454451;13;47.0;121.902633667;24;104.185057759;
96;2;14.4258003235;36.0;14;29.9512542486;13;49.0;123.14515686;27;105.635206342;
97;2;14.439031601;37.0;15;30.0107431412;13;50.0;124.386566162;28;107.202966213;
98;2;14.4524173737;38.0;15;30.0708494186;13;50.0;128.62600708;28;108.899441957;
99;2;14.4659414291;39.0;15;30.1315076351;13;52.0;129.862716675;29;110.735333443;
100;2;14.4795894623;40.0;15;30.1926498413;14;53.0;131.095932007;30;112.719892502;
