Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;2;8.0;13.3000001907;5;21.0;1;9.0;10.0;5;20.0;
3;2;10.0;12.0;5;21.0900000334;1;9.0;10.0;5;20.0;
4;2;12.0;11.0;5;21.1871190071;1;9.0;10.0;5;20.0;
5;2;13.356136322;10.0;5;21.2917383909;1;10.0;10.0;4;20.0;
6;2;14.5812826157;10.0;5;21.4171437025;2;11.3000001907;10.0;3;21.0;
7;2;15.637714386;10.0;5;21.9529461861;2;11.0;10.0;3;21.4399995804;
8;2;16.6988258362;10.1999998093;5;22.4260545969;2;11.1199998856;10.1999998093;3;22.6235842705;
9;2;17.7648448944;10.3632001877;5;23.7281450033;2;11.462720871;10.7712001801;3;23.6262276173;
10;2;18.6776657104;10.9097137451;5;24.8711094856;2;11.7508029938;11.2513370514;3;25.3905876875;
11;2;19.1919994354;11.3658018112;5;25.8678236008;2;12.2569313049;12.0948867798;3;26.8777146339;
12;2;21.1919994354;11.7372808456;5;26.7384395599;2;14.2569313049;12.797627449;4;28.0912694931;
13;2;23.1919994354;12.0336990356;5;27.5061686039;2;16.2569313049;13.3613300323;4;29.0578188896;
14;2;24.5673599243;12.2662630081;5;28.1940612793;2;17.2569313049;13.7992258072;4;29.8160610199;
15;2;25.7149085999;12.446267128;5;28.6547400951;2;18.2569313049;14.1306209564;4;30.4076659679;
16;2;26.8738555908;12.5;5;29.0328326225;2;19.2569313049;14.3763179779;4;30.7600411177;
17;2;28.0439949036;12.5;5;29.4347915649;2;20.2569313049;14.5;4;30.8698669672;
18;2;29.2248764038;12.5;6;29.8589887619;2;21.2569313049;14.5;5;30.9844923019;
19;2;30.4157657623;12.5;6;30.3031497002;2;22.2569313049;14.5;5;31.1038696766;
20;2;30.6364173889;12.5;6;30.7643566132;2;22.7000007629;14.5;5;31.2279164791;
21;2;30.8439598083;12.5;6;31.2390885353;2;22.7000007629;14.5;4;31.3565137386;
22;3;31.0575904846;12.5;6;31.7232985497;2;22.7000007629;14.5;4;31.4895033836;
23;3;29.0575904846;13.5;6;32.2125329971;2;22.7000007629;14.5;6;31.6266872883;
24;3;30.0575904846;12.5;6;32.7020812035;2;22.7000007629;14.5;6;31.7678275108;
25;3;29.0575904846;13.5;6;33.1871519089;2;22.7000007629;14.5;6;31.9126451015;
26;3;28.0575904846;13.5;6;33.6630582809;2;22.7000007629;14.5;6;32.0608217716;
27;3;27.0575904846;13.5;6;34.1254005432;2;22.7000007629;14.5;7;32.2120013237;
28;3;27.0575904846;14.5;6;34.570227623;2;22.7000007629;14.5;8;32.3657917976;
29;3;27.0575904846;15.5;6;34.9941673279;2;22.7000007629;14.5;8;32.5217695236;
30;3;26.7473754883;16.5;6;35.3945169449;2;20.7000007629;15.5;8;32.67948246;
31;3;25.927532196;17.5;7;35.7692890167;2;19.7000007629;16.5;9;32.8384552002;
32;3;25.0961799622;18.5;7;36.1172132492;2;18.7000007629;17.5;9;32.9981942177;
33;3;24.252746582;19.5;7;36.4376983643;2;18.7000007629;18.5;9;33.1581940651;
34;3;23.3969650269;20.5;8;36.7307662964;2;17.9474582672;19.5;9;32.9179444313;
35;3;22.5288448334;22.5;8;36.9969644547;2;16.9953842163;20.5;9;32.7169327736;
36;3;22.3986339569;24.5;8;37.2372674942;2;16.0430812836;21.5;9;32.5506587029;
37;3;21.3986339569;23.5;9;37.4529781342;2;15.3903980255;22.5;10;32.4150314331;
38;3;21.3986339569;25.5;9;38.6456279755;2;15.4371891022;23.5;10;32.3063406944;
39;3;21.3986339569;25.5;10;38.8668963909;2;15.4833135605;24.5;11;32.2212257385;
40;3;22.3986339569;26.5;12;39.0705084801;2;15.5286388397;25.5;11;32.1566495895;
41;3;22.3986339569;27.5;12;39.1559499502;2;15.5730381012;26.5;12;32.1098690033;
42;3;24.3986339569;29.5;12;39.2119446993;2;15.0;25.5;12;32.0784158707;
43;3;26.3986339569;31.5;13;39.269973278;2;15.0;25.5;13;32.0600771904;
44;3;27.3986339569;33.3889808655;13;39.3300433159;2;15.0;24.5;13;32.0528717041;
45;3;27.8500003815;34.4310302734;14;39.3921557665;2;16.0;24.5;14;32.0550327301;
46;3;27.8500003815;35.4745101929;15;39.4563041925;2;18.0;24.5;14;32.064991951;
