Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;2;6.0;14.5;3;21.0;1;9.0;10.0;4;20.0;
2;2;7.30000019073;13.0;3;21.0199999809;1;9.0;10.0;5;20.0;
3;2;8.30599975586;12.0;3;21.0401959419;1;9.0;10.0;5;20.0;
4;2;9.31205844879;11.0;3;21.0605818033;1;9.0;10.0;5;20.0;
5;2;10.3181743622;10.0;3;21.0811508894;1;10.0;10.0;5;20.0;
6;2;11.4865179062;10.0;3;21.1018965244;1;11.0;10.0;5;20.0;
7;2;12.4958534241;10.0;3;21.1228116751;1;11.0;10.0;5;20.3999996185;
8;2;13.5052652359;10.0;3;21.5551166534;2;11.4200000763;10.1999998093;4;21.7264003754;
9;2;14.5198030472;10.1999998093;3;21.9143791199;2;11.5179204941;10.3632001877;4;21.9903717041;
10;2;14.8614702225;10.3632001877;3;23.0526922941;2;11.597111702;10.4951858521;4;23.0619120598;
11;2;15.373711586;10.9097137451;3;24.0113222599;2;11.9185733795;11.0209560394;4;23.9545464516;
12;2;15.8050956726;11.3658018112;3;24.8018894196;2;13.9185733795;11.4571752548;4;24.6819883585;
13;2;18.3946151733;12.4009447098;5;25.4434741735;2;15.9185733795;11.8107032776;5;25.2644146681;
14;2;19.8187427521;12.721736908;6;25.9584701061;2;16.9369182587;12.0916318893;5;25.7245066166;
15;2;20.8187427521;12.9792346954;6;26.3694423437;2;17.9431419373;12.3113050461;5;26.0845712423;
16;2;21.8187427521;13.184720993;6;26.5289409161;2;18.9494171143;12.4808797836;5;26.1438889503;
17;2;22.8187427521;13.2644701004;6;26.582011342;2;19.955739975;12.5;5;26.1651208401;
