Turn;Planet_count_KI_1_SP_FULVER;Research_KI_1_SP_FULVER;Industry_KI_1_SP_FULVER;Ships_KI_1_SP_FULVER;Population_KI_1_SP_FULVER;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;4;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;10.0;4;20.0;1;8.0;10.6999998093;5;21.0;
4;1;8.0;10.0;4;20.0;1;8.14999961853;10.5;5;21.0;
5;1;8.0;10.0;4;20.0;1;8.14999961853;10.5;5;21.0;
6;1;9.0;10.0;4;20.0;1;9.14999961853;10.5;5;21.0;
7;1;9.5;10.0;4;20.0;1;9.72500038147;10.5;5;21.0;
8;1;9.5;10.0;4;20.3999996185;1;9.72500038147;10.5;5;21.4200000763;
9;1;9.59000015259;10.1999998093;4;20.7264003754;1;9.81949996948;10.7100000381;5;21.758436203;
10;1;9.66343975067;10.3632001877;4;20.9903717041;1;9.8956489563;10.8792181015;5;22.0;
11;1;9.72283363342;10.4951858521;4;22.0419120789;1;9.94999980927;11.0;4;23.5400009155;
12;1;9.95943069458;11.0209560394;4;22.9143505096;1;10.296500206;11.7700004578;5;24.8252849579;
13;1;11.7228336334;11.4571752548;4;23.6214065552;1;11.9499998093;12.4126424789;5;25.8616695404;
14;1;12.7228336334;11.8107032776;4;24.1832637787;1;12.9499998093;12.9308347702;5;26.6732940674;
15;1;13.7228336334;12.0916318893;5;24.6226100922;1;13.9499998093;13.3366470337;5;27.2939033508;
16;2;14.7228336334;12.3113050461;4;24.9617595673;1;14.9499998093;13.6469516754;5;27.759563446;
17;2;15.7228336334;12.4808797836;4;25.0;1;15.9499998093;13.879781723;5;28.0;
18;2;16.7228336334;12.5;4;25.0;1;16.9500007629;14.0;5;28.0;
19;2;17.625;12.5;5;25.0;2;18.9500007629;14.1999998093;4;29.0;
20;3;18.625;12.6999998093;4;26.0;2;20.2999992371;14.0;4;29.1599999666;
21;3;19.625;12.5;5;26.1299999952;2;20.5609989166;14.0;4;29.3437439203;
22;3;19.8792495728;12.5;4;26.2754310369;2;20.6023406982;14.0;4;29.5541238785;
23;3;19.625;12.5;4;26.4377241135;2;20.6496772766;14.0;5;29.7941719294;
24;3;19.9484882355;12.5;4;26.6183350086;2;20.7036876678;14.0;5;30.0669906139;
25;3;19.625;12.9855003357;5;26.8187118769;2;20.7650718689;14.0;5;30.375654459;
