Turn;Planet_count_KI_1_SP_FULVER;Research_KI_1_SP_FULVER;Industry_KI_1_SP_FULVER;Ships_KI_1_SP_FULVER;Population_KI_1_SP_FULVER;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
106;7;36.267539978;79.1138076782;16;91.4401721954;15;34.0499992371;96.5589904785;16;131.884639919;
107;7;37.267539978;80.4492034912;16;92.5920907259;15;35.0499992371;94.5073165894;16;131.723678291;
108;8;39.267539978;81.6034317017;15;93.6706911325;15;36.0499992371;93.0020599365;18;131.454517365;
109;8;37.3499984741;84.7663192749;15;94.6687320471;15;36.0499992371;95.90184021;18;131.218986064;
110;8;37.3499984741;87.937828064;16;95.5841169357;15;37.0499992371;98.8116607666;19;131.013321877;
111;8;37.3499984741;91.1177597046;18;96.4190362692;15;41.0499992371;104.811660767;19;133.595815241;
112;8;38.3499984741;91.3058242798;19;97.1788231134;15;45.0499992371;110.811660767;20;136.093043238;
113;8;37.3499984741;94.5015945435;19;97.8707460165;15;44.1499977112;116.811660767;21;138.453878641;
114;8;37.3499984741;97.7045059204;20;98.5029454231;15;44.1499977112;122.811660767;21;140.64188987;
115;9;38.3499984741;97.913848877;17;99.0835878849;15;44.1499977112;128.811660767;22;143.63738364;
116;9;39.3499984741;93.1287841797;19;99.5192168951;15;46.1499977112;129.958267212;23;145.456143677;
117;9;37.3499984741;96.3483581543;19;99.8732531071;15;48.1499977112;132.010894775;25;147.086123347;
118;9;38.3499984741;94.3883132935;19;100.231637597;15;50.1499977112;136.066070557;28;148.542715073;
119;9;38.3499984741;92.1136474609;17;100.592562437;15;52.1499977112;140.123886108;28;149.845005274;
