Turn;Planet_count_KI_1_SP_FULVER;Research_KI_1_SP_FULVER;Industry_KI_1_SP_FULVER;Ships_KI_1_SP_FULVER;Population_KI_1_SP_FULVER;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;10.0;5;20.0;1;8.0;10.6999998093;5;21.0;
4;1;8.0;10.0;5;20.0;1;8.14999961853;10.5;5;21.0;
5;2;8.0;10.1999998093;3;21.0;2;8.14999961853;10.6999998093;3;22.0;
6;2;9.22500038147;10.0;3;21.0900000334;2;9.375;10.5;3;22.0900000334;
7;2;9.74524974823;10.0;3;21.1871190071;2;9.9702501297;10.5;3;22.1871190071;
8;2;9.76710128784;10.0;3;21.7036092281;2;9.99210166931;10.5;3;22.7236096859;
9;2;9.88331222534;10.1999998093;3;22.1564130783;2;10.1128120422;10.7100000381;3;23.1884489059;
10;2;9.98519229889;10.3632001877;3;22.557236433;2;10.2174015045;10.8792181015;3;23.5668647289;
11;2;10.075378418;10.4951858521;3;23.8035871983;2;10.3025445938;11.0;3;25.3486820459;
12;2;10.3558073044;11.0209560394;4;24.8916251659;2;10.703453064;11.7700004578;4;26.9087285995;
13;2;12.1677207947;11.4571752548;4;25.8364036083;2;12.4187746048;12.4126424789;4;28.2558913231;
14;2;14.1677207947;11.8107032776;4;26.6592981815;2;14.4187746048;12.9308347702;4;29.4172105789;
15;2;16.1677207947;12.0916318893;4;27.3839819431;2;16.4187736511;13.3366470337;4;30.428994894;
16;2;17.3441429138;12.3113050461;4;28.0334718227;2;17.6553955078;13.6469516754;4;31.3293325901;
17;2;18.4139690399;12.4808797836;4;28.407397747;2;18.7531986237;13.879781723;4;32.049197197;
18;2;19.4894981384;12.5;4;28.7683298588;2;19.8610706329;14.0;4;32.573600769;
19;2;20.4728736877;12.5;5;29.1538929939;2;20.9790611267;14.0;4;33.1419348717;
20;2;20.5596256256;12.5;5;29.562889576;2;21.4569339752;14.0;4;33.7516689301;
21;2;20.6516494751;12.5;5;29.9934945107;2;21.5941238403;14.0;4;34.3986358643;
22;2;20.7485351562;12.5;5;30.4432339668;2;21.739692688;14.0;4;35.0769786835;
23;2;20.8497276306;12.5;5;30.9089989662;2;21.8923187256;14.0;5;35.7792286873;
24;2;20.9545249939;12.5;6;31.3870959282;2;22.0503253937;14.0;5;36.4965333939;
25;3;21.0620956421;12.5;5;31.8733391762;2;22.2117195129;14.0;5;37.2190332413;
26;3;19.625;13.5;5;32.36317873;2;22.3742828369;14.0;5;37.9363632202;
27;3;19.625;14.5;5;32.8518595695;2;22.5356807709;14.0;5;38.6382322311;
28;3;19.625;14.8555583954;5;33.3346033096;2;22.6936016083;14.0;5;39.3150119781;
29;3;19.625;15.8555583954;5;33.8067913055;2;22.8458766937;14.0;5;39.9582691193;
30;3;19.625;16.8555583954;5;34.2641468048;2;20.9906101227;15.0;6;40.5611724854;
31;3;20.625;14.8555583954;5;34.7028827667;3;21.1262626648;16.5;5;42.1187410355;
32;3;19.625;15.8555583954;6;35.1198272705;3;21.2517166138;17.0;5;42.7879134417;
33;3;20.625;13.8555583954;6;35.5124940872;3;20.6272792816;18.0;5;43.4312025309;
34;3;19.625;14.8555583954;6;35.8791179657;4;19.7720184326;19.0;4;44.0518856049;
35;3;20.625;12.8555583954;6;36.2186422348;4;19.6116752625;20.0;4;44.654701829;
36;3;21.625;12.5;6;36.530673027;4;19.7473087311;21.0;4;45.2454574108;
37;3;19.625;13.5;6;36.8154029846;4;19.8802280426;22.0;4;45.8306019306;
38;4;19.625;14.5;5;37.0735216141;4;20.0118865967;23.0;5;46.4168126583;
39;4;19.625;15.5;5;37.3061151505;4;20.143781662;24.0;5;47.0105862617;
40;4;20.625;13.5;5;37.5145664215;4;20.277381897;25.0;7;47.544028759;
41;4;21.625;12.5;6;37.7004623413;4;20.3974075317;26.0;7;48.0209121704;
42;4;19.625;13.5;7;37.8655099869;4;20.5047054291;27.0;7;48.5427899361;
43;4;19.625;14.5;7;38.0;4;21.622127533;25.0;9;49.1086950302;
44;4;20.625;12.5;7;38.0;4;19.6000003815;27.0;9;49.7161855698;
45;4;21.625;12.5;7;38.0;4;21.6000003815;27.0;10;50.3611893654;
46;4;22.5499992371;14.5;7;38.0;4;23.0312690735;28.0;10;51.0379443169;
47;4;22.5499992371;16.5;7;38.0;4;22.6000003815;29.0;12;51.7390680313;
48;4;22.5499992371;18.5;7;39.0;4;24.6000003815;30.0;13;52.4557781219;
49;4;23.5499992371;21.5;9;39.0900000334;4;26.5025501251;30.0;13;53.1782588959;
50;4;24.5499992371;24.5;9;39.1871190071;4;27.6651077271;29.0;14;53.8961582184;
51;4;24.8171024323;25.5;9;39.2917383909;4;28.1266365051;29.0;15;54.5991659164;
52;4;24.5499992371;26.5;10;39.4042263031;4;28.2848129272;29.0;15;55.2776012421;
53;4;24.5499992371;27.5;11;39.5249304771;4;26.4374599457;30.0;15;55.9229507446;
54;4;24.5499992371;28.2624664307;11;39.6541694403;4;25.5826644897;31.0;15;56.5282850266;
55;4;24.9221878052;27.5;12;39.7922235727;4;24.5826644897;30.0;16;57.088514328;
56;4;24.5499992371;28.396112442;13;39.9393253326;4;23.5826644897;30.0;16;57.6004695892;
57;5;24.5499992371;28.4696617126;12;40.0956480503;4;23.5826644897;31.0;16;59.0628213882;
58;5;25.0215206146;27.5;12;40.261295557;4;26.0641345978;30.0;16;59.4958720207;
59;5;24.5499992371;28.5;13;40.4362905025;4;25.1570701599;32.0;18;59.8814578056;
60;5;24.5499992371;28.7181453705;12;40.6205644608;5;25.1733283997;34.0;17;60.2222276926;
61;5;25.1396274567;27.5;12;40.8139474392;5;25.0113716125;36.0;18;60.5215214491;
62;5;24.5499992371;28.5;12;41.016159296;5;25.0740833282;38.0;18;60.7830793858;
63;6;25.228635788;27.5;8;46.2268030643;5;25.3761940002;39.0;19;61.0108007193;
64;6;25.5499992371;29.5;9;46.5953609943;6;25.4274291992;40.0;18;61.1438889503;
65;6;26.5499992371;31.2226810455;9;47.967966795;6;25.4573764801;41.0;18;61.1651208401;
66;6;29.3760185242;31.5;9;48.3934931755;6;25.2000007629;42.5825614929;18;61.1864993572;
67;6;31.0602836609;33.5;9;48.8227109909;6;25.2000007629;43.5932502747;20;61.2080165148;
68;6;31.1556072235;35.5;11;49.2543762922;6;25.2000007629;44.6040077209;20;62.2296639681;
69;7;31.2507171631;36.5;10;49.6871906519;6;26.2000007629;46.6148300171;19;64.1114323139;
70;7;30.3034687042;38.5;10;50.1198163033;6;24.2000007629;47.6257171631;20;65.6498154402;
71;7;31.3412590027;38.3889808655;11;52.002387166;6;25.6000003815;45.6366577148;21;66.9018534422;
72;7;31.8553218842;38.9399185181;11;53.6255245209;6;25.8914432526;46.0;21;67.6806932688;
73;7;28.9007263184;41.3830947876;11;55.0235390663;6;28.6000003815;45.6586914062;22;68.2831988335;
74;7;28.0678634644;43.7357788086;12;56.2327965498;6;28.0;45.6697769165;22;68.7675035;
75;7;29.18708992;43.015953064;13;57.1392840147;6;30.3064041138;43.0;22;68.8684520721;
76;7;30.6940917969;41.1661643982;13;58.828137517;6;32.0614242554;42.0;22;68.9726893902;
77;7;32.7892456055;41.2283706665;13;59.5012583733;6;27.75;44.7032318115;22;69.0802069902;
78;7;31.8815517426;43.2928009033;14;60.0295145512;6;26.75;46.7144393921;22;69.1909805536;
79;7;31.9706802368;45.3594207764;18;60.5016862154;6;25.75;48.7256622314;23;69.3049685955;
80;7;32.0563468933;47.4281768799;18;60.9621280432;6;27.0816059113;47.0;23;69.4221116304;
81;7;32.1383209229;49.4990119934;18;61.3783760071;6;27.75;48.0;24;69.5423309803;
82;7;32.2069702148;50.5718421936;18;61.7444936037;6;28.75;49.0;24;69.6655278206;
83;7;32.2606201172;51.6465759277;19;62.10070014;6;29.75;50.0;24;69.7915834188;
84;7;32.3114280701;52.7231063843;20;62.4464344978;6;29.75;52.0;25;69.9203578234;
85;8;30.3999996185;54.8013076782;19;62.7813110352;6;29.75;54.0;25;70.0516906977;
86;8;31.3999996185;54.8810462952;19;63.1051040888;6;29.75;55.8043289185;26;70.1854007244;
87;8;32.4000015259;55.9621696472;20;63.4177271128;6;29.75;56.8155212402;26;70.3212865591;
