Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
72;6;37.281791687;53.8922767639;25;85.5417470932;3;22.5499992371;22.5;28;38.0;
73;6;34.9451217651;56.0;24;86.7270731926;3;22.5499992371;22.5;28;38.0;
74;6;32.9451217651;58.0;25;87.6988372803;3;22.5499992371;22.5;28;38.0;
75;7;32.9451217651;59.0;15;88.694357872;3;22.5499992371;22.5;28;38.0;
76;8;33.9451217651;62.0;15;89.7133817673;3;22.5499992371;22.5;28;38.0;
77;8;32.9451217651;63.0;16;90.7434301376;3;22.5499992371;22.5;28;38.0;
78;8;32.9451217651;65.0;16;91.7701387405;3;22.5499992371;22.5;29;38.0;
79;8;32.9451217651;67.0;19;92.7481012344;3;22.5499992371;22.5;29;39.3900003433;
80;8;30.6000003815;71.0;19;93.6200428009;3;20.7750015259;24.0;29;40.5194797516;
81;8;29.6000003815;75.0;20;95.4538965225;3;21.9505004883;23.3899993896;29;41.424580574;
82;8;30.6000003815;80.0;20;97.2896025181;3;20.1592674255;24.6872596741;29;42.1435155869;
83;8;32.5999984741;86.0;21;98.164776206;3;21.2593841553;23.9097423553;29;42.5640974045;
84;8;33.9321594238;92.0;20;98.984130621;3;22.2999992371;24.0;29;42.773223877;
85;8;36.3102760315;91.0999984741;22;99.745267868;3;23.2999992371;24.0;29;42.9544582367;
86;8;33.9670066833;96.0999984741;22;100.448754907;3;23.6647529602;24.0;30;43.0;
87;8;33.9854545593;100.099998474;23;101.097571492;3;23.6749992371;24.0;30;43.0;
88;9;36.5999984741;96.0999984741;22;101.696450949;3;23.6749992371;24.0;30;43.0;
89;9;33.5999984741;101.099998474;23;102.251235604;3;23.6749992371;24.0;30;43.0;
90;9;33.5999984741;106.099998474;25;102.768292665;3;23.6749992371;24.0;30;43.0;
91;9;36.5999984741;102.099998474;26;103.254052877;3;23.6749992371;24.0;30;43.0;
92;9;33.5999984741;107.099998474;26;103.612981081;3;23.6749992371;24.0;31;43.0;
93;9;33.5999984741;111.951011658;27;103.891439438;3;23.6749992371;24.0;31;43.0;
94;9;36.5999984741;106.295715332;27;104.183555007;3;23.6749992371;24.0;31;43.0;
95;9;33.5999984741;109.44178009;28;104.489042521;3;23.6749992371;24.0;31;43.0;
96;9;33.5999984741;112.594520569;28;104.80744791;3;23.6749992371;24.0;31;43.0;
97;9;36.5999984741;106.753723145;29;105.138137579;3;23.6749992371;24.0;28;43.0;
98;9;35.5999984741;111.046699524;30;105.48029232;3;21.6749992371;25.0;29;43.0;
99;9;36.5999984741;113.286201477;31;105.832905769;3;20.6749992371;26.0;29;43.0;
100;9;37.5999984741;115.533027649;31;106.194788933;3;19.6749992371;27.0;29;43.0;
