Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;4;23.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.1000003815;4;23.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.5;4;23.0;1;8.0;11.0;5;20.0;
5;1;9.60000038147;11.5;4;23.0;1;8.0;10.0;5;20.0;
6;1;10.6000003815;11.5;4;23.0;1;9.0;10.0;5;20.0;
7;1;11.6000003815;11.5;3;23.0;1;9.5;10.0;5;20.0;
8;1;11.8999996185;11.5;3;23.4599990845;1;9.5;10.0;5;20.3999996185;
9;1;12.0380001068;11.7299995422;3;23.8212833405;2;9.59000015259;10.5;4;21.7264003754;
10;1;12.1463851929;11.9106416702;3;24.0;2;9.88844013214;10.3632001877;4;22.030371666;
11;1;12.2000007629;12.0;3;25.2000007629;2;9.95683383942;10.4951858521;4;23.1334960461;
12;1;14.1463851929;12.6000003815;3;26.1576004028;2;10.205037117;11.0209560394;4;24.0595139265;
13;1;15.1463851929;13.0788002014;3;26.9011039734;2;11.9804954529;11.4571752548;4;24.8221657276;
14;1;16.1463851929;13.4505519867;4;27.4657306671;2;13.9804954529;12.1709308624;4;25.4416502714;
15;2;17.1463851929;13.7328653336;3;27.88712883;2;15.7228336334;12.4691476822;4;25.9406644106;
16;2;18.1463851929;13.943564415;3;28.0;2;16.7228336334;12.7067213058;4;26.3415244818;
17;2;19.1463851929;14.0;4;28.0;2;18.0332813263;12.4808797836;4;26.4435132742;
18;2;20.1463851929;14.0;4;28.0;2;18.7228336334;12.9330539703;4;26.5092867613;
19;2;20.3999996185;14.0;4;28.0;2;19.9645900726;12.5;3;26.5770645142;
20;2;20.3999996185;14.0;4;28.0;2;19.979839325;12.5;4;26.6468170881;
21;2;20.3999996185;14.0;5;28.0;2;19.9955329895;12.5;5;26.7185060978;
22;3;20.3999996185;14.0;4;28.0;2;20.0116634369;12.5;5;26.7920838594;
23;3;20.3999996185;14.0;4;28.0;2;19.625;13.2168331146;5;26.8674932718;
24;3;20.3999996185;14.0;5;28.0;2;20.0451850891;12.5;5;26.9446675777;
25;3;20.3999996185;14.0;5;28.0;2;19.625;13.2778673172;7;27.0235302448;
26;3;20.3999996185;14.0;6;28.0;2;20.0802936554;12.5;7;27.1039953232;
27;3;20.3999996185;14.0;5;28.0;2;19.625;13.3415985107;7;27.1859669685;
28;3;18.3999996185;15.0;5;28.0;3;19.625;13.3743867874;5;27.2693405151;
29;3;17.3999996185;16.0;5;28.0;3;18.1356010437;13.5;5;27.3540019989;
30;3;16.3999996185;17.0;5;28.0;3;17.1546497345;14.5;6;27.4398288727;
31;3;15.3999996185;18.0;3;28.0;3;16.1739616394;15.5;6;27.5266909599;
32;3;14.3999996185;19.0;3;28.0;4;15.1935052872;16.5;3;56.3644506931;
33;3;13.3999996185;20.0;4;28.0;4;15.0;18.5;3;58.4654650688;
34;3;14.3999996185;18.0;3;28.0;4;16.608165741;18.5;3;60.0888617039;
35;3;15.3999996185;17.0;4;28.0;4;17.0;20.5;3;61.2937095165;
36;3;16.3999996185;16.0;4;28.0;4;18.0;22.5;4;62.1647241116;
37;3;17.3999996185;15.0;4;28.0;4;19.0;23.5800571442;4;62.78703022;
38;3;18.3999996185;14.0;4;28.0;4;20.0;24.6430511475;5;62.901463747;
39;3;19.3999996185;14.0;5;28.0;4;21.0;25.7060241699;5;62.9912343025;
40;3;20.3999996185;14.0;6;28.0;4;22.0;26.768863678;5;63.0806524754;
41;3;20.3999996185;14.0;7;28.0;4;23.0;27.8314571381;5;63.1695592403;
42;3;20.3999996185;14.0;8;28.0;4;24.0;28.8936920166;6;63.2577989101;
43;3;20.3999996185;14.0;8;28.0;4;25.0;29.9554595947;6;63.3452203274;
44;3;20.3999996185;14.0;8;28.0;4;26.0;31.0166549683;9;63.4316773415;
45;3;20.3999996185;14.0;7;28.0;4;26.4249992371;32.0771751404;9;63.5170304775;
46;4;20.3999996185;15.0;6;28.0;4;27.4249992371;32.0771713257;10;63.6011471748;
47;4;20.3999996185;16.0;7;28.0;4;28.4249992371;33.0771751404;10;63.6839027405;
48;4;20.3999996185;17.0;7;28.0;4;29.4249992371;34.0771751404;10;63.7651810646;
49;4;20.3999996185;18.0;7;28.0;4;30.4249992371;35.0771751404;10;63.8448753357;
50;4;20.3999996185;19.0;9;28.0;4;31.4249992371;36.0771751404;10;63.9228878021;
51;4;20.3999996185;19.0;9;28.0;5;32.988899231;33.0771751404;7;73.9991312027;
52;4;20.3999996185;19.0;8;28.0;5;34.0060539246;32.5;7;74.4735274315;
53;4;20.3999996185;19.0;10;28.0;5;35.0227928162;32.5;7;74.9204101562;
54;4;20.3999996185;19.0;10;28.0;5;35.0499992371;33.5;10;75.3384604454;
55;4;20.3999996185;19.0;10;28.0;5;37.0499992371;32.5;10;75.7270498276;
56;4;20.3999996185;19.0;11;28.0;5;34.0499992371;33.5;10;76.0861706734;
57;4;20.3999996185;19.0;11;28.0;5;35.0499992371;34.5;10;76.4163484573;
58;4;20.3999996185;19.0;12;28.0;5;35.0499992371;33.5;10;76.71854496;
59;4;20.3999996185;19.0;12;28.0;5;34.0499992371;35.5;10;76.9940562248;
60;4;20.3999996185;19.0;13;28.0;5;33.0499992371;35.5;11;77.24441576;
61;4;20.3999996185;19.0;12;28.0;5;34.0499992371;33.5;10;76.971309185;
62;4;20.3999996185;19.0;12;28.0;5;31.8999996185;34.5;10;77.6764998436;
63;4;20.3999996185;19.0;13;28.0;5;32.0499992371;35.5;11;77.75;
64;4;20.3999996185;19.0;14;28.0;5;31.0499992371;36.5;11;77.75;
65;4;20.3999996185;19.0;14;28.0;5;31.0499992371;38.0;11;77.75;
66;4;18.3999996185;20.0;14;28.0;5;32.3499984741;37.0;10;81.1818752289;
67;4;19.3999996185;19.0;14;28.0;5;31.0015621185;37.0;12;83.6983222961;
68;4;20.3999996185;19.0;15;28.0;5;31.5282783508;38.8899993896;12;85.4849653244;
69;4;20.3999996185;19.0;15;28.0;5;32.8248329163;40.1872596741;13;86.6926231384;
70;4;20.3999996185;19.0;15;28.0;5;33.0;37.1872596741;13;87.0;
71;4;20.3999996185;19.0;15;28.0;5;35.125;34.5;14;87.0;
72;4;18.3999996185;20.0;16;28.0;5;30.0;37.5;14;87.0;
73;4;17.3999996185;21.0;16;28.0;5;30.0;40.5;14;87.0;
74;4;16.3999996185;22.0;16;28.0;5;30.0;43.5;15;87.0;
75;4;16.3999996185;24.0;15;29.0;5;30.0;45.5;14;87.0;
76;4;18.3999996185;23.0;14;30.3249996305;5;30.0;47.5;13;87.0;
77;4;19.3999996185;23.0;15;31.3158988357;5;30.0;49.5;14;87.0;
78;4;20.6572494507;24.2291984558;15;32.0292806029;5;30.0;51.5;14;87.0;
79;4;21.6390247345;25.6162643433;15;32.5266304612;5;30.0;53.5;15;87.0;
80;4;22.3999996185;26.2633132935;16;32.6928675175;5;30.0;55.5;15;87.0;
81;5;23.6078605652;26.0;15;32.6485807896;5;30.0;57.5;14;87.0;
82;5;23.7945747375;26.0;15;32.6087226868;5;30.0;59.5;14;87.0;
83;5;23.6000003815;26.3043613434;15;32.5728504062;5;30.0;61.5;14;87.0;
84;5;23.771856308;26.0;16;32.5405653715;5;30.0;63.5;11;87.0;
