Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
150;8;31.6000003815;101.053337097;35;60.0891757011;7;35.5;100.517974854;29;91.6288609505;
151;8;31.6777114868;100.724693298;36;61.0358662605;7;33.5;103.517974854;31;91.8955099583;
152;8;31.7519760132;100.36807251;37;61.9421019554;7;34.5;103.517974854;31;92.1301763058;
153;8;31.8235664368;99.9814605713;37;62.8054442406;7;35.5;100.517974854;30;92.3765156269;
154;8;31.8922309875;99.5633926392;36;63.6242074966;7;33.5;103.517974854;30;92.633923769;
155;8;31.9577713013;99.1130065918;37;64.3974103928;7;34.5;103.517974854;31;92.9016013145;
156;8;32.02003479;98.6299209595;37;65.1247167587;8;35.5;100.517974854;31;93.1785526276;
157;8;32.078918457;98.1142349243;32;65.8063564301;8;33.5;103.517974854;28;93.4635906219;
158;8;32.1343727112;97.5664215088;28;66.4430465698;8;34.5;103.517974854;27;93.7553491592;
159;8;32.186378479;96.9872741699;25;67.0359115601;8;35.5;100.517974854;27;94.0523042679;
160;8;30.186378479;98.3778305054;25;67.586400032;8;33.5;103.517974854;26;94.3527998924;
161;9;29.6000003815;99.7393722534;26;68.0557441711;7;34.5;103.517974854;27;94.6550831795;
162;9;29.6000003815;101.032775879;28;68.4112348557;7;35.5;100.517974854;28;94.9573426247;
163;9;29.6000003815;102.224960327;28;68.7428817749;7;33.5;103.517974854;29;95.257750988;
164;9;29.6000003815;103.405418396;29;69.0515451431;7;34.5;103.517974854;28;95.5545091629;
165;9;29.6000003815;104.574485779;29;69.305056572;7;35.5;100.517974854;24;95.8458890915;
166;9;29.6000003815;105.732528687;29;70.478512764;7;33.5;103.517974854;23;96.1302747726;
167;9;30.6000003815;107.879974365;31;70.5199999809;7;35.5;98.5179748535;24;96.4061965942;
168;9;31.6000003815;109.898239136;32;70.5401959419;7;36.5;96.5179748535;25;96.6723608971;
169;9;31.6000003815;111.898239136;34;70.5605818033;7;36.5;97.5179748535;25;96.9276695251;
170;9;31.6000003815;113.898239136;34;70.5811508894;7;35.5;97.5179748535;25;97.1712341309;
171;9;31.6000003815;115.898239136;35;70.6018965244;7;34.5;97.5179748535;27;97.4023790359;
172;9;31.6000003815;116.898239136;37;70.6228116751;7;34.5;97.5179748535;27;97.6206407547;
173;11;31.6000003815;117.898239136;35;70.6438889503;7;35.5;97.5179748535;28;97.8257570267;
