Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;9.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;9.0;10.0;5;20.0;2;8.0;10.8999996185;4;22.0;
4;1;9.0;10.0;4;20.0;2;8.29999923706;10.5;3;22.0900000334;
5;1;10.0;10.0;4;20.0;2;8.31349945068;10.5;3;22.1871190071;
6;1;11.0;10.0;4;20.0;2;9.41710090637;10.5;3;22.2917383909;
7;1;11.0;10.0;4;20.3999996185;2;10.0156412125;10.5;3;22.4042263031;
8;1;11.1199998856;10.1999998093;4;20.7264003754;2;10.0409517288;10.5;3;22.9589728117;
9;2;11.5179204941;10.3632001877;3;21.9903717041;2;10.1657686234;10.7100000381;3;23.4430115223;
10;2;11.597111702;10.4951858521;3;23.0619120598;2;10.2746782303;10.8792181015;3;23.8415006399;
11;2;11.9185733795;11.0209560394;2;23.9545464516;2;10.3643379211;11.0;3;25.6606454849;
12;2;13.9185733795;11.4571752548;2;24.6819883585;2;10.773645401;11.7700004578;4;27.2614676952;
13;2;15.9185733795;11.8107032776;3;25.2644146681;2;12.4981412888;12.4126424789;4;28.6526534557;
14;2;16.9369182587;12.0916318893;3;25.7245066166;2;14.4981412888;12.9308347702;4;29.8608493805;
15;2;17.9431419373;12.3113050461;3;26.0845712423;2;16.4981403351;13.3366470337;4;30.9217379093;
16;2;18.9494171143;12.4808797836;3;26.1438889503;2;17.7662620544;13.6469516754;4;31.8725180626;
17;2;19.955739975;12.5;3;26.1651208401;2;18.8754138947;13.879781723;4;32.6429929733;
18;2;20.9621105194;12.5;3;26.1864993572;2;19.9946746826;14.0;4;33.2167277336;
19;2;21.8559494019;12.5;4;26.2080165148;2;21.1237640381;14.0;4;33.8314290047;
20;2;21.8624038696;12.5;5;26.2296639681;2;21.6120700836;14.0;4;34.4827160835;
21;2;21.8688983917;12.5;5;26.2514331341;2;21.7586097717;14.0;4;35.1645216942;
22;2;21.8754291534;12.5;5;26.2733153105;2;21.9120159149;14.0;4;35.8691868782;
23;2;21.8819942474;12.5;5;26.2953014374;2;22.0705661774;14.0;5;36.5877075195;
24;2;21.888589859;12.5;6;26.3173824549;2;22.2322330475;14.0;5;37.3101301193;
25;2;21.8952140808;12.5;6;26.3395489454;2;22.3947792053;14.0;5;38.0260667801;
26;2;21.5;12.9018650055;6;26.3617914915;3;23.5558643341;14.3000001907;4;39.7252779007;
27;3;19.908536911;13.5;5;26.3841004372;3;24.713186264;14.3000001907;5;40.5582591295;
28;3;18.9152297974;14.5;7;26.4064661264;3;24.8646087646;14.5799999237;5;41.3805042505;
29;3;17.9219398499;15.5;8;26.428878665;3;25.3106117249;14.0;5;42.1882972717;
30;3;16.9286632538;16.5;8;26.4513280392;3;23.4923667908;15.0;5;42.9799314737;
31;3;15.9353981018;17.5;9;26.4738043547;3;22.6704845428;16.0;5;43.7556865215;
32;3;14.9421415329;18.5;10;26.4962974787;3;21.8450279236;17.0;5;44.5176250935;
33;3;14.4488887787;19.5;10;26.5187973976;3;21.0164661407;18.0;5;45.2692306042;
34;3;14.4556388855;20.5;10;26.5412938595;3;20.1855754852;19.0;5;46.014942646;
35;3;14.4623880386;21.5;10;26.5637768507;3;20.0533618927;20.0;6;46.759624958;
36;3;14.4691333771;22.5;11;26.5862361193;3;20.220916748;21.0;6;47.5080156326;
37;3;14.4758710861;23.5;12;26.6086617708;3;20.3893032074;22.0;6;48.2641968727;
38;3;14.4825983047;24.5;12;26.6310436726;3;20.5594425201;23.0;6;49.0311145782;
39;3;15.4893131256;22.5;12;26.6533719301;3;20.732000351;24.0;6;49.7161855698;
40;3;14.496011734;23.5;13;26.6756366491;3;20.8861427307;25.0;7;50.3611893654;
41;3;14.5026912689;24.5;14;26.6978281736;3;21.0312690735;26.0;7;51.0379443169;
42;3;15.5093479156;22.5;14;26.7199368477;3;21.1835384369;27.0;8;51.7390680313;
43;3;14.5159816742;23.5;16;26.7419531345;3;22.3412914276;27.0;9;52.4557781219;
44;3;14.5225858688;24.5;16;26.7638677359;3;23.5025501251;28.0;9;53.1782588959;
45;3;15.5291604996;22.5;16;26.7856714725;3;24.6651077271;29.0;10;53.8961582184;
46;3;14.5357017517;23.5;17;26.8073554039;3;25.8266372681;30.0;10;54.5991659164;
47;3;14.5422067642;24.5;17;26.8289107084;3;26.9848136902;31.0;10;55.2776012421;
48;3;15.0;23.5;18;26.8503289223;3;28.1374607086;30.0;11;55.9229507446;
49;3;16.5550994873;23.5;18;26.8716015816;3;28.5826644897;29.0;12;56.5282850266;
50;3;17.5614814758;23.5;19;26.8927206993;3;28.7188644409;29.0;13;57.088514328;
51;3;18.0;23.5;19;26.9136784077;3;28.84491539;29.0;14;57.6004695892;
52;3;19.5741043091;23.5;19;26.9344670773;4;28.960105896;29.0;13;58.0628213882;
53;3;20.0;23.4672336578;20;26.9550794363;4;29.0641345978;29.0;14;58.4758720398;
54;3;21.586523056;22.5;21;26.9755084515;4;29.1570701599;29.0;14;58.8412618637;
55;3;21.5;23.4877548218;22;26.9957473278;4;29.2392845154;29.0;14;59.1616458893;
56;3;21.5;23.4978733063;22;27.0;4;29.3113708496;29.0;15;59.4403705597;
57;3;21.5;23.5;23;27.0;4;29.3740825653;29.0;15;59.6811828613;
58;3;21.5;23.5;24;27.0;4;29.4282646179;29.0;15;59.8879890442;
59;3;21.5;23.5;24;27.0;4;29.4747962952;29.0;16;60.0;
60;3;21.5;23.5;24;27.0;4;29.5;29.0;16;60.0;
61;3;21.5;23.5;24;27.0;4;29.5;29.0;17;60.0;
62;3;21.5;23.5;24;27.0;5;29.5;29.0;16;60.0;
63;3;21.5;23.5;25;27.0;5;29.5;29.0;17;60.0;
64;3;21.5;23.5;25;27.0;5;29.5;29.0;17;60.0;
65;3;21.5;23.5;25;27.0;5;29.5;29.0;18;60.0;
66;3;21.5;23.5;26;27.0;5;29.5;29.0;18;61.7999992371;
67;3;21.5;23.5;26;27.0;5;29.9050006866;29.4200000763;19;63.2535362244;
68;3;21.5;23.5;27;27.0;5;30.23204422;29.7314720154;19;64.417591095;
69;3;21.5;23.5;28;27.0;5;30.4939575195;29.9579029083;20;65.1052589417;
70;3;21.5;23.5;29;27.0;5;30.6486816406;30.0;20;65.6133613586;
71;3;21.5;23.5;29;27.0;5;30.7630081177;30.0;21;66.0;
72;3;21.5;23.5;30;27.0;5;28.8499984741;31.0;21;66.0;
73;4;21.5;23.5;27;43.0;5;27.8499984741;32.0;22;66.0;
74;4;23.1000003815;23.5;26;43.6399993896;5;26.8499984741;33.0;23;66.0;
75;4;24.1000003815;24.5;27;44.1991043091;5;25.8499984741;32.0;23;66.0;
76;5;25.1000003815;25.5;23;64.8528251648;5;25.8499984741;32.0;23;66.0;
77;5;27.1000003815;27.5;25;68.2146835327;5;23.8499984741;34.0;23;66.0;
78;5;29.3999996185;30.0;25;71.0403633118;5;23.7999992371;36.0;25;66.0;
79;5;31.6340007782;31.3899993896;25;73.3491325378;5;22.7999992371;38.0;25;66.0;
80;5;33.8123550415;32.6872596741;26;75.1891746521;6;22.75;40.0;24;66.0;
81;5;35.9458465576;33.9097442627;28;76.4773578644;6;22.75;42.0;24;66.0;
82;5;38.0;34.0;28;77.2287311554;6;22.75;44.0;25;66.0;
83;5;40.0;34.0;28;77.711025238;6;22.75;46.0;25;66.0;
84;5;42.0;34.0;28;78.0;6;22.75;48.0;25;66.0;
85;5;39.6999969482;36.0;29;78.0;6;22.75;50.0;26;66.0;
86;5;38.6999969482;37.0;28;78.0;6;22.75;52.0;26;66.0;
87;5;37.6999969482;38.0;28;78.0;6;22.75;54.0;26;66.0;
88;5;36.6999969482;39.0;29;78.0;6;22.75;56.0;26;66.0;
89;5;35.6999969482;40.0;29;78.0;6;22.75;58.0;27;66.0;
90;5;34.6999969482;41.0;27;78.0;6;22.75;60.0;27;66.0;
91;5;33.6999969482;42.0;25;78.0;6;22.75;62.0;27;66.0;
92;5;32.6999969482;43.0;25;78.0;6;22.75;64.0;27;66.0;
93;5;32.6999969482;44.0;24;78.0;6;23.75;63.0;28;66.0;
94;5;32.6999969482;45.0;24;78.0;6;22.75;65.0;29;66.0;
95;5;32.6999969482;46.0;23;78.0;6;23.75;64.0;29;66.0;
96;5;32.6999969482;47.0;23;78.0;6;23.75;63.0;29;66.0;
97;5;32.6999969482;48.0;24;78.0;6;22.75;65.0;30;66.0;
98;5;30.6999988556;50.0;23;77.5;6;23.75;64.0;33;66.0;
99;5;29.5874996185;52.0;22;77.9125003815;6;23.75;63.0;33;66.0;
100;5;28.6803131104;54.0;22;78.0;6;22.75;65.0;31;66.0;
101;5;27.6999988556;56.0;17;78.0;6;23.75;64.0;31;66.0;
102;5;27.6999988556;55.0;16;78.0;6;23.75;63.0;27;66.0;
103;5;25.6999988556;57.0;20;78.0;6;22.75;65.0;21;66.0;
104;5;24.6999988556;59.0;19;78.0;6;23.75;64.0;16;66.0;
105;5;25.2999992371;58.0;19;78.0;6;23.75;63.0;17;66.0;
106;5;24.2999992371;60.0;17;78.0;6;22.75;65.0;17;66.0;
107;5;24.2999992371;62.0;15;78.0;6;22.75;67.0;18;66.0;
108;5;25.2999992371;61.0;16;78.0;6;22.75;69.0;18;66.0;
109;5;24.2999992371;63.4000015259;15;78.0;6;22.75;71.0;18;66.0;
110;5;24.2999992371;65.4000015259;15;78.0;6;22.75;73.0;19;66.0;
111;5;24.2999992371;67.4000015259;20;78.0;7;23.75;72.0;19;66.0;
112;5;24.2999992371;69.4000015259;18;78.0;7;23.75;71.0;20;66.0;
113;5;24.2999992371;71.4000015259;19;78.0;7;22.75;73.0;20;66.0;
114;5;24.2999992371;73.4000015259;19;78.0;7;23.75;72.0;19;66.0;
115;5;24.2999992371;75.4000015259;21;78.0;7;23.75;71.0;19;66.0;
116;5;24.2999992371;77.4000015259;21;78.0;7;22.75;73.0;19;66.0;
117;5;25.2999992371;76.4000015259;19;78.0;7;23.75;72.0;18;66.0;
118;5;24.2999992371;78.4000015259;20;78.0;7;23.75;71.0;19;66.0;
119;6;25.2999992371;77.4000015259;20;78.0;7;22.75;73.0;19;66.0;
120;6;25.2999992371;76.4000015259;20;78.0;7;23.75;72.0;19;66.0;
121;6;24.2999992371;78.4000015259;20;78.0;7;23.75;71.0;20;66.0;
122;6;25.2999992371;77.4000015259;21;78.0;7;22.75;73.0;22;66.0;
123;6;25.2999992371;76.4000015259;20;78.0;7;23.75;72.0;23;66.0;
124;6;24.2999992371;78.4000015259;20;78.0;7;23.75;71.0;23;66.0;
125;6;25.2999992371;77.4000015259;21;78.0;7;22.75;73.0;23;66.0;
126;6;25.2999992371;76.4000015259;22;78.0599999428;7;23.75;72.0;23;66.0;
127;6;24.2999992371;78.4420013428;24;78.1205639839;7;23.75;71.0;22;67.0;
128;6;25.2999992371;77.4843978882;25;78.1816241741;7;23.75;74.0;22;68.0599999428;
129;6;25.2999992371;76.5271377563;25;78.2431106567;7;27.75;72.0;23;68.1829638481;
130;6;24.2999992371;78.5701751709;25;79.3049507141;7;28.75;74.0;21;68.3119248152;
131;6;26.2999992371;78.6134643555;25;80.4270701408;7;29.75;76.0;19;68.4470127821;
132;6;28.2999992371;79.6569519043;26;80.612357378;7;30.75;78.0;17;68.5883404016;
133;6;30.2999992371;81.7005767822;26;80.8037685156;7;31.7999992371;77.0;16;68.7360005379;
134;6;29.2999992371;82.7442932129;28;81.0013557673;9;30.7999992371;79.0;13;68.8900636435;
135;7;29.2999992371;83.7880401611;28;81.2051538229;9;30.7999992371;81.0;12;69.0505748987;
136;8;30.2999992371;85.8317718506;27;81.4151775837;9;31.7999992371;80.0;13;69.217551589;
137;8;29.2999992371;86.8754272461;29;81.6314195395;9;30.7999992371;82.0;12;69.3909808397;
138;8;29.2999992371;87.9189453125;30;81.8538483381;10;30.7999992371;84.0;10;69.5708167553;
139;8;30.2999992371;89.9622879028;29;82.0824052095;10;31.7999992371;83.0;9;69.7569783926;
140;8;32.2999992371;89.0054016113;30;82.3170033693;10;30.7999992371;85.0;9;70.9493477345;
141;8;32.2999992371;91.0482177734;32;82.5575244427;10;31.7999992371;88.0;10;72.2677675486;
142;9;33.2999992371;93.0906982422;32;83.803817153;10;34.7999992371;89.0;10;72.6650965214;
143;9;35.2999992371;94.414604187;32;84.0956962109;10;34.7999992371;93.0;10;73.085144043;
144;9;35.2999992371;98.5225143433;35;84.3941233158;10;34.7999992371;96.6338806152;11;74.5287890434;
145;9;35.8405914307;102.632095337;35;84.6988413334;11;36.7999992371;97.34400177;11;75.0568437576;
146;9;36.8617782593;103.743232727;35;85.0095521212;12;36.7999992371;100.498168945;11;75.6129878759;
147;10;36.4835510254;107.855827332;36;85.3259164095;12;36.7999992371;103.655586243;11;76.1978747845;
148;10;36.5059204102;110.969734192;36;86.6475536823;12;37.7999992371;103.815979004;12;76.8119790554;
149;11;38.5288734436;112.084815979;35;87.0940433741;12;36.7999992371;106.979042053;13;77.4555501938;
