Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
94;12;35.107837677;88.3000030518;17;104.64076817;6;18.75;41.0;13;49.343998909;
95;12;35.2724876404;90.0723953247;19;105.565710902;6;18.0;43.0;13;49.9737706184;
96;12;35.4495391846;91.0913619995;19;107.535206914;6;18.0;45.0;13;50.5488539934;
97;12;36.6372375488;93.1104888916;18;109.568455219;6;18.0;47.8731956482;12;51.0747283697;
98;13;38.8331794739;96.129776001;17;110.832707047;6;18.0;49.9452667236;13;51.5575174093;
99;13;38.0343894958;100.14919281;18;115.659180284;6;18.0;51.0;13;52.0035122633;
100;14;37.961479187;105.966209412;16;119.807165027;6;18.0;53.0;13;52.3540046215;
101;14;38.4905319214;111.32195282;17;123.402680159;6;18.0;55.0;14;52.5752716064;
102;14;40.9375038147;109.308502197;19;126.51951623;7;18.0;57.0;14;52.8057181835;
103;14;43.3064613342;107.991325378;20;128.756972909;7;18.0;59.0;14;53.0450687408;
104;14;45.5549316406;107.089767456;20;131.911743402;7;18.0;61.0;14;53.2929327488;
105;14;47.8625831604;107.142295837;21;134.090080023;7;18.7104320526;63.0;15;53.5488004684;
106;15;47.1104354858;109.196159363;21;137.215177059;7;18.7590446472;65.0;16;53.8120391369;
107;16;45.2934761047;113.251274109;20;139.24987936;8;19.0;64.0;15;54.081895113;
108;16;44.4519805908;117.307548523;21;141.278334975;8;18.0;66.0;15;55.3574972153;
109;17;45.5868301392;120.910835266;21;143.301596642;8;20.0;66.0;16;55.6678659916;
110;17;46.6997909546;123.992431641;22;145.31730926;8;21.0;66.0;16;55.9825162888;
111;17;48.7931785583;124.075195312;23;147.31816113;8;20.0;69.0;16;56.3002839088;
112;17;49.9008293152;120.158935547;23;148.006254554;8;21.0;69.0;17;56.6199417114;
113;17;51.705745697;118.953041077;25;147.867617249;8;21.0;69.0;17;57.9402221441;
114;18;53.5301704407;118.254737854;23;147.816733479;8;21.0;74.0;18;58.2898408175;
115;19;54.3498153687;117.869262695;21;177.544007301;8;23.0;76.0;18;58.6381108761;
116;19;55.2325553894;116.526634216;19;183.542088628;8;23.0;77.8968582153;18;59.9837803841;
117;19;56.1316833496;118.592247009;18;194.303751111;9;23.0;83.0187072754;16;60.3856527805;
118;19;56.5318107605;119.04548645;20;203.183582187;9;25.0;82.1383209229;20;60.785571456;
119;19;56.8439102173;119.350837708;21;209.631291151;9;25.0;81.2551727295;20;61.1825803518;
120;20;57.0276184082;119.411262512;20;214.477126837;9;24.0;83.3687744141;20;61.575824976;
121;20;57.1652030945;119.411262512;23;218.078985929;9;25.0;83.4786758423;21;61.9645642042;
122;20;57.2203979492;120.268295288;23;220.670025349;9;25.0;82.5845184326;22;62.3481734991;
123;20;57.2760162354;121.268295288;23;223.180893421;9;24.0;84.6859970093;25;62.7261482477;
124;21;57.336151123;122.268295288;23;225.661132336;9;25.0;83.7828674316;26;63.0981000662;
125;21;57.4008636475;124.268295288;24;228.113671541;9;25.0;82.8749465942;25;63.4637521505;
126;21;57.4701461792;126.268295288;24;231.540100813;9;24.0;84.9621429443;25;63.8229291439;
127;21;58.5438995361;129.268295288;26;233.885029912;9;25.0;84.044380188;26;64.1755458117;
128;21;60.6219558716;132.0;26;236.214400291;9;25.0;83.8566894531;27;64.5195758343;
129;21;61.839050293;134.0;26;238.560154438;9;24.0;85.1940841675;27;64.8291605711;
130;21;62.0461769104;136.0;27;241.909975648;9;25.0;84.2616882324;28;65.1329579353;
131;21;63.2564849854;139.0;28;244.371252656;9;24.0;88.0544586182;25;65.4311228991;
132;21;64.4691162109;141.0;29;246.801832199;9;24.0;90.1362457275;26;65.7238315344;
133;21;66.9651794434;143.0;30;249.118366241;9;24.0;92.2119598389;26;66.0112762451;
134;21;69.9537734985;145.0;29;251.418429971;9;24.0;94.2818908691;28;66.2274552584;
135;21;72.1545639038;150.0;31;253.691350698;10;25.0;93.3000030518;28;66.4202822447;
136;23;78.1545562744;155.0;28;258.595618486;8;22.0;90.3000030518;27;63.8318634033;
137;23;85.1545562744;161.0;29;261.22309041;8;22.0;92.3000030518;28;63.9115234613;
138;23;92.4295578003;167.0;28;264.857006311;8;23.0;89.3000030518;28;63.9912852049;
139;23;100.164588928;174.0;29;267.555239677;8;23.0;89.3000030518;29;64.0710850954;
140;23;106.908981323;181.0;32;270.258565903;8;22.0;92.3000030518;30;64.1508603096;
141;24;111.642585754;188.0;32;272.964149833;9;23.0;91.3000030518;29;64.2305471897;
142;24;113.614425659;195.0;33;275.667752504;9;23.0;90.3000030518;30;64.310082674;
143;24;117.254112244;200.936309814;37;279.278765082;9;22.0;92.3000030518;30;64.3894040585;
144;24;120.914955139;206.449050903;38;281.966509342;9;23.0;91.3000030518;31;64.4684491158;
145;24;125.002342224;208.982421875;39;284.651453018;9;23.0;90.3000030518;31;65.5352637768;
146;24;127.546356201;212.533325195;38;287.242466092;9;22.0;92.7409973145;29;66.6039891243;
147;25;130.04864502;217.098205566;36;321.766643882;9;23.0;92.1704025269;28;67.6669642925;
148;25;129.511291504;222.377380371;36;327.134057879;9;23.0;91.5831756592;28;68.7173302174;
149;26;128.936676025;230.664031982;32;360.394580245;9;22.0;93.9749832153;28;69.7492594719;
150;26;120.804077148;239.956039429;28;367.576856136;9;23.0;93.3424072266;28;70.7580797672;
151;26;119.919754028;251.664031982;28;374.262187243;9;23.0;92.6829681396;28;71.7402861118;
152;25;116.023376465;260.664031982;30;342.340199471;10;22.0;94.9951858521;24;107.782068014;
153;25;116.073883057;267.664031982;32;344.691524506;10;24.0;95.2785110474;24;110.778969288;
154;25;118.073883057;272.664031982;34;346.202222824;10;26.0;93.2785110474;24;113.096422911;
155;25;117.766120911;281.664031982;38;347.654043436;10;25.0;97.2785110474;25;114.886927605;
156;25;117.845077515;287.664031982;37;349.043471575;10;27.0;98.2785110474;24;116.196520805;
157;25;116.576904297;294.664031982;39;350.369371176;10;29.0;96.2785110474;25;116.994596958;
158;25;114.724998474;305.664031982;40;351.632297277;10;28.0;99.2785110474;25;117.762355328;
159;25;118.724998474;311.664031982;41;351.687396049;11;31.0;100.278511047;25;119.442782879;
160;25;122.724998474;321.664031982;42;352.947299004;11;32.0;101.278511047;25;120.099316001;
161;25;125.873466492;331.664031982;41;354.136655092;11;32.0;102.278511047;22;120.754066467;
162;25;128.960189819;338.664031982;43;355.258643389;11;32.0;103.278511047;23;121.405087829;
163;26;142.864395142;349.064025879;43;356.298850298;11;32.0;104.278511047;23;122.050590038;
164;26;150.504394531;355.064025879;46;357.119078875;11;32.0;105.278511047;24;122.688970089;
165;26;153.930160522;365.064025879;45;357.818369865;11;32.0;104.278511047;25;123.318830848;
166;26;156.762756348;370.064025879;47;358.472043514;11;32.0;104.278511047;28;126.338994622;
167;26;158.834945679;378.064025879;48;359.106567383;11;32.0;105.278511047;29;126.708496571;
168;26;159.886199951;389.064025879;50;359.719050407;11;32.0;107.278511047;30;127.090595007;
169;26;163.227203369;397.064025879;53;360.213420868;11;32.0;106.278511047;30;127.482335806;
170;26;168.358078003;396.064025879;55;360.665125847;11;32.0;107.278511047;32;127.881186724;
171;26;165.889801025;407.064025879;55;361.101006985;12;32.0;108.278511047;31;128.261330605;
172;26;168.015945435;415.064025879;58;364.683567047;12;32.0;109.278511047;30;128.619161367;
173;26;168.455566406;426.064025879;58;368.000787735;12;32.0;110.278511047;33;128.980489969;
174;26;170.556213379;423.064025879;59;371.042187691;12;32.0;111.278511047;35;129.34389329;
175;26;170.650146484;427.064025879;61;373.80535984;12;32.0;112.278511047;35;129.708110571;
176;27;174.683258057;428.064025879;60;417.224665642;11;25.0;99.2785110474;36;89.2351739407;
177;27;171.773208618;437.064025879;60;419.357708454;11;25.0;99.2785110474;37;89.6813628674;
178;27;169.214050293;445.064025879;62;421.251032829;11;25.0;99.2785110474;36;90.0737118721;
179;27;170.337844849;451.064025879;70;422.921097755;11;25.0;99.2785110474;37;90.3841423988;
180;27;171.653381348;456.064025879;75;424.386196136;11;25.0;99.2785110474;37;90.6303496361;
181;27;172.733459473;456.064025879;79;425.172292233;11;25.0;99.2785110474;37;90.8789830208;
182;28;177.778762817;456.064025879;78;425.454235077;11;25.0;99.2785110474;33;90.9824671745;
183;29;179.804702759;455.064025879;82;425.706748962;10;25.0;97.2785110474;33;90.7829899788;
184;32;182.34664917;454.064025879;76;425.932173729;10;27.0;95.2785110474;33;90.6104316711;
185;33;184.373626709;454.064025879;72;444.10939312;9;23.0;75.2785110474;31;72.4616932869;
186;33;187.396148682;455.064025879;76;447.40129137;9;22.0;77.2785110474;32;72.3339982033;
187;34;193.702148438;456.064025879;74;474.219514728;8;21.0;71.2785110474;33;66.7714700699;
