Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
72;7;35.0;55.3257484436;15;57.0420875549;3;23.8999996185;24.0;27;45.3199996948;
73;8;36.0;57.5462036133;12;72.7136018276;3;22.0890007019;25.4200000763;27;46.3582401276;
74;8;38.0;60.7768974304;13;74.3165597916;3;23.2291622162;24.7314720154;27;47.1666984558;
75;8;40.0;63.0177536011;13;75.8134487867;3;21.3310565948;25.9579029083;28;47.5526294708;
76;8;41.0;65.2685775757;14;77.195610404;3;22.3500003815;25.0;28;47.8066806793;
77;9;41.2998847961;67.5290374756;13;78.3212883472;3;20.75;26.0;28;49.0;
78;10;41.2999992371;71.5442810059;13;79.3520759344;3;22.75;26.0;28;49.0599999428;
79;10;41.2999992371;74.6682815552;14;80.2939469814;3;22.75;28.0;28;49.1229639053;
80;10;39.2999992371;80.5749969482;15;81.155297637;3;22.75;30.0;28;49.1889609098;
81;10;38.2999992371;85.5904464722;15;81.9457563162;3;22.75;32.0;26;49.2580518723;
82;11;37.2999992371;90.6059646606;17;82.6750525236;4;22.75;33.0;26;50.3302885294;
83;11;36.2999992371;94.1800765991;17;83.2535181046;4;23.75;34.0;26;50.585711956;
84;11;35.2999992371;98.5674667358;17;84.6963912249;4;24.015499115;36.0;26;50.8746275902;
85;11;37.2999992371;99.8774719238;17;86.2004941702;4;24.75;38.0;27;51.2013230324;
86;11;38.0;105.188339233;18;87.9967060089;4;24.75;40.0;27;51.570361495;
87;11;39.0;110.49861908;22;91.5555551052;4;24.75;41.0;28;51.9864751101;
88;11;40.0;113.198677063;22;95.5823926926;4;24.75;42.0;28;52.454400897;
89;11;40.0;119.888252258;33;98.2420889139;4;24.75;43.0;28;52.9786520004;
90;12;42.0;122.564041138;32;100.532445788;4;24.75;44.0;28;53.5632123947;
91;12;41.0;127.222900391;41;102.213812709;4;24.75;45.0;28;54.211158514;
92;12;42.0;128.861984253;41;104.462180376;4;24.75;46.0;28;54.9242172241;
93;12;43.0;131.478729248;42;105.577900529;4;24.75;47.0;29;55.702287674;
94;13;43.0;137.070892334;44;106.668786168;4;24.75;48.0;29;56.542974472;
95;13;45.0;135.406890869;45;107.733049035;4;25.75;46.0;29;57.4411988258;
96;13;46.0;135.917297363;46;109.694733977;4;24.75;47.0;29;58.3889706135;
97;14;49.0;143.406890869;45;110.620794296;4;24.75;48.0;29;59.3754003048;
98;14;52.0;147.961898804;45;111.531168103;4;25.75;46.0;30;60.3870201111;
99;15;54.0;152.909133911;45;112.424808979;5;24.75;47.0;29;61.408428669;
100;15;56.0;157.072189331;46;114.301084042;5;24.75;48.0;30;62.4232251644;
