Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;11.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;12.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
6;1;13.0;10.0;4;20.0;1;9.0;10.0;6;20.0;
7;1;14.0;10.0;4;20.3999996185;1;9.5;10.0;5;20.0;
8;1;14.1800003052;10.1999998093;4;20.7264003754;1;9.5;10.0;5;20.3999996185;
9;1;14.3268795013;10.3632001877;4;21.8194274902;1;9.59000015259;10.1999998093;5;20.7264003754;
10;1;14.8187427521;10.9097137451;4;22.7316036224;2;9.66343975067;10.6632003784;4;21.9903717041;
11;1;15.8187427521;11.3658018112;4;23.4745616913;2;9.94783401489;10.4951858521;4;23.0819120407;
12;1;16.8187427521;11.7372808456;4;24.0673980713;2;10.1934309006;11.0209560394;4;23.99553442;
13;1;17.8187427521;12.0336990356;5;24.5325260162;2;11.9660997391;11.4571752548;3;24.7449600697;
14;1;18.8187427521;12.2662630081;4;24.892534256;2;13.9660997391;11.8107032776;3;25.3503712416;
15;1;19.8187427521;12.446267128;4;25.0;2;15.9660997391;12.0916318893;3;25.8344515562;
16;1;20.8187427521;12.5;4;25.0;2;16.9954986572;12.3113050461;3;26.2195074558;
17;1;21.8187427521;12.5;4;25.0;2;18.0058269501;12.4808797836;3;26.3048160076;
18;1;22.8187427521;12.5;4;25.0;2;19.0164165497;12.5;4;26.3530313969;
19;1;23.25;12.5;4;25.0;2;19.9294319153;12.5;4;26.4023760557;
20;1;23.25;12.5;4;25.0;2;19.9405345917;12.5;4;26.4528282881;
21;1;23.25;12.5;4;25.0;2;19.9518871307;12.5;4;26.5043625832;
22;1;23.25;12.5;5;25.0;2;19.9634819031;12.5;4;26.5569496155;
23;1;23.25;12.5;5;25.0;2;19.9753131866;12.5;4;26.6105561256;
24;1;23.25;12.5;6;25.0;2;19.9873752594;12.5;4;26.6651450396;
25;1;23.25;12.5;6;25.0;3;19.9996566772;12.5;3;26.72067523;
26;1;23.25;12.5;6;25.0;3;19.625;12.5;4;26.7771017551;
27;1;23.25;12.5;6;25.0;4;20.024848938;12.5;3;26.8343759775;
28;1;23.25;12.5;6;25.0;4;20.0377349854;12.5;4;26.8924454451;
29;1;23.25;12.5;6;25.0;4;18.0508003235;13.5;4;26.9512542486;
30;1;23.25;12.5;6;25.0;4;17.064031601;14.5;4;27.0107431412;
31;1;23.25;12.5;6;25.0;4;16.0774173737;15.5;4;27.0708494186;
32;1;23.25;12.5;6;25.0;4;15.0909414291;16.5;4;27.1315076351;
33;1;23.25;12.5;5;25.0;4;14.4795894623;17.5;4;27.1926498413;
34;1;23.25;12.5;6;25.0;4;14.4933462143;18.5;4;28.2542052269;
35;1;23.25;12.5;6;25.0;4;15.5071964264;19.5;4;28.3461010456;
36;1;23.25;12.5;6;25.0;4;16.5211219788;20.5;4;28.4388539791;
37;1;23.25;12.5;6;25.0;4;16.7737426758;21.5;4;28.5323808193;
38;1;23.25;12.5;7;25.0;4;16.7947864532;22.5;8;28.6265966892;
39;1;23.25;13.5;7;25.0;5;16.815984726;23.5;4;38.7214144468;
40;1;23.25;14.5;8;25.0;5;17.2600631714;25.5;4;39.216745019;
41;1;23.25;15.5;8;25.0;5;18.8587684631;27.5;5;39.6868991852;
42;1;23.25;16.5;8;25.0;5;18.8803119659;29.5;6;40.1305248737;
43;1;23.25;17.5;8;25.0;5;19.9019317627;28.5;6;40.5469491482;
44;1;23.25;17.5;9;25.0;5;20.9236049652;28.5;6;40.9361112118;
45;1;23.25;17.5;9;25.0;5;19.9453144073;27.5;8;41.2984732389;
46;1;23.25;17.5;9;25.0;6;19.0;28.452671051;6;41.6349253654;
47;1;23.25;17.5;10;25.0;6;20.0;29.4778137207;7;41.9466850758;
48;1;23.25;17.5;10;25.0;6;22.322479248;30.4778137207;8;42.2351999283;
49;2;24.25;18.5;10;26.0;6;24.7013206482;31.4778137207;8;42.5020631552;
50;2;25.25;19.5;10;26.0900000334;6;26.5988407135;32.4778137207;10;42.7489415407;
51;2;25.7404994965;20.5;10;26.1871190071;6;27.2709350586;32.4778137207;11;42.873439908;
52;2;25.7842025757;21.5;11;26.2917383909;6;26.5499992371;33.5;11;42.9679461718;
53;2;25.831281662;22.5;11;26.4042263031;7;27.303068161;32.5;10;44.0618360043;
54;2;25.8819007874;22.5;10;26.5249304771;7;28.3155155182;33.5;10;44.2850353718;
55;2;25.25;22.5;10;26.6541694403;7;28.5499992371;35.5;11;44.5229047537;
56;2;25.25;22.5;11;26.7922235727;7;28.5499992371;37.5;11;44.7768076658;
57;2;25.25;22.5;11;26.9393253326;7;28.5499992371;38.9936141968;13;45.048135519;
58;2;25.25;22.5;12;27.0956480503;7;29.3630409241;37.9936141968;13;45.338275671;
59;2;25.25;22.5;12;27.261295557;7;29.3743133545;37.5;15;45.6485706568;
60;2;25.25;22.5;13;27.4362905025;7;29.3853302002;37.5;15;45.9802676439;
61;2;25.25;22.5;13;27.6205644608;7;29.3960838318;37.5;16;46.3344593048;
62;2;25.25;22.5;12;27.8139474392;7;29.4065723419;37.5;18;46.712013483;
63;2;25.25;22.5;13;28.016159296;7;29.4167900085;37.5;18;47.1134996414;
64;2;25.25;22.5;13;29.2569646835;7;29.426738739;37.5;18;47.5391073227;
65;2;25.7000007629;23.0;13;30.2891533375;7;29.4364128113;37.5;19;47.9885673523;
66;2;26.0510005951;23.3899993896;14;31.1465353966;8;29.4458122253;37.5;18;58.439135313;
67;2;26.3185329437;23.6872596741;15;31.8641433716;8;30.4499988556;38.5;18;59.2939631939;
68;2;26.5187683105;23.9097423553;16;32.3259782791;8;31.4499988556;39.5;18;60.1440308094;
69;3;26.5999984741;24.0;15;32.6146950722;8;31.4499988556;40.5;19;60.9853944778;
70;3;26.5999984741;24.0;16;32.9093575478;8;31.4499988556;41.5;20;61.8141665459;
71;3;26.5999984741;24.0;17;33.2083687782;8;31.4499988556;42.5;20;64.2650413513;
72;3;26.5999984741;24.0;17;33.5100183487;8;31.7604999542;43.0;21;66.451685667;
73;3;26.5999984741;24.0;18;33.8125171661;8;32.0146102905;43.3899993896;21;68.4033789635;
74;3;26.5999984741;24.0;18;34.1140403748;8;31.2404937744;44.6872596741;21;70.1509792805;
75;3;26.5999984741;24.0;19;34.4127697945;8;32.3808403015;43.9097442627;21;71.5453026295;
76;3;26.5999984741;24.0;19;35.7069382668;9;32.481388092;44.0;21;72.5886814594;
77;3;27.5999984741;25.0;19;36.0348711014;10;32.5063056946;44.0;13;73.5825498104;
78;3;28.5999984741;26.0;19;36.3562088013;10;30.5306587219;45.0;13;74.5219597816;
79;3;28.5999984741;27.0;21;36.6695711613;10;29.5544013977;46.0;14;75.4031631947;
80;4;28.5999984741;28.0;20;36.9737633467;10;29.4274997711;47.0;14;76.1192169189;
81;4;28.5999984741;29.0;20;37.2677906752;10;28.2999992371;49.0;14;76.7517893314;
82;4;28.5999984741;29.0;21;37.5508682728;10;29.2999992371;49.0;16;77.3397436142;
83;4;28.5999984741;29.0;21;37.8224208355;10;29.4926528931;50.0;16;77.8824896812;
84;4;28.5999984741;29.0;21;38.0820772648;10;28.2999992371;52.0;16;79.3805754185;
85;4;28.5999984741;29.0;21;38.3296545744;10;30.2999992371;53.0;16;80.9154697657;
86;4;28.5999984741;29.0;21;38.5651444197;10;31.2999992371;57.0;17;81.4748724699;
87;4;28.5999984741;29.0;22;38.7886900902;11;33.2999992371;58.0;16;96.8190464973;
88;4;28.5999984741;29.0;22;39.0005655289;11;33.6149978638;63.7000007629;14;99.8050560951;
89;4;28.5999984741;29.0;22;39.201151371;11;34.6149978638;63.7000007629;15;102.383473873;
90;4;28.5999984741;29.0;23;39.3909102678;12;34.6149978638;68.6162643433;16;104.610246181;
91;4;28.5999984741;29.0;23;39.570369482;12;37.6149978638;69.3031616211;16;106.370054245;
92;4;28.5999984741;30.0;24;39.7400972843;12;32.6149978638;72.4080200195;17;107.787654042;
