Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.0;10.0;4;20.0;2;6.0;14.3000001907;3;21.0;
2;2;11.3000001907;10.0;4;21.0;2;7.15000009537;13.0;3;21.0599999428;
3;2;11.3000001907;10.0;4;21.0599999428;2;8.15900039673;12.0;3;21.1229639053;
4;2;11.3179998398;10.0;4;21.1229639053;2;8.16844463348;11.0;3;21.1889609098;
5;2;12.5053339005;10.0;4;21.1889609098;2;8.17834377289;10.0;3;21.2580518723;
6;2;13.5350322723;10.0;4;21.2580518723;2;9.2830619812;10.0;3;21.3302885294;
7;2;14.5661230087;10.0;4;21.7428686619;2;9.7993144989;10.0;3;21.4057120085;
8;2;14.7842912674;10.1999998093;4;22.1586660147;2;9.81628513336;10.0;3;21.8984082937;
9;2;14.9713993073;10.3632001877;4;23.3744058609;2;9.92714214325;10.1999998093;2;22.3222295046;
10;2;15.5184831619;10.9097137451;4;24.4179002047;2;10.0225009918;10.3632001877;1;22.688400507;
11;2;17.5184822083;11.3658018112;4;25.3010519743;2;10.1048898697;10.4951858521;1;23.8809107542;
12;2;19.5184822083;11.7372808456;4;26.0431767702;2;10.3732051849;11.0209560394;1;24.9034298658;
13;2;20.7078437805;12.0336990356;5;26.6668455601;2;12.1703767776;11.4571752548;1;25.7698295116;
14;2;21.7791862488;12.2662630081;5;27.194732666;2;14.1703767776;11.8107032776;1;26.500371933;
15;2;22.8547325134;12.446267128;5;27.4794170856;2;16.170375824;12.0916318893;1;27.1177392006;
16;2;23.9344806671;12.5;5;27.6658837795;2;17.284236908;12.3113050461;1;27.6441450119;
17;2;25.0183906555;12.5;5;27.86140275;2;18.3263702393;12.4808797836;3;27.878672123;
18;2;26.1063728333;12.5;5;28.0656666756;3;19.3705348969;12.5;2;28.0836718082;
19;2;26.6295509338;12.5;5;28.2782502174;3;20.3188266754;12.5;3;28.2969486713;
20;2;26.7252120972;12.5;5;28.4986059666;3;20.3668136597;12.5;3;28.5179448128;
21;2;26.8243732452;12.5;7;28.7260642052;3;20.4165382385;12.5;3;28.7459800243;
22;2;26.9267292023;12.5;7;28.9598350525;3;20.4678459167;12.5;3;28.9802544117;
23;2;27.0319252014;12.5;7;29.1990156174;3;20.5205574036;12.5;3;29.2198557854;
24;2;27.1395568848;12.5;7;29.4425997734;3;20.5744667053;12.5;4;29.4637694359;
25;2;27.2491703033;12.5;7;29.6894927025;3;20.6293487549;12.5;4;29.7108941078;
26;2;27.3602714539;12.5;8;29.9385285378;3;20.6849517822;12.5;4;29.9600582123;
27;2;27.4723377228;12.5;9;30.1884908676;3;20.7410125732;12.5;4;30.2100424767;
28;2;27.5848197937;12.5;9;30.4381356239;4;20.7972602844;12.5;2;43.2096014023;
29;2;27.6971607208;12.5;9;30.6862158775;4;19.8534107208;13.5;2;45.0949888229;
30;2;27.808795929;12.5;9;30.9315071106;4;20.9091854095;14.5;3;46.0540136099;
31;2;27.919178009;12.5;10;31.1728301048;4;21.9643096924;15.5;3;46.9682825804;
32;2;28.0277729034;12.5;10;31.4090747833;4;22.3054885864;16.5;3;47.8376460075;
33;2;28.1340827942;12.5;10;31.6392197609;4;22.7700519562;17.5;3;48.6639053822;
34;2;28.2376480103;12.5;10;31.8623495102;4;23.8623428345;18.5;3;49.4503847361;
35;2;28.3380584717;14.5;10;32.0776662827;4;24.9574871063;19.5;3;50.2014753819;
36;2;28.4349498749;16.5;10;32.2844991684;4;26.0556201935;20.5;4;50.9221987724;
37;2;28.5280246735;18.5;10;32.4823098183;5;25.5139598846;22.5;4;51.6178166866;
38;3;28.6170387268;20.5;7;47.6706910133;5;26.0293273926;24.5;4;52.2805039883;
39;3;29.7018108368;23.5;7;48.5993652344;5;26.177406311;26.5;4;52.7756109238;
40;3;30.7822151184;24.5;7;49.4375505447;5;26.2487926483;28.5;5;53.2862126827;
41;3;30.8581790924;25.5;7;50.1843719482;5;26.3258876801;30.5;5;53.8120422363;
42;3;30.9296875;26.5;7;50.8424129486;5;26.4086380005;32.2332229614;5;54.3524003029;
43;3;30.9967651367;27.5;7;51.4168376923;5;27.4968700409;33.2332229614;7;54.9060769081;
44;3;31.0594787598;28.5;7;51.9145030975;6;29.5902748108;32.5;6;55.4713053703;
45;3;31.1179351807;29.5;7;52.3431615829;6;28.5375003815;34.5;6;56.045732975;
46;3;31.1722640991;30.5;7;52.7108097076;6;31.5375003815;34.5;6;56.626431942;
47;3;32.2226219177;28.5;7;52.9315071106;6;32.525894165;35.5;7;57.2099509239;
48;3;33.2691802979;27.5;7;53.0;6;32.1624984741;35.5;8;57.757601738;
49;3;34.2999992371;27.5;7;53.0;6;33.7392120361;33.5;8;58.2476010323;
50;3;35.2999992371;27.5;5;53.0;6;34.8494606018;32.5;8;58.7351250648;
51;3;35.5750007629;27.5;6;53.0;6;33.1875;33.5;9;59.215420723;
52;3;35.5750007629;27.5;6;53.0;6;33.1875;34.5;9;60.6839466095;
53;3;35.5750007629;27.5;7;53.0;6;35.1875;33.5;9;61.2440451384;
54;3;35.5750007629;27.5;7;53.0;6;37.1875;34.5;10;61.7949552536;
55;3;35.5750007629;27.5;7;53.0;6;37.9483222961;35.5;10;62.334420085;
56;3;35.5750007629;27.5;7;54.75;6;38.0987167358;36.5;11;62.8608767986;
57;3;36.2342529297;28.0;7;56.1726284027;6;36.1620750427;38.5;11;63.373463273;
58;3;36.7674331665;28.3899993896;7;57.3134260178;6;35.9292984009;39.5;12;63.8719741106;
59;3;35.1044921875;29.6872596741;6;58.2201356888;7;36.004234314;40.5;10;64.3567882776;
60;4;34.3687973022;30.9097423553;6;58.7747268677;7;36.0853767395;41.5;10;64.8287622929;
61;4;33.5088768005;32.0;8;58.8944940567;7;37.1729621887;39.5;9;65.2891118526;
62;4;33.052520752;33.0;8;59.0;7;36.2671737671;40.5;10;67.568944931;
63;4;33.0999984741;34.0;8;59.0;7;35.776222229;40.0;11;69.5390040874;
64;4;31.0999984741;36.0;9;59.0;7;35.1946334839;42.3899993896;11;71.2401638031;
65;4;30.0999984741;38.0;10;59.0;7;35.5829925537;44.6872596741;12;72.7156522274;
66;5;29.0999984741;40.0;10;59.0;7;35.8269729614;41.6872596741;12;73.7233893871;
67;5;28.5999984741;42.0;10;59.0;8;37.0021133423;41.0;11;94.4675059319;
68;5;28.5999984741;43.0;10;59.0;8;40.3874435425;40.0;11;96.9810357094;
69;5;28.5999984741;44.0;8;59.0;8;40.6500015259;42.0;12;99.1434755325;
70;5;28.5999984741;45.0;9;59.0;9;41.6500015259;44.0;11;101.037700653;
71;5;28.5999984741;46.0;9;59.0;9;43.0180740356;43.0;11;102.543587208;
72;5;28.5999984741;47.0;9;60.0;9;44.0250015259;44.0;11;103.797857285;
73;5;29.5999984741;48.7000007629;9;60.1799999475;10;43.819770813;47.0;10;105.861004829;
74;5;30.5999984741;49.7000007629;11;62.0902757645;10;44.0095214844;50.0;10;106.915624022;
75;5;31.2299995422;51.5200004578;11;63.6715987921;10;43.4583206177;53.0;10;107.794797897;
76;5;31.7062797546;53.1604385376;13;64.9858552217;10;42.6854858398;56.0;11;108.401690364;
77;6;32.0546417236;54.6499824524;12;66.1003086567;10;41.9149627686;59.0;11;109.024354935;
78;6;32.3030509949;55.0198516846;12;66.905916214;10;41.8457946777;61.0;11;109.662183166;
79;6;32.4000015259;55.2130737305;13;67.5292773247;10;41.6313362122;64.0;12;110.314895868;
80;6;32.4000015259;55.2905769348;14;68.1909687519;11;41.8000602722;67.0;11;110.982513189;
81;6;32.4000015259;55.3605155945;14;68.8953561783;11;42.9607925415;67.0;11;111.665276289;
82;6;32.4000015259;55.423374176;14;69.64554739;11;44.112739563;68.0;12;112.363519907;
83;6;32.4000015259;55.4796562195;15;70.3681659698;11;47.9923553467;72.0;13;113.077496767;
84;7;32.4000015259;55.5;16;72.0999455452;11;50.9890518188;76.0;13;113.807178497;
85;7;33.4000015259;56.5;16;72.4368423223;11;52.6986694336;80.0;14;114.55202961;
86;7;34.2200012207;57.2200012207;17;74.0179307461;11;52.8988800049;84.0;14;115.310797691;
87;7;34.4000015259;58.4766387939;17;75.1863188744;11;53.0897598267;87.6354064941;15;116.081329823;
88;7;34.4000015259;59.5;17;76.3580889702;11;53.2714614868;91.0282669067;15;116.860447884;
89;7;34.4000015259;60.5;17;76.9250547886;11;53.4441452026;94.4409790039;17;117.643910408;
90;7;35.2200012207;61.2999992371;19;77.5758378506;11;53.607925415;96.8697814941;18;118.426470757;
91;7;34.2200012207;62.2999992371;19;79.2905762196;11;53.7629051208;99.3101654053;19;119.202045441;
92;7;34.2200012207;63.9580001831;19;80.1109395027;11;53.9091072083;101.356964111;20;119.863737106;
93;7;34.2200012207;64.9580001831;21;82.3698351383;12;53.9863777161;102.804618835;20;120.496276855;
94;7;34.2200012207;67.9580001831;21;84.4024752378;13;55.0496292114;104.356971741;21;121.113888741;
95;7;35.2200012207;68.1580047607;21;86.0310673714;13;56.1113929749;105.356971741;20;121.70920372;
96;8;33.2200012207;70.1580047607;22;87.5077620745;13;56.1709213257;106.356971741;20;122.275805473;
97;8;33.2200012207;72.6999969482;24;88.8709210157;13;54.2275810242;106.49306488;19;122.808496475;
98;8;35.2200012207;72.6999969482;24;90.192964077;13;54.2808532715;108.865943909;20;123.303449631;
99;8;35.2200012207;75.6999969482;25;91.5015798807;13;54.3303489685;111.212409973;20;123.758253098;
100;8;36.2200012207;78.6999969482;25;92.8537706137;13;54.3758277893;113.530776978;21;124.171843529;
101;8;37.4000015259;78.6999969482;26;94.1875123978;13;54.4171867371;115.820289612;22;124.544363976;
102;8;37.4000015259;78.6999969482;25;96.4940025806;13;54.4544372559;118.081054688;22;124.876964569;
